"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - returned_episode_returns","pqn_Breakout-MinAtar - returned_episode_returns__MIN","pqn_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.4130859375","0.4130859375","0.4130859375"
"12288","3","3","3","0.432373046875","0.432373046875","0.432373046875"
"16384","4","4","4","0.465576171875","0.465576171875","0.465576171875"
"20480","5","5","5","0.39990234375","0.39990234375","0.39990234375"
"24576","6","6","6","0.433837890625","0.433837890625","0.433837890625"
"28672","7","7","7","0.423583984375","0.423583984375","0.423583984375"
"32768","8","8","8","0.442626953125","0.442626953125","0.442626953125"
"36864","9","9","9","0.459716796875","0.459716796875","0.459716796875"
"40960","10","10","10","0.421142578125","0.421142578125","0.421142578125"
"45056","11","11","11","0.4482421875","0.4482421875","0.4482421875"
"49152","12","12","12","0.40625","0.40625","0.40625"
"53248","13","13","13","0.433349609375","0.433349609375","0.433349609375"
"57344","14","14","14","0.472900390625","0.472900390625","0.472900390625"
"61440","15","15","15","0.47021484375","0.47021484375","0.47021484375"
"65536","16","16","16","0.420654296875","0.420654296875","0.420654296875"
"69632","17","17","17","0.437255859375","0.437255859375","0.437255859375"
"73728","18","18","18","0.4619140625","0.4619140625","0.4619140625"
"77824","19","19","19","0.4208984375","0.4208984375","0.4208984375"
"81920","20","20","20","0.48828125","0.48828125","0.48828125"
"86016","21","21","21","0.481201171875","0.481201171875","0.481201171875"
"90112","22","22","22","0.4072265625","0.4072265625","0.4072265625"
"94208","23","23","23","0.508056640625","0.508056640625","0.508056640625"
"98304","24","24","24","0.45166015625","0.45166015625","0.45166015625"
"102400","25","25","25","0.489013671875","0.489013671875","0.489013671875"
"106496","26","26","26","0.427734375","0.427734375","0.427734375"
"110592","27","27","27","0.49267578125","0.49267578125","0.49267578125"
"114688","28","28","28","0.4755859375","0.4755859375","0.4755859375"
"118784","29","29","29","0.45166015625","0.45166015625","0.45166015625"
"122880","30","30","30","0.468994140625","0.468994140625","0.468994140625"
"126976","31","31","31","0.55615234375","0.55615234375","0.55615234375"
"131072","32","32","32","0.53662109375","0.53662109375","0.53662109375"
"135168","33","33","33","0.450439453125","0.450439453125","0.450439453125"
"139264","34","34","34","0.483154296875","0.483154296875","0.483154296875"
"143360","35","35","35","0.57861328125","0.57861328125","0.57861328125"
"147456","36","36","36","0.564697265625","0.564697265625","0.564697265625"
"151552","37","37","37","0.5126953125","0.5126953125","0.5126953125"
"155648","38","38","38","0.54736328125","0.54736328125","0.54736328125"
"159744","39","39","39","0.52587890625","0.52587890625","0.52587890625"
"163840","40","40","40","0.5302734375","0.5302734375","0.5302734375"
"167936","41","41","41","0.64306640625","0.64306640625","0.64306640625"
"172032","42","42","42","0.554443359375","0.554443359375","0.554443359375"
"176128","43","43","43","0.611328125","0.611328125","0.611328125"
"180224","44","44","44","0.623046875","0.623046875","0.623046875"
"184320","45","45","45","0.4921875","0.4921875","0.4921875"
"188416","46","46","46","0.530517578125","0.530517578125","0.530517578125"
"192512","47","47","47","0.522216796875","0.522216796875","0.522216796875"
"196608","48","48","48","0.64404296875","0.64404296875","0.64404296875"
"200704","49","49","49","0.52294921875","0.52294921875","0.52294921875"
"204800","50","50","50","0.588623046875","0.588623046875","0.588623046875"
"208896","51","51","51","0.60107421875","0.60107421875","0.60107421875"
"212992","52","52","52","0.591064453125","0.591064453125","0.591064453125"
"217088","53","53","53","0.545654296875","0.545654296875","0.545654296875"
"221184","54","54","54","0.638916015625","0.638916015625","0.638916015625"
"225280","55","55","55","0.546142578125","0.546142578125","0.546142578125"
"229376","56","56","56","0.576904296875","0.576904296875","0.576904296875"
"233472","57","57","57","0.73046875","0.73046875","0.73046875"
"237568","58","58","58","0.67626953125","0.67626953125","0.67626953125"
"241664","59","59","59","0.659423828125","0.659423828125","0.659423828125"
"245760","60","60","60","0.509033203125","0.509033203125","0.509033203125"
"249856","61","61","61","0.560302734375","0.560302734375","0.560302734375"
"253952","62","62","62","0.549560546875","0.549560546875","0.549560546875"
"258048","63","63","63","0.669677734375","0.669677734375","0.669677734375"
"262144","64","64","64","0.6298828125","0.6298828125","0.6298828125"
"266240","65","65","65","0.5478515625","0.5478515625","0.5478515625"
