"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - returned_episode_returns","pqn_Breakout-MinAtar - returned_episode_returns__MIN","pqn_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.4130859375","0.4130859375","0.4130859375"
"12288","3","3","3","0.432373046875","0.432373046875","0.432373046875"
"16384","4","4","4","0.461669921875","0.461669921875","0.461669921875"
"20480","5","5","5","0.397705078125","0.397705078125","0.397705078125"
"24576","6","6","6","0.43603515625","0.43603515625","0.43603515625"
"28672","7","7","7","0.43310546875","0.43310546875","0.43310546875"
"32768","8","8","8","0.4404296875","0.4404296875","0.4404296875"
"36864","9","9","9","0.474365234375","0.474365234375","0.474365234375"
"40960","10","10","10","0.451416015625","0.451416015625","0.451416015625"
"45056","11","11","11","0.449951171875","0.449951171875","0.449951171875"
"49152","12","12","12","0.379638671875","0.379638671875","0.379638671875"
"53248","13","13","13","0.4052734375","0.4052734375","0.4052734375"
"57344","14","14","14","0.433349609375","0.433349609375","0.433349609375"
"61440","15","15","15","0.4873046875","0.4873046875","0.4873046875"
"65536","16","16","16","0.40869140625","0.40869140625","0.40869140625"
"69632","17","17","17","0.434326171875","0.434326171875","0.434326171875"
"73728","18","18","18","0.4775390625","0.4775390625","0.4775390625"
"77824","19","19","19","0.390869140625","0.390869140625","0.390869140625"
"81920","20","20","20","0.46533203125","0.46533203125","0.46533203125"
"86016","21","21","21","0.475341796875","0.475341796875","0.475341796875"
"90112","22","22","22","0.421630859375","0.421630859375","0.421630859375"
"94208","23","23","23","0.471435546875","0.471435546875","0.471435546875"
"98304","24","24","24","0.455078125","0.455078125","0.455078125"
"102400","25","25","25","0.482666015625","0.482666015625","0.482666015625"
"106496","26","26","26","0.512451171875","0.512451171875","0.512451171875"
"110592","27","27","27","0.547607421875","0.547607421875","0.547607421875"
"114688","28","28","28","0.4765625","0.4765625","0.4765625"
"118784","29","29","29","0.504638671875","0.504638671875","0.504638671875"
"122880","30","30","30","0.435546875","0.435546875","0.435546875"
"126976","31","31","31","0.569091796875","0.569091796875","0.569091796875"
"131072","32","32","32","0.547607421875","0.547607421875","0.547607421875"
"135168","33","33","33","0.45263671875","0.45263671875","0.45263671875"
"139264","34","34","34","0.479736328125","0.479736328125","0.479736328125"
"143360","35","35","35","0.5439453125","0.5439453125","0.5439453125"
"147456","36","36","36","0.51513671875","0.51513671875","0.51513671875"
"151552","37","37","37","0.543212890625","0.543212890625","0.543212890625"
"155648","38","38","38","0.6220703125","0.6220703125","0.6220703125"
"159744","39","39","39","0.57666015625","0.57666015625","0.57666015625"
"163840","40","40","40","0.543701171875","0.543701171875","0.543701171875"
"167936","41","41","41","0.555908203125","0.555908203125","0.555908203125"
"172032","42","42","42","0.53271484375","0.53271484375","0.53271484375"
"176128","43","43","43","0.589599609375","0.589599609375","0.589599609375"
"180224","44","44","44","0.599609375","0.599609375","0.599609375"
"184320","45","45","45","0.56005859375","0.56005859375","0.56005859375"
"188416","46","46","46","0.5234375","0.5234375","0.5234375"
"192512","47","47","47","0.47021484375","0.47021484375","0.47021484375"
"196608","48","48","48","0.582763671875","0.582763671875","0.582763671875"
"200704","49","49","49","0.47265625","0.47265625","0.47265625"
"204800","50","50","50","0.590576171875","0.590576171875","0.590576171875"
"208896","51","51","51","0.5712890625","0.5712890625","0.5712890625"
"212992","52","52","52","0.5478515625","0.5478515625","0.5478515625"
"217088","53","53","53","0.63720703125","0.63720703125","0.63720703125"
"221184","54","54","54","0.675048828125","0.675048828125","0.675048828125"
"225280","55","55","55","0.587158203125","0.587158203125","0.587158203125"
"229376","56","56","56","0.6748046875","0.6748046875","0.6748046875"
"233472","57","57","57","0.683837890625","0.683837890625","0.683837890625"
"237568","58","58","58","0.68603515625","0.68603515625","0.68603515625"
"241664","59","59","59","0.65576171875","0.65576171875","0.65576171875"
"245760","60","60","60","0.56494140625","0.56494140625","0.56494140625"
"249856","61","61","61","0.569580078125","0.569580078125","0.569580078125"
"253952","62","62","62","0.64501953125","0.64501953125","0.64501953125"
"258048","63","63","63","0.703857421875","0.703857421875","0.703857421875"
"262144","64","64","64","0.65087890625","0.65087890625","0.65087890625"
"266240","65","65","65","0.603515625","0.603515625","0.603515625"
