"env_step","pqn_Breakout-MinAtar - _step","pqn_Breakout-MinAtar - _step__MIN","pqn_Breakout-MinAtar - _step__MAX","pqn_Breakout-MinAtar - test_returned_episode_returns","pqn_Breakout-MinAtar - test_returned_episode_returns__MIN","pqn_Breakout-MinAtar - test_returned_episode_returns__MAX"
"737280","180","180","180","0","0","0"
"741376","181","181","181","0","0","0"
"745472","182","182","182","0","0","0"
"749568","183","183","183","0","0","0"
"753664","184","184","184","0","0","0"
"757760","185","185","185","0","0","0"
"761856","186","186","186","0","0","0"
"765952","187","187","187","0","0","0"
"770048","188","188","188","0","0","0"
"774144","189","189","189","0","0","0"
"778240","190","190","190","0","0","0"
"782336","191","191","191","0","0","0"
"786432","192","192","192","0","0","0"
"790528","193","193","193","0","0","0"
"794624","194","194","194","0","0","0"
"798720","195","195","195","0","0","0"
"802816","196","196","196","0","0","0"
"806912","197","197","197","0","0","0"
"811008","198","198","198","0","0","0"
"815104","199","199","199","0","0","0"
"819200","200","200","200","0","0","0"
"823296","201","201","201","0","0","0"
"827392","202","202","202","0","0","0"
"831488","203","203","203","0","0","0"
"835584","204","204","204","0","0","0"
"839680","205","205","205","0","0","0"
"843776","206","206","206","0","0","0"
"847872","207","207","207","0","0","0"
"851968","208","208","208","0","0","0"
"856064","209","209","209","0","0","0"
"860160","210","210","210","0","0","0"
"864256","211","211","211","0","0","0"
"868352","212","212","212","0","0","0"
"872448","213","213","213","0","0","0"
"876544","214","214","214","0","0","0"
"880640","215","215","215","0","0","0"
"884736","216","216","216","0","0","0"
"888832","217","217","217","0","0","0"
"892928","218","218","218","0","0","0"
"897024","219","219","219","0","0","0"
"901120","220","220","220","0","0","0"
"905216","221","221","221","0","0","0"
"909312","222","222","222","0","0","0"
"913408","223","223","223","0","0","0"
"917504","224","224","224","0","0","0"
"921600","225","225","225","0","0","0"
"925696","226","226","226","0","0","0"
"929792","227","227","227","0","0","0"
"933888","228","228","228","0","0","0"
"937984","229","229","229","0","0","0"
"942080","230","230","230","0","0","0"
"946176","231","231","231","0","0","0"
"950272","232","232","232","0","0","0"
"954368","233","233","233","0","0","0"
"958464","234","234","234","0","0","0"
"962560","235","235","235","0","0","0"
"966656","236","236","236","0","0","0"
"970752","237","237","237","0","0","0"
"974848","238","238","238","0","0","0"
"978944","239","239","239","0","0","0"
"983040","240","240","240","0","0","0"
"987136","241","241","241","0","0","0"
"991232","242","242","242","0","0","0"
"995328","243","243","243","0","0","0"
"999424","244","244","244","8.454179763793945","8.454179763793945","8.454179763793945"
"1003520","245","245","245","8.454179763793945","8.454179763793945","8.454179763793945"
"1007616","246","246","246","8.454179763793945","8.454179763793945","8.454179763793945"
"1011712","247","247","247","8.454179763793945","8.454179763793945","8.454179763793945"
"1015808","248","248","248","8.454179763793945","8.454179763793945","8.454179763793945"
"1019904","249","249","249","8.454179763793945","8.454179763793945","8.454179763793945"
"1024000","250","250","250","8.454179763793945","8.454179763793945","8.454179763793945"
"1028096","251","251","251","8.454179763793945","8.454179763793945","8.454179763793945"
"1032192","252","252","252","8.454179763793945","8.454179763793945","8.454179763793945"
"1036288","253","253","253","8.454179763793945","8.454179763793945","8.454179763793945"
"1040384","254","254","254","8.454179763793945","8.454179763793945","8.454179763793945"
"1044480","255","255","255","8.454179763793945","8.454179763793945","8.454179763793945"
"1048576","256","256","256","8.454179763793945","8.454179763793945","8.454179763793945"
"1052672","257","257","257","8.454179763793945","8.454179763793945","8.454179763793945"
"1056768","258","258","258","8.454179763793945","8.454179763793945","8.454179763793945"
"1060864","259","259","259","8.454179763793945","8.454179763793945","8.454179763793945"
"1064960","260","260","260","8.454179763793945","8.454179763793945","8.454179763793945"
"1069056","261","261","261","8.454179763793945","8.454179763793945","8.454179763793945"
"1073152","262","262","262","8.454179763793945","8.454179763793945","8.454179763793945"
"1077248","263","263","263","8.454179763793945","8.454179763793945","8.454179763793945"
"1081344","264","264","264","8.454179763793945","8.454179763793945","8.454179763793945"
"1085440","265","265","265","8.454179763793945","8.454179763793945","8.454179763793945"
"1089536","266","266","266","8.454179763793945","8.454179763793945","8.454179763793945"
"1093632","267","267","267","8.454179763793945","8.454179763793945","8.454179763793945"
"1097728","268","268","268","8.454179763793945","8.454179763793945","8.454179763793945"
"1101824","269","269","269","8.454179763793945","8.454179763793945","8.454179763793945"
"1105920","270","270","270","8.454179763793945","8.454179763793945","8.454179763793945"
"1110016","271","271","271","8.454179763793945","8.454179763793945","8.454179763793945"
"1114112","272","272","272","8.454179763793945","8.454179763793945","8.454179763793945"
"1118208","273","273","273","8.454179763793945","8.454179763793945","8.454179763793945"
"1122304","274","274","274","8.454179763793945","8.454179763793945","8.454179763793945"
"1126400","275","275","275","8.454179763793945","8.454179763793945","8.454179763793945"
