env_step,returned_episode_returns
4096,0.0
8192,0.012939453125
12288,0.166748046875
16384,0.36572265625
20480,0.3955078125
24576,0.503662109375
28672,0.528564453125
32768,0.608154296875
36864,0.63232421875
40960,0.687744140625
45056,0.5791015625
49152,0.521484375
53248,0.544189453125
57344,0.52978515625
61440,0.491943359375
65536,0.386474609375
69632,0.42138671875
73728,0.474853515625
77824,0.51708984375
81920,0.48974609375
86016,0.471435546875
90112,0.560302734375
94208,0.619384765625
98304,0.593017578125
102400,0.577392578125
106496,0.628662109375
110592,0.615478515625
114688,0.593017578125
118784,0.62255859375
122880,0.560791015625
126976,0.497802734375
131072,0.551513671875
135168,0.51220703125
139264,0.623291015625
143360,0.5419921875
147456,0.580322265625
151552,0.5888671875
155648,0.62451171875
159744,0.532958984375
163840,0.457275390625
167936,0.478759765625
172032,0.515869140625
176128,0.527099609375
180224,0.5341796875
184320,0.451904296875
188416,0.488037109375
192512,0.36767578125
196608,0.3935546875
200704,0.530029296875
204800,0.499267578125
208896,0.52099609375
212992,0.6904296875
217088,0.66943359375
221184,0.62744140625
225280,0.61083984375
229376,0.596923828125
233472,0.4951171875
237568,0.45166015625
241664,0.4814453125
245760,0.465087890625
249856,0.421875
253952,0.48046875
258048,0.545166015625
262144,0.568115234375
266240,0.534912109375
270336,0.57861328125
274432,0.526611328125
278528,0.511474609375
282624,0.521484375
286720,0.51318359375
290816,0.54248046875
294912,0.477783203125
299008,0.531494140625
303104,0.455810546875
307200,0.474853515625
311296,0.45458984375
315392,0.43603515625
319488,0.480712890625
323584,0.5087890625
327680,0.447265625
331776,0.430419921875
335872,0.5380859375
339968,0.528076171875
344064,0.5263671875
348160,0.587646484375
352256,0.673095703125
356352,0.64892578125
360448,0.584716796875
364544,0.624755859375
368640,0.56201171875
372736,0.517822265625
376832,0.53271484375
380928,0.65283203125
385024,0.58837890625
389120,0.505615234375
393216,0.51123046875
397312,0.5
401408,0.494384765625
405504,0.471435546875
409600,0.4765625
413696,0.47216796875
417792,0.529052734375
421888,0.501708984375
425984,0.552734375
430080,0.53759765625
434176,0.466064453125
438272,0.44775390625
442368,0.545166015625
446464,0.4814453125
450560,0.518310546875
454656,0.57666015625
458752,0.658935546875
462848,0.690673828125
466944,0.71337890625
471040,0.75244140625
475136,0.76171875
479232,0.666015625
483328,0.5703125
487424,0.567626953125
491520,0.6650390625
495616,0.63427734375
499712,0.678466796875
503808,0.700439453125
507904,0.63232421875
512000,0.6103515625
516096,0.6123046875
520192,0.6015625
524288,0.582275390625
528384,0.5283203125
532480,0.419921875
536576,0.529296875
540672,0.6240234375
544768,0.681640625
548864,0.808349609375
552960,0.860595703125
557056,0.892822265625
561152,0.737060546875
565248,0.654296875
569344,0.5947265625
573440,0.434326171875
577536,0.449951171875
581632,0.48828125
585728,0.49267578125
589824,0.5634765625
593920,0.63134765625
598016,0.624755859375
602112,0.634033203125
606208,0.63427734375
610304,0.599365234375
614400,0.594482421875
618496,0.6552734375
622592,0.6259765625
626688,0.578125
630784,0.580322265625
634880,0.64111328125
638976,0.633544921875
643072,0.644775390625
647168,0.620849609375
651264,0.573974609375
655360,0.49755859375
659456,0.43212890625
663552,0.531982421875
667648,0.6083984375
671744,0.58203125
675840,0.609619140625
679936,0.669921875
684032,0.653564453125
688128,0.594482421875
692224,0.616455078125
696320,0.56494140625
700416,0.5419921875
704512,0.570556640625
708608,0.766845703125
712704,0.7646484375
716800,0.767822265625
720896,0.8427734375
724992,0.87353515625
729088,0.82763671875
733184,0.8466796875
737280,0.80859375
741376,0.709228515625
745472,0.64404296875
749568,0.689453125
753664,0.746826171875
757760,0.912353515625
761856,0.74560546875
