env_step,pqn_SpaceInvaders-MinAtar - test_returned_episode_returns
4096,0
8192,0
12288,0
16384,0
20480,0
24576,0
28672,0
32768,0
36864,0
40960,0
45056,0
49152,0
53248,0
57344,0
61440,0
65536,0
69632,0
73728,0
77824,0
81920,0
86016,0
90112,0
94208,0
98304,0
102400,0
106496,0
110592,0
114688,0
118784,0
122880,0
126976,0
131072,0
135168,0
139264,0
143360,0
147456,0
151552,0
155648,0
159744,0
163840,0
167936,0
172032,0
176128,0
180224,0
184320,0
188416,0
192512,0
196608,0
200704,0
204800,0
208896,0
212992,0
217088,0
221184,0
225280,0
229376,0
233472,0
237568,0
241664,0
245760,0
249856,0
253952,0
258048,0
262144,0
266240,0
270336,0
274432,0
278528,0
282624,0
286720,0
290816,0
294912,0
299008,0
303104,0
307200,0
311296,0
315392,0
319488,0
323584,0
327680,0
331776,0
335872,0
339968,0
344064,0
348160,0
352256,0
356352,0
360448,0
364544,0
368640,0
372736,0
376832,0
380928,0
385024,0
389120,0
393216,0
397312,0
401408,0
405504,0
409600,0
413696,0
417792,0
421888,0
425984,0
430080,0
434176,0
438272,0
442368,0
446464,0
450560,0
454656,0
458752,0
462848,0
466944,0
471040,0
475136,0
479232,0
483328,0
487424,0
491520,0
495616,0
499712,0
503808,0
507904,0
512000,0
516096,0
520192,0
524288,0
528384,0
532480,0
536576,0
540672,0
544768,0
548864,0
552960,0
557056,0
561152,0
565248,0
569344,0
573440,0
577536,0
581632,0
585728,0
589824,0
593920,0
598016,0
602112,0
606208,0
610304,0
614400,0
618496,0
622592,0
626688,0
630784,0
634880,0
638976,0
643072,0
647168,0
651264,0
655360,0
659456,0
663552,0
667648,0
671744,0
675840,0
679936,0
684032,0
688128,0
692224,0
696320,0
700416,0
704512,0
708608,0
712704,0
716800,0
720896,0
724992,0
729088,0
733184,0
737280,0
741376,0
745472,0
749568,0
753664,0
757760,0
761856,0
765952,0
770048,0
774144,0
778240,0
782336,0
786432,0
790528,0
794624,0
798720,0
802816,0
806912,0
811008,0
815104,0
819200,0
823296,0
827392,0
831488,0
835584,0
839680,0
843776,0
847872,0
851968,0
856064,0
860160,0
864256,0
868352,0
872448,0
876544,0
880640,0
884736,0
888832,0
892928,0
897024,0
901120,0
905216,0
909312,0
913408,0
917504,0
921600,0
925696,0
929792,0
933888,0
937984,0
942080,0
946176,0
950272,0
954368,0
958464,0
962560,0
966656,0
970752,0
974848,0
978944,0
983040,0
987136,0
991232,0
995328,0
999424,27
1003520,27
1007616,27
1011712,27
1015808,27
1019904,27
1024000,27
1028096,27
1032192,27
1036288,27
1040384,27
1044480,27
1048576,27
1052672,27
1056768,27
1060864,27
1064960,27
1069056,27
1073152,27
1077248,27
1081344,27
1085440,27
1089536,27
1093632,27
1097728,27
1101824,27
1105920,27
1110016,27
1114112,27
1118208,27
1122304,27
1126400,27
1130496,27
1134592,27
1138688,27
1142784,27
1146880,27
1150976,27
1155072,27
1159168,27
1163264,27
1167360,27
1171456,27
1175552,27
1179648,27
1183744,27
1187840,27
1191936,27
1196032,27
1200128,27
1204224,27
1208320,27
1212416,27
1216512,27
1220608,27
1224704,27
1228800,27
1232896,27
1236992,27
1241088,27
1245184,27
1249280,27
1253376,27
1257472,27
1261568,27
1265664,27
1269760,27
1273856,27
1277952,27
1282048,27
1286144,27
1290240,27
1294336,27
1298432,27
1302528,27
1306624,27
1310720,27
1314816,27
1318912,27
1323008,27
1327104,27
1331200,27
1335296,27
1339392,27
1343488,27
1347584,27
1351680,27
1355776,27
1359872,27
1363968,27
1368064,27
1372160,27
1376256,27
1380352,27
1384448,27
1388544,27
1392640,27
1396736,27
1400832,27
1404928,27
1409024,27
1413120,27
1417216,27
1421312,27
1425408,27
1429504,27
1433600,27
1437696,27
1441792,27
1445888,27
1449984,27
1454080,27
1458176,27
1462272,27
1466368,27
1470464,27
1474560,27
1478656,27
1482752,27
1486848,27
1490944,27
1495040,27
1499136,27
1503232,27
1507328,27
1511424,27
1515520,27
1519616,27
1523712,27
1527808,27
1531904,27
1536000,27
1540096,27
1544192,27
1548288,27
1552384,27
1556480,27
1560576,27
1564672,27
1568768,27
1572864,27
1576960,27
1581056,27
1585152,27
1589248,27
1593344,27
1597440,27
1601536,27
1605632,27
1609728,27
1613824,27
1617920,27
1622016,27
1626112,27
1630208,27
1634304,27
1638400,27
1642496,27
1646592,27
1650688,27
1654784,27
1658880,27
1662976,27
1667072,27
1671168,27
1675264,27
1679360,27
1683456,27
1687552,27
1691648,27
1695744,27
1699840,27
1703936,27
1708032,27
1712128,27
1716224,27
1720320,27
1724416,27
1728512,27
1732608,27
1736704,27
1740800,27
1744896,27
1748992,27
1753088,27
1757184,27
1761280,27
1765376,27
1769472,27
1773568,27
1777664,27
1781760,27
1785856,27
1789952,27
1794048,27
1798144,27
1802240,27
1806336,27
1810432,27
1814528,27
1818624,27
1822720,27
1826816,27
1830912,27
1835008,27
1839104,27
1843200,27
1847296,27
1851392,27
1855488,27
1859584,27
1863680,27
1867776,27
1871872,27
1875968,27
1880064,27
1884160,27
1888256,27
1892352,27
1896448,27
1900544,27
1904640,27
1908736,27
1912832,27
1916928,27
1921024,27
1925120,27
1929216,27
1933312,27
1937408,27
1941504,27
1945600,27
1949696,27
1953792,27
1957888,27
1961984,27
1966080,27
1970176,27
1974272,27
1978368,27
1982464,27
1986560,27
1990656,27
1994752,27
1998848,51
2002944,51
2007040,51
2011136,51
2015232,51
2019328,51
2023424,51
2027520,51
2031616,51
2035712,51
2039808,51
2043904,51
2048000,51
2052096,51
2056192,51
2060288,51
2064384,51
2068480,51
2072576,51
2076672,51
2080768,51
2084864,51
2088960,51
2093056,51
2097152,51
2101248,51
2105344,51
2109440,51
2113536,51
2117632,51
2121728,51
2125824,51
2129920,51
2134016,51
2138112,51
2142208,51
2146304,51
2150400,51
2154496,51
2158592,51
2162688,51
2166784,51
2170880,51
2174976,51
2179072,51
2183168,51
2187264,51
2191360,51
2195456,51
2199552,51
2203648,51
2207744,51
2211840,51
2215936,51
2220032,51
2224128,51
2228224,51
2232320,51
2236416,51
2240512,51
2244608,51
2248704,51
2252800,51
2256896,51
2260992,51
2265088,51
2269184,51
2273280,51
2277376,51
2281472,51
2285568,51
2289664,51
2293760,51
2297856,51
2301952,51
2306048,51
2310144,51
2314240,51
2318336,51
2322432,51
2326528,51
2330624,51
2334720,51
2338816,51
2342912,51
2347008,51
2351104,51
2355200,51
2359296,51
2363392,51
2367488,51
2371584,51
2375680,51
2379776,51
2383872,51
2387968,51
2392064,51
2396160,51
2400256,51
2404352,51
2408448,51
2412544,51
2416640,51
2420736,51
2424832,51
2428928,51
2433024,51
2437120,51
2441216,51
2445312,51
2449408,51
2453504,51
2457600,51
2461696,51
2465792,51
2469888,51
2473984,51
2478080,51
2482176,51
2486272,51
2490368,51
2494464,51
2498560,51
2502656,51
2506752,51
2510848,51
2514944,51
2519040,51
2523136,51
2527232,51
2531328,51
2535424,51
2539520,51
2543616,51
2547712,51
2551808,51
2555904,51
2560000,51
2564096,51
2568192,51
2572288,51
2576384,51
2580480,51
2584576,51
2588672,51
2592768,51
2596864,51
2600960,51
2605056,51
2609152,51
2613248,51
2617344,51
2621440,51
2625536,51
2629632,51
2633728,51
2637824,51
2641920,51
2646016,51
2650112,51
2654208,51
2658304,51
2662400,51
2666496,51
2670592,51
2674688,51
2678784,51
2682880,51
2686976,51
2691072,51
2695168,51
2699264,51
2703360,51
2707456,51
2711552,51
2715648,51
2719744,51
2723840,51
2727936,51
2732032,51
2736128,51
2740224,51
2744320,51
2748416,51
2752512,51
2756608,51
2760704,51
2764800,51
2768896,51
2772992,51
2777088,51
2781184,51
2785280,51
2789376,51
2793472,51
2797568,51
2801664,51
2805760,51
2809856,51
2813952,51
2818048,51
2822144,51
2826240,51
2830336,51
2834432,51
2838528,51
2842624,51
2846720,51
2850816,51
2854912,51
2859008,51
2863104,51
2867200,51
2871296,51
2875392,51
2879488,51
2883584,51
2887680,51
2891776,51
2895872,51
2899968,51
2904064,51
2908160,51
2912256,51
2916352,51
2920448,51
2924544,51
2928640,51
2932736,51
2936832,51
2940928,51
2945024,51
2949120,51
2953216,51
2957312,51
2961408,51
2965504,51
2969600,51
2973696,51
2977792,51
2981888,51
2985984,51
2990080,51
2994176,51
2998272,52
3002368,52
3006464,52
3010560,52
3014656,52
3018752,52
3022848,52
3026944,52
3031040,52
3035136,52
3039232,52
3043328,52
3047424,52
3051520,52
3055616,52
3059712,52
3063808,52
3067904,52
3072000,52
3076096,52
3080192,52
3084288,52
3088384,52
3092480,52
3096576,52
3100672,52
3104768,52
3108864,52
3112960,52
3117056,52
3121152,52
3125248,52
3129344,52
3133440,52
3137536,52
3141632,52
3145728,52
3149824,52
3153920,52
3158016,52
3162112,52
3166208,52
3170304,52
3174400,52
3178496,52
3182592,52
3186688,52
3190784,52
3194880,52
3198976,52
3203072,52
3207168,52
3211264,52
3215360,52
3219456,52
3223552,52
3227648,52
3231744,52
3235840,52
3239936,52
3244032,52
3248128,52
3252224,52
3256320,52
3260416,52
3264512,52
3268608,52
3272704,52
3276800,52
3280896,52
3284992,52
3289088,52
3293184,52
3297280,52
3301376,52
3305472,52
3309568,52
3313664,52
3317760,52
3321856,52
3325952,52
3330048,52
3334144,52
3338240,52
3342336,52
3346432,52
3350528,52
3354624,52
3358720,52
3362816,52
3366912,52
3371008,52
3375104,52
3379200,52
3383296,52
3387392,52
3391488,52
3395584,52
3399680,52
3403776,52
3407872,52
3411968,52
3416064,52
3420160,52
3424256,52
3428352,52
3432448,52
3436544,52
3440640,52
3444736,52
3448832,52
3452928,52
3457024,52
3461120,52
3465216,52
3469312,52
3473408,52
3477504,52
3481600,52
3485696,52
3489792,52
3493888,52
3497984,52
3502080,52
3506176,52
3510272,52
3514368,52
3518464,52
3522560,52
3526656,52
3530752,52
3534848,52
3538944,52
3543040,52
3547136,52
3551232,52
3555328,52
3559424,52
3563520,52
3567616,52
3571712,52
3575808,52
3579904,52
3584000,52
3588096,52
3592192,52
3596288,52
3600384,52
3604480,52
3608576,52
3612672,52
3616768,52
3620864,52
3624960,52
3629056,52
3633152,52
3637248,52
3641344,52
3645440,52
3649536,52
3653632,52
3657728,52
3661824,52
3665920,52
3670016,52
3674112,52
3678208,52
3682304,52
3686400,52
3690496,52
3694592,52
3698688,52
3702784,52
3706880,52
3710976,52
3715072,52
3719168,52
3723264,52
3727360,52
3731456,52
3735552,52
3739648,52
3743744,52
3747840,52
3751936,52
3756032,52
3760128,52
3764224,52
3768320,52
3772416,52
3776512,52
3780608,52
3784704,52
3788800,52
3792896,52
3796992,52
3801088,52
3805184,52
3809280,52
3813376,52
3817472,52
3821568,52
3825664,52
3829760,52
3833856,52
3837952,52
3842048,52
3846144,52
3850240,52
3854336,52
3858432,52
3862528,52
3866624,52
3870720,52
3874816,52
3878912,52
3883008,52
3887104,52
3891200,52
3895296,52
3899392,52
3903488,52
3907584,52
3911680,52
3915776,52
3919872,52
3923968,52
3928064,52
3932160,52
3936256,52
3940352,52
3944448,52
3948544,52
3952640,52
3956736,52
3960832,52
3964928,52
3969024,52
3973120,52
3977216,52
3981312,52
3985408,52
3989504,52
3993600,52
3997696,150
4001792,150
4005888,150
4009984,150
4014080,150
4018176,150
4022272,150
4026368,150
4030464,150
4034560,150
4038656,150
4042752,150
4046848,150
4050944,150
4055040,150
4059136,150
4063232,150
4067328,150
4071424,150
4075520,150
4079616,150
4083712,150
4087808,150
4091904,150
4096000,150
4100096,150
4104192,150
4108288,150
4112384,150
4116480,150
4120576,150
4124672,150
4128768,150
4132864,150
4136960,150
4141056,150
4145152,150
4149248,150
4153344,150
4157440,150
4161536,150
4165632,150
4169728,150
4173824,150
4177920,150
4182016,150
4186112,150
4190208,150
4194304,150
4198400,150
4202496,150
4206592,150
4210688,150
4214784,150
4218880,150
4222976,150
4227072,150
4231168,150
4235264,150
4239360,150
4243456,150
4247552,150
4251648,150
4255744,150
4259840,150
4263936,150
4268032,150
4272128,150
4276224,150
4280320,150
4284416,150
4288512,150
4292608,150
4296704,150
4300800,150
4304896,150
4308992,150
4313088,150
4317184,150
4321280,150
4325376,150
4329472,150
4333568,150
4337664,150
4341760,150
4345856,150
4349952,150
4354048,150
4358144,150
4362240,150
4366336,150
4370432,150
4374528,150
4378624,150
4382720,150
4386816,150
4390912,150
4395008,150
4399104,150
4403200,150
4407296,150
4411392,150
4415488,150
4419584,150
4423680,150
4427776,150
4431872,150
4435968,150
4440064,150
4444160,150
4448256,150
4452352,150
4456448,150
4460544,150
4464640,150
4468736,150
4472832,150
4476928,150
4481024,150
4485120,150
4489216,150
4493312,150
4497408,150
4501504,150
4505600,150
4509696,150
4513792,150
4517888,150
4521984,150
4526080,150
4530176,150
4534272,150
4538368,150
4542464,150
4546560,150
4550656,150
4554752,150
4558848,150
4562944,150
4567040,150
4571136,150
4575232,150
4579328,150
4583424,150
4587520,150
4591616,150
4595712,150
4599808,150
4603904,150
4608000,150
4612096,150
4616192,150
4620288,150
4624384,150
4628480,150
4632576,150
4636672,150
4640768,150
4644864,150
4648960,150
4653056,150
4657152,150
4661248,150
4665344,150
4669440,150
4673536,150
4677632,150
4681728,150
4685824,150
4689920,150
4694016,150
4698112,150
4702208,150
4706304,150
4710400,150
4714496,150
4718592,150
4722688,150
4726784,150
4730880,150
4734976,150
4739072,150
4743168,150
4747264,150
4751360,150
4755456,150
4759552,150
4763648,150
4767744,150
4771840,150
4775936,150
4780032,150
4784128,150
4788224,150
4792320,150
4796416,150
4800512,150
4804608,150
4808704,150
4812800,150
4816896,150
4820992,150
4825088,150
4829184,150
4833280,150
4837376,150
4841472,150
4845568,150
4849664,150
4853760,150
4857856,150
4861952,150
4866048,150
4870144,150
4874240,150
4878336,150
4882432,150
4886528,150
4890624,150
4894720,150
4898816,150
4902912,150
4907008,150
4911104,150
4915200,150
4919296,150
4923392,150
4927488,150
4931584,150
4935680,150
4939776,150
4943872,150
4947968,150
4952064,150
4956160,150
4960256,150
4964352,150
4968448,150
4972544,150
4976640,150
4980736,150
4984832,150
4988928,150
4993024,150
4997120,153
5001216,153
5005312,153
5009408,153
5013504,153
5017600,153
5021696,153
5025792,153
5029888,153
5033984,153
5038080,153
5042176,153
5046272,153
5050368,153
5054464,153
5058560,153
5062656,153
5066752,153
5070848,153
5074944,153
5079040,153
5083136,153
5087232,153
5091328,153
5095424,153
5099520,153
5103616,153
5107712,153
5111808,153
5115904,153
5120000,153
5124096,153
5128192,153
5132288,153
5136384,153
5140480,153
5144576,153
5148672,153
5152768,153
5156864,153
5160960,153
5165056,153
5169152,153
5173248,153
5177344,153
5181440,153
5185536,153
5189632,153
5193728,153
5197824,153
5201920,153
5206016,153
5210112,153
5214208,153
5218304,153
5222400,153
5226496,153
5230592,153
5234688,153
5238784,153
5242880,153
5246976,153
5251072,153
5255168,153
5259264,153
5263360,153
5267456,153
5271552,153
5275648,153
5279744,153
5283840,153
5287936,153
5292032,153
5296128,153
5300224,153
5304320,153
5308416,153
5312512,153
5316608,153
5320704,153
5324800,153
5328896,153
5332992,153
5337088,153
5341184,153
5345280,153
5349376,153
5353472,153
5357568,153
5361664,153
5365760,153
5369856,153
5373952,153
5378048,153
5382144,153
5386240,153
5390336,153
5394432,153
5398528,153
5402624,153
5406720,153
5410816,153
5414912,153
5419008,153
5423104,153
5427200,153
5431296,153
5435392,153
5439488,153
5443584,153
5447680,153
5451776,153
5455872,153
5459968,153
5464064,153
5468160,153
5472256,153
5476352,153
5480448,153
5484544,153
5488640,153
5492736,153
5496832,153
5500928,153
5505024,153
5509120,153
5513216,153
5517312,153
5521408,153
5525504,153
5529600,153
5533696,153
5537792,153
5541888,153
5545984,153
5550080,153
5554176,153
5558272,153
5562368,153
5566464,153
5570560,153
5574656,153
5578752,153
5582848,153
5586944,153
5591040,153
5595136,153
5599232,153
5603328,153
5607424,153
5611520,153
5615616,153
5619712,153
5623808,153
5627904,153
5632000,153
5636096,153
5640192,153
5644288,153
5648384,153
5652480,153
5656576,153
5660672,153
5664768,153
5668864,153
5672960,153
5677056,153
5681152,153
5685248,153
5689344,153
5693440,153
5697536,153
5701632,153
5705728,153
5709824,153
5713920,153
5718016,153
5722112,153
5726208,153
5730304,153
5734400,153
5738496,153
5742592,153
5746688,153
5750784,153
5754880,153
5758976,153
5763072,153
5767168,153
5771264,153
5775360,153
5779456,153
5783552,153
5787648,153
5791744,153
5795840,153
5799936,153
5804032,153
5808128,153
5812224,153
5816320,153
5820416,153
5824512,153
5828608,153
5832704,153
5836800,153
5840896,153
5844992,153
5849088,153
5853184,153
5857280,153
5861376,153
5865472,153
5869568,153
5873664,153
5877760,153
5881856,153
5885952,153
5890048,153
