env_step,pqn_SpaceInvaders-MinAtar - returned_episode_returns
4096,0.30810546875
8192,1.752685546875
12288,2.8896484375
16384,3.52880859375
20480,4.195068359375
24576,4.6875
28672,4.6064453125
32768,4.203125
36864,4.12744140625
40960,3.835693359375
45056,4.013671875
49152,4.178955078125
53248,4.365234375
57344,3.947998046875
61440,4.168701171875
65536,4.2568359375
69632,4.1845703125
73728,3.966552734375
77824,4.213623046875
81920,4.420654296875
86016,4.313720703125
90112,4.08642578125
94208,4.45166015625
98304,4.137939453125
102400,4.246826171875
106496,4.208984375
110592,4.1240234375
114688,3.894775390625
118784,4.41259765625
122880,4.36962890625
126976,4.392333984375
131072,4.155029296875
135168,4.49365234375
139264,4.333251953125
143360,4.403564453125
147456,4.384521484375
151552,4.679443359375
155648,4.985595703125
159744,5.260009765625
163840,5.656005859375
167936,5.460205078125
172032,5.100830078125
176128,4.93896484375
180224,4.598876953125
184320,4.556640625
188416,4.60400390625
192512,4.9716796875
196608,4.94384765625
200704,5.190185546875
204800,4.981689453125
208896,4.813232421875
212992,4.726806640625
217088,5.221923828125
221184,4.829833984375
225280,4.748046875
229376,4.81201171875
233472,5.187744140625
237568,5.576416015625
241664,6.079833984375
245760,5.846923828125
249856,5.344482421875
253952,5.2646484375
258048,5.36767578125
262144,5.909912109375
266240,5.583984375
270336,5.425048828125
274432,5.254638671875
278528,5.34765625
282624,5.558837890625
286720,5.78173828125
290816,5.654052734375
294912,5.44140625
299008,5.29345703125
303104,5.50390625
307200,5.801025390625
311296,6.257080078125
315392,6.22412109375
319488,6.270263671875
323584,6.369140625
327680,6.57763671875
331776,6.5478515625
335872,6.241943359375
339968,6.200927734375
344064,5.994140625
348160,6.282470703125
352256,6.39599609375
356352,7.07861328125
360448,6.764404296875
364544,6.6298828125
368640,6.825439453125
372736,6.841064453125
376832,6.100341796875
380928,6.27490234375
385024,6.2548828125
389120,6.628173828125
393216,6.943359375
397312,6.9560546875
401408,7.31982421875
405504,7.4931640625
409600,7.494873046875
413696,7.272216796875
417792,7.60498046875
421888,7.66552734375
425984,7.537353515625
430080,7.9697265625
434176,7.8173828125
438272,7.74072265625
442368,7.544189453125
446464,7.306884765625
450560,7.087890625
454656,7.139892578125
458752,7.272216796875
462848,7.540771484375
466944,7.61376953125
471040,8.14990234375
475136,8.3701171875
479232,8.244384765625
483328,7.81494140625
487424,8.0224609375
491520,8.236572265625
495616,8.253173828125
499712,8.665283203125
503808,8.54052734375
507904,7.873779296875
512000,7.672119140625
516096,7.33349609375
520192,7.6064453125
524288,8.058349609375
528384,8.264892578125
532480,8.6142578125
536576,8.677001953125
540672,8.29052734375
544768,8.434326171875
548864,8.096923828125
552960,8.315673828125
557056,8.60693359375
561152,9.011474609375
565248,9.388427734375
569344,9.63525390625
573440,9.226318359375
577536,9.011962890625
581632,9.248046875
585728,9.356689453125
589824,9.399658203125
593920,9.1083984375
598016,8.602294921875
602112,8.833740234375
606208,9.0693359375
610304,8.966796875
614400,9.251953125
618496,8.991455078125
622592,9.193603515625
626688,9.17431640625
630784,9.377685546875
634880,9.239990234375
638976,9.456787109375
643072,9.480712890625
647168,9.147216796875
651264,9.634765625
655360,9.450439453125
659456,9.330810546875
663552,9.50390625
667648,9.98583984375
671744,10.15869140625
675840,9.91455078125
679936,9.598876953125
684032,9.780029296875
688128,9.86962890625
692224,9.591552734375
696320,10.141845703125
700416,10.587890625
704512,9.8134765625
708608,10.413818359375
712704,11.103271484375
716800,11.151611328125
720896,10.630126953125
724992,10.281982421875
729088,10.705322265625
733184,10.49267578125
737280,11.303466796875
741376,11.652587890625
745472,11.599853515625
749568,11.343505859375
753664,11.438232421875
757760,11.66796875
761856,11.5185546875
765952,11.23095703125
770048,11.62353515625
774144,11.904052734375
778240,11.839111328125
782336,12.576171875
786432,11.873046875
790528,11.745361328125
794624,11.369873046875
798720,11.110107421875
802816,11.033203125
806912,11.07421875
811008,11.2333984375
815104,10.8623046875
819200,10.850341796875
823296,10.88818359375
827392,11.15087890625
831488,11.470458984375
835584,11.93798828125
839680,11.60302734375
843776,11.817138671875
847872,12.099853515625
851968,12.4833984375
856064,12.006103515625
860160,11.830078125
864256,11.685546875
868352,11.8056640625
872448,12.205078125
876544,12.18701171875
880640,12.17919921875
884736,11.963134765625
888832,12.104248046875
892928,11.8974609375
897024,12.387939453125
901120,12.897216796875
905216,13.093994140625
909312,12.7666015625
913408,13.18798828125
917504,13.152587890625
921600,13.120361328125
925696,13.21826171875
929792,12.97705078125
933888,13.09423828125
937984,13.8251953125
942080,13.77001953125
946176,13.77099609375
950272,13.3388671875
954368,13.038330078125
958464,13.28466796875
962560,13.960205078125
966656,14.83984375
970752,15.49609375
974848,15.349609375
978944,15.3212890625
983040,15.093017578125
987136,14.61083984375
991232,14.98681640625
995328,14.912109375
999424,15.27880859375
