"env_step","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.4013671875","0.4013671875","0.4013671875"
"12288","3","3","3","0.4140625","0.4140625","0.4140625"
"16384","4","4","4","0.436279296875","0.436279296875","0.436279296875"
"20480","5","5","5","0.39599609375","0.39599609375","0.39599609375"
"24576","6","6","6","0.423828125","0.423828125","0.423828125"
"28672","7","7","7","0.452392578125","0.452392578125","0.452392578125"
"32768","8","8","8","0.458740234375","0.458740234375","0.458740234375"
"36864","9","9","9","0.430908203125","0.430908203125","0.430908203125"
"40960","10","10","10","0.423583984375","0.423583984375","0.423583984375"
"45056","11","11","11","0.436279296875","0.436279296875","0.436279296875"
"49152","12","12","12","0.406982421875","0.406982421875","0.406982421875"
"53248","13","13","13","0.4150390625","0.4150390625","0.4150390625"
"57344","14","14","14","0.4462890625","0.4462890625","0.4462890625"
"61440","15","15","15","0.419921875","0.419921875","0.419921875"
"65536","16","16","16","0.43994140625","0.43994140625","0.43994140625"
"69632","17","17","17","0.460693359375","0.460693359375","0.460693359375"
"73728","18","18","18","0.529541015625","0.529541015625","0.529541015625"
"77824","19","19","19","0.41845703125","0.41845703125","0.41845703125"
"81920","20","20","20","0.47412109375","0.47412109375","0.47412109375"
"86016","21","21","21","0.465576171875","0.465576171875","0.465576171875"
"90112","22","22","22","0.456298828125","0.456298828125","0.456298828125"
"94208","23","23","23","0.396728515625","0.396728515625","0.396728515625"
"98304","24","24","24","0.4013671875","0.4013671875","0.4013671875"
"102400","25","25","25","0.504638671875","0.504638671875","0.504638671875"
"106496","26","26","26","0.437255859375","0.437255859375","0.437255859375"
"110592","27","27","27","0.418212890625","0.418212890625","0.418212890625"
"114688","28","28","28","0.5009765625","0.5009765625","0.5009765625"
"118784","29","29","29","0.468017578125","0.468017578125","0.468017578125"
"122880","30","30","30","0.488037109375","0.488037109375","0.488037109375"
"126976","31","31","31","0.530517578125","0.530517578125","0.530517578125"
"131072","32","32","32","0.51513671875","0.51513671875","0.51513671875"
"135168","33","33","33","0.50146484375","0.50146484375","0.50146484375"
"139264","34","34","34","0.422119140625","0.422119140625","0.422119140625"
"143360","35","35","35","0.471435546875","0.471435546875","0.471435546875"
"147456","36","36","36","0.521240234375","0.521240234375","0.521240234375"
"151552","37","37","37","0.5205078125","0.5205078125","0.5205078125"
"155648","38","38","38","0.57861328125","0.57861328125","0.57861328125"
"159744","39","39","39","0.525390625","0.525390625","0.525390625"
"163840","40","40","40","0.542724609375","0.542724609375","0.542724609375"
"167936","41","41","41","0.56005859375","0.56005859375","0.56005859375"
"172032","42","42","42","0.534423828125","0.534423828125","0.534423828125"
"176128","43","43","43","0.590576171875","0.590576171875","0.590576171875"
"180224","44","44","44","0.523681640625","0.523681640625","0.523681640625"
"184320","45","45","45","0.489013671875","0.489013671875","0.489013671875"
"188416","46","46","46","0.55615234375","0.55615234375","0.55615234375"
"192512","47","47","47","0.522216796875","0.522216796875","0.522216796875"
"196608","48","48","48","0.5341796875","0.5341796875","0.5341796875"
"200704","49","49","49","0.53515625","0.53515625","0.53515625"
"204800","50","50","50","0.559814453125","0.559814453125","0.559814453125"
"208896","51","51","51","0.599365234375","0.599365234375","0.599365234375"
"212992","52","52","52","0.577880859375","0.577880859375","0.577880859375"
"217088","53","53","53","0.59326171875","0.59326171875","0.59326171875"
"221184","54","54","54","0.552734375","0.552734375","0.552734375"
"225280","55","55","55","0.556640625","0.556640625","0.556640625"
"229376","56","56","56","0.530029296875","0.530029296875","0.530029296875"
"233472","57","57","57","0.61279296875","0.61279296875","0.61279296875"
"237568","58","58","58","0.601318359375","0.601318359375","0.601318359375"
"241664","59","59","59","0.5986328125","0.5986328125","0.5986328125"
"245760","60","60","60","0.49853515625","0.49853515625","0.49853515625"
"249856","61","61","61","0.554931640625","0.554931640625","0.554931640625"
"253952","62","62","62","0.55615234375","0.55615234375","0.55615234375"
"258048","63","63","63","0.674072265625","0.674072265625","0.674072265625"
"262144","64","64","64","0.595703125","0.595703125","0.595703125"
"266240","65","65","65","0.575439453125","0.575439453125","0.575439453125"
"270336","66","66","66","0.599853515625","0.599853515625","0.599853515625"
"274432","67","67","67","0.694580078125","0.694580078125","0.694580078125"
"278528","68","68","68","0.5810546875","0.5810546875","0.5810546875"
"282624","69","69","69","0.71728515625","0.71728515625","0.71728515625"
"286720","70","70","70","0.565673828125","0.565673828125","0.565673828125"
"290816","71","71","71","0.605224609375","0.605224609375","0.605224609375"
"294912","72","72","72","0.624755859375","0.624755859375","0.624755859375"
"299008","73","73","73","0.60498046875","0.60498046875","0.60498046875"
"303104","74","74","74","0.657958984375","0.657958984375","0.657958984375"
"307200","75","75","75","0.681884765625","0.681884765625","0.681884765625"
"311296","76","76","76","0.5595703125","0.5595703125","0.5595703125"
"315392","77","77","77","0.621337890625","0.621337890625","0.621337890625"
"319488","78","78","78","0.677978515625","0.677978515625","0.677978515625"
"323584","79","79","79","0.67529296875","0.67529296875","0.67529296875"
"327680","80","80","80","0.728271484375","0.728271484375","0.728271484375"
"331776","81","81","81","0.75048828125","0.75048828125","0.75048828125"
"335872","82","82","82","0.753173828125","0.753173828125","0.753173828125"
"339968","83","83","83","0.709716796875","0.709716796875","0.709716796875"
"344064","84","84","84","0.709228515625","0.709228515625","0.709228515625"
"348160","85","85","85","0.642333984375","0.642333984375","0.642333984375"
"352256","86","86","86","0.799072265625","0.799072265625","0.799072265625"
"356352","87","87","87","0.776611328125","0.776611328125","0.776611328125"
"360448","88","88","88","0.681396484375","0.681396484375","0.681396484375"
"364544","89","89","89","0.7060546875","0.7060546875","0.7060546875"
"368640","90","90","90","0.733642578125","0.733642578125","0.733642578125"
"372736","91","91","91","0.72802734375","0.72802734375","0.72802734375"
"376832","92","92","92","0.854248046875","0.854248046875","0.854248046875"
"380928","93","93","93","0.733154296875","0.733154296875","0.733154296875"
"385024","94","94","94","0.75146484375","0.75146484375","0.75146484375"
"389120","95","95","95","0.66259765625","0.66259765625","0.66259765625"
"393216","96","96","96","0.73095703125","0.73095703125","0.73095703125"
"397312","97","97","97","0.695556640625","0.695556640625","0.695556640625"
"401408","98","98","98","0.744384765625","0.744384765625","0.744384765625"
"405504","99","99","99","0.689208984375","0.689208984375","0.689208984375"
"409600","100","100","100","0.733154296875","0.733154296875","0.733154296875"
"413696","101","101","101","0.69140625","0.69140625","0.69140625"
"417792","102","102","102","0.774169921875","0.774169921875","0.774169921875"
"421888","103","103","103","0.82373046875","0.82373046875","0.82373046875"
"425984","104","104","104","0.718994140625","0.718994140625","0.718994140625"
"430080","105","105","105","0.83740234375","0.83740234375","0.83740234375"
"434176","106","106","106","0.718994140625","0.718994140625","0.718994140625"
"438272","107","107","107","0.6650390625","0.6650390625","0.6650390625"
"442368","108","108","108","0.834716796875","0.834716796875","0.834716796875"
"446464","109","109","109","0.86083984375","0.86083984375","0.86083984375"
"450560","110","110","110","0.87158203125","0.87158203125","0.87158203125"
"454656","111","111","111","0.866943359375","0.866943359375","0.866943359375"
"458752","112","112","112","0.825927734375","0.825927734375","0.825927734375"
"462848","113","113","113","0.883056640625","0.883056640625","0.883056640625"
"466944","114","114","114","0.890625","0.890625","0.890625"
"471040","115","115","115","0.87841796875","0.87841796875","0.87841796875"
"475136","116","116","116","0.891845703125","0.891845703125","0.891845703125"
"479232","117","117","117","0.75390625","0.75390625","0.75390625"
"483328","118","118","118","0.8037109375","0.8037109375","0.8037109375"
"487424","119","119","119","0.921142578125","0.921142578125","0.921142578125"
"491520","120","120","120","0.857177734375","0.857177734375","0.857177734375"
"495616","121","121","121","0.851806640625","0.851806640625","0.851806640625"
"499712","122","122","122","0.889404296875","0.889404296875","0.889404296875"
"503808","123","123","123","0.890625","0.890625","0.890625"
"507904","124","124","124","0.84033203125","0.84033203125","0.84033203125"
"512000","125","125","125","0.912841796875","0.912841796875","0.912841796875"
"516096","126","126","126","0.953857421875","0.953857421875","0.953857421875"
"520192","127","127","127","0.96826171875","0.96826171875","0.96826171875"
"524288","128","128","128","0.834716796875","0.834716796875","0.834716796875"
"528384","129","129","129","0.879638671875","0.879638671875","0.879638671875"
"532480","130","130","130","0.881591796875","0.881591796875","0.881591796875"
"536576","131","131","131","0.841552734375","0.841552734375","0.841552734375"
"540672","132","132","132","0.99072265625","0.99072265625","0.99072265625"
"544768","133","133","133","0.98388671875","0.98388671875","0.98388671875"
"548864","134","134","134","0.93505859375","0.93505859375","0.93505859375"
"552960","135","135","135","0.99609375","0.99609375","0.99609375"
"557056","136","136","136","1.023681640625","1.023681640625","1.023681640625"
"561152","137","137","137","1.04541015625","1.04541015625","1.04541015625"
"565248","138","138","138","0.95556640625","0.95556640625","0.95556640625"
"569344","139","139","139","1.032470703125","1.032470703125","1.032470703125"
"573440","140","140","140","0.939453125","0.939453125","0.939453125"
"577536","141","141","141","1.09375","1.09375","1.09375"
"581632","142","142","142","1.05419921875","1.05419921875","1.05419921875"
"585728","143","143","143","0.9345703125","0.9345703125","0.9345703125"
"589824","144","144","144","1.0048828125","1.0048828125","1.0048828125"
"593920","145","145","145","1.00244140625","1.00244140625","1.00244140625"
"598016","146","146","146","0.9462890625","0.9462890625","0.9462890625"
"602112","147","147","147","0.85791015625","0.85791015625","0.85791015625"
"606208","148","148","148","1.084228515625","1.084228515625","1.084228515625"
"610304","149","149","149","1.046142578125","1.046142578125","1.046142578125"
"614400","150","150","150","1.009521484375","1.009521484375","1.009521484375"
"618496","151","151","151","1.129638671875","1.129638671875","1.129638671875"
"622592","152","152","152","1.134033203125","1.134033203125","1.134033203125"
"626688","153","153","153","1.139404296875","1.139404296875","1.139404296875"
"630784","154","154","154","1.0517578125","1.0517578125","1.0517578125"
"634880","155","155","155","0.934814453125","0.934814453125","0.934814453125"
"638976","156","156","156","1.087158203125","1.087158203125","1.087158203125"
"643072","157","157","157","1.075927734375","1.075927734375","1.075927734375"
"647168","158","158","158","1.13037109375","1.13037109375","1.13037109375"
"651264","159","159","159","1.064697265625","1.064697265625","1.064697265625"
"655360","160","160","160","1.014892578125","1.014892578125","1.014892578125"
"659456","161","161","161","1.215576171875","1.215576171875","1.215576171875"
"663552","162","162","162","1.139892578125","1.139892578125","1.139892578125"
"667648","163","163","163","1.1240234375","1.1240234375","1.1240234375"
"671744","164","164","164","0.97119140625","0.97119140625","0.97119140625"
"675840","165","165","165","0.974365234375","0.974365234375","0.974365234375"
"679936","166","166","166","0.91357421875","0.91357421875","0.91357421875"
"684032","167","167","167","1.042724609375","1.042724609375","1.042724609375"
"688128","168","168","168","1.15234375","1.15234375","1.15234375"
"692224","169","169","169","1.084228515625","1.084228515625","1.084228515625"
"696320","170","170","170","1.291748046875","1.291748046875","1.291748046875"
"700416","171","171","171","1.15185546875","1.15185546875","1.15185546875"
"704512","172","172","172","1.093994140625","1.093994140625","1.093994140625"
"708608","173","173","173","1.19580078125","1.19580078125","1.19580078125"
"712704","174","174","174","1.09765625","1.09765625","1.09765625"
"716800","175","175","175","0.9931640625","0.9931640625","0.9931640625"
"720896","176","176","176","1.21484375","1.21484375","1.21484375"
"724992","177","177","177","1.36962890625","1.36962890625","1.36962890625"
"729088","178","178","178","1.20556640625","1.20556640625","1.20556640625"
"733184","179","179","179","1.078369140625","1.078369140625","1.078369140625"
"737280","180","180","180","1.317626953125","1.317626953125","1.317626953125"
"741376","181","181","181","1.289306640625","1.289306640625","1.289306640625"
"745472","182","182","182","1.137939453125","1.137939453125","1.137939453125"
"749568","183","183","183","1.15771484375","1.15771484375","1.15771484375"
"753664","184","184","184","1.23046875","1.23046875","1.23046875"
"757760","185","185","185","1.129150390625","1.129150390625","1.129150390625"
"761856","186","186","186","1.2138671875","1.2138671875","1.2138671875"
"765952","187","187","187","1.35693359375","1.35693359375","1.35693359375"
"770048","188","188","188","1.414794921875","1.414794921875","1.414794921875"
"774144","189","189","189","1.4384765625","1.4384765625","1.4384765625"
"778240","190","190","190","1.23583984375","1.23583984375","1.23583984375"
"782336","191","191","191","1.32568359375","1.32568359375","1.32568359375"
"786432","192","192","192","1.2275390625","1.2275390625","1.2275390625"
"790528","193","193","193","1.16064453125","1.16064453125","1.16064453125"
"794624","194","194","194","1.361328125","1.361328125","1.361328125"
"798720","195","195","195","1.519287109375","1.519287109375","1.519287109375"
"802816","196","196","196","1.521240234375","1.521240234375","1.521240234375"
"806912","197","197","197","1.409423828125","1.409423828125","1.409423828125"
"811008","198","198","198","1.30859375","1.30859375","1.30859375"
"815104","199","199","199","1.37939453125","1.37939453125","1.37939453125"
"819200","200","200","200","1.5361328125","1.5361328125","1.5361328125"
"823296","201","201","201","1.413330078125","1.413330078125","1.413330078125"
"827392","202","202","202","1.362548828125","1.362548828125","1.362548828125"
"831488","203","203","203","1.4306640625","1.4306640625","1.4306640625"
"835584","204","204","204","1.41064453125","1.41064453125","1.41064453125"
"839680","205","205","205","1.39990234375","1.39990234375","1.39990234375"
"843776","206","206","206","1.560791015625","1.560791015625","1.560791015625"
"847872","207","207","207","1.432373046875","1.432373046875","1.432373046875"
"851968","208","208","208","1.427490234375","1.427490234375","1.427490234375"
"856064","209","209","209","1.448486328125","1.448486328125","1.448486328125"
"860160","210","210","210","1.45703125","1.45703125","1.45703125"
"864256","211","211","211","1.4326171875","1.4326171875","1.4326171875"
"868352","212","212","212","1.484375","1.484375","1.484375"
"872448","213","213","213","1.4462890625","1.4462890625","1.4462890625"
"876544","214","214","214","1.734130859375","1.734130859375","1.734130859375"
"880640","215","215","215","1.43115234375","1.43115234375","1.43115234375"
"884736","216","216","216","1.466796875","1.466796875","1.466796875"
"888832","217","217","217","1.525146484375","1.525146484375","1.525146484375"
"892928","218","218","218","1.57568359375","1.57568359375","1.57568359375"
"897024","219","219","219","1.623779296875","1.623779296875","1.623779296875"
"901120","220","220","220","1.58837890625","1.58837890625","1.58837890625"
"905216","221","221","221","1.469482421875","1.469482421875","1.469482421875"
"909312","222","222","222","1.638671875","1.638671875","1.638671875"
"913408","223","223","223","1.594482421875","1.594482421875","1.594482421875"
"917504","224","224","224","1.779296875","1.779296875","1.779296875"
"921600","225","225","225","1.85302734375","1.85302734375","1.85302734375"
"925696","226","226","226","1.43798828125","1.43798828125","1.43798828125"
"929792","227","227","227","1.715576171875","1.715576171875","1.715576171875"
"933888","228","228","228","1.483154296875","1.483154296875","1.483154296875"
"937984","229","229","229","1.638427734375","1.638427734375","1.638427734375"
"942080","230","230","230","1.878662109375","1.878662109375","1.878662109375"
"946176","231","231","231","1.63818359375","1.63818359375","1.63818359375"
"950272","232","232","232","1.644287109375","1.644287109375","1.644287109375"
