env_step,test_returned_episode_returns
4096,16.5
8192,16.5
12288,16.5
16384,16.5
20480,16.5
24576,16.5
28672,16.5
32768,16.5
36864,16.5
40960,16.5
45056,16.5
49152,16.5
53248,16.5
57344,16.5
61440,16.5
65536,16.5
69632,16.5
73728,16.5
77824,16.5
81920,16.5
86016,16.5
90112,16.5
94208,16.5
98304,16.5
102400,16.5
106496,16.5
110592,16.5
114688,16.5
118784,16.5
122880,16.5
126976,16.5
131072,16.5
135168,16.5
139264,16.5
143360,16.5
147456,16.5
151552,16.5
155648,16.5
159744,16.5
163840,16.5
167936,16.5
172032,16.5
176128,16.5
180224,16.5
184320,16.5
188416,16.5
192512,16.5
196608,16.5
200704,16.5
204800,16.5
208896,16.5
212992,16.5
217088,16.5
221184,16.5
225280,16.5
229376,16.5
233472,16.5
237568,16.5
241664,16.5
245760,16.5
249856,16.5
253952,16.5
258048,16.5
262144,16.5
266240,16.5
270336,16.5
274432,16.5
278528,16.5
282624,16.5
286720,16.5
290816,16.5
294912,16.5
299008,16.5
303104,16.5
307200,16.5
311296,16.5
315392,16.5
319488,16.5
323584,16.5
327680,16.5
331776,16.5
335872,16.5
339968,16.5
344064,16.5
348160,16.5
352256,16.5
356352,16.5
360448,16.5
364544,16.5
368640,16.5
372736,16.5
376832,16.5
380928,16.5
385024,16.5
389120,16.5
393216,16.5
397312,16.5
401408,16.5
405504,16.5
409600,16.5
413696,16.5
417792,16.5
421888,16.5
425984,16.5
430080,16.5
434176,16.5
438272,16.5
442368,16.5
446464,16.5
450560,16.5
454656,16.5
458752,16.5
462848,16.5
466944,16.5
471040,16.5
475136,16.5
479232,16.5
483328,16.5
487424,16.5
491520,16.5
495616,16.5
499712,16.5
503808,16.5
507904,16.5
512000,16.5
516096,16.5
520192,16.5
524288,16.5
528384,16.5
532480,16.5
536576,16.5
540672,16.5
544768,16.5
548864,16.5
552960,16.5
557056,16.5
561152,16.5
565248,16.5
569344,16.5
573440,16.5
577536,16.5
581632,16.5
585728,16.5
589824,16.5
593920,16.5
598016,16.5
602112,16.5
606208,16.5
610304,16.5
614400,16.5
618496,16.5
622592,16.5
626688,16.5
630784,16.5
634880,16.5
638976,16.5
643072,16.5
647168,16.5
651264,16.5
655360,16.5
659456,16.5
663552,16.5
667648,16.5
671744,16.5
675840,16.5
679936,16.5
684032,16.5
688128,16.5
692224,16.5
696320,16.5
700416,16.5
704512,16.5
708608,16.5
712704,16.5
716800,16.5
720896,16.5
724992,16.5
729088,16.5
733184,16.5
737280,16.5
741376,16.5
745472,16.5
749568,16.5
753664,16.5
757760,16.5
761856,16.5
765952,16.5
770048,16.5
774144,16.5
778240,16.5
782336,16.5
786432,16.5
790528,16.5
794624,16.5
798720,16.5
802816,16.5
806912,16.5
811008,16.5
815104,16.5
819200,16.5
823296,16.5
827392,16.5
831488,16.5
835584,16.5
839680,16.5
843776,16.5
847872,16.5
851968,16.5
856064,16.5
860160,16.5
864256,16.5
868352,16.5
872448,16.5
876544,16.5
880640,16.5
884736,16.5
888832,16.5
892928,16.5
897024,16.5
901120,16.5
905216,16.5
909312,16.5
913408,16.5
917504,16.5
921600,16.5
925696,16.5
929792,16.5
933888,16.5
937984,16.5
942080,16.5
946176,16.5
950272,16.5
954368,16.5
958464,16.5
962560,16.5
966656,16.5
970752,16.5
974848,16.5
978944,16.5
983040,16.5
987136,16.5
991232,16.5
995328,16.5
999424,16.5
1003520,16.5
1007616,16.5
1011712,16.5
1015808,16.5
1019904,16.5
1024000,16.5
1028096,16.5
1032192,16.5
1036288,16.5
1040384,16.5
1044480,16.5
1048576,8.40000057220459
1052672,8.40000057220459
1056768,8.40000057220459
1060864,8.40000057220459
1064960,8.40000057220459
1069056,8.40000057220459
1073152,8.40000057220459
1077248,8.40000057220459
1081344,8.40000057220459
1085440,8.40000057220459
1089536,8.40000057220459
1093632,8.40000057220459
1097728,8.40000057220459
1101824,8.40000057220459
1105920,8.40000057220459
1110016,8.40000057220459
1114112,8.40000057220459
1118208,8.40000057220459
1122304,8.40000057220459
1126400,8.40000057220459
1130496,8.40000057220459
1134592,8.40000057220459
1138688,8.40000057220459
1142784,8.40000057220459
1146880,8.40000057220459
1150976,8.40000057220459
1155072,8.40000057220459
1159168,8.40000057220459
1163264,8.40000057220459
1167360,8.40000057220459
1171456,8.40000057220459
1175552,8.40000057220459
1179648,8.40000057220459
1183744,8.40000057220459
1187840,8.40000057220459
1191936,8.40000057220459
1196032,8.40000057220459
1200128,8.40000057220459
1204224,8.40000057220459
1208320,8.40000057220459
1212416,8.40000057220459
1216512,8.40000057220459
1220608,8.40000057220459
1224704,8.40000057220459
1228800,8.40000057220459
1232896,8.40000057220459
1236992,8.40000057220459
1241088,8.40000057220459
1245184,8.40000057220459
1249280,8.40000057220459
1253376,8.40000057220459
1257472,8.40000057220459
1261568,8.40000057220459
1265664,8.40000057220459
1269760,8.40000057220459
1273856,8.40000057220459
1277952,8.40000057220459
1282048,8.40000057220459
1286144,8.40000057220459
1290240,8.40000057220459
1294336,8.40000057220459
1298432,8.40000057220459
1302528,8.40000057220459
1306624,8.40000057220459
1310720,8.40000057220459
1314816,8.40000057220459
1318912,8.40000057220459
1323008,8.40000057220459
1327104,8.40000057220459
1331200,8.40000057220459
1335296,8.40000057220459
1339392,8.40000057220459
1343488,8.40000057220459
1347584,8.40000057220459
1351680,8.40000057220459
1355776,8.40000057220459
1359872,8.40000057220459
1363968,8.40000057220459
1368064,8.40000057220459
1372160,8.40000057220459
1376256,8.40000057220459
1380352,8.40000057220459
1384448,8.40000057220459
1388544,8.40000057220459
1392640,8.40000057220459
1396736,8.40000057220459
1400832,8.40000057220459
1404928,8.40000057220459
1409024,8.40000057220459
1413120,8.40000057220459
1417216,8.40000057220459
1421312,8.40000057220459
1425408,8.40000057220459
1429504,8.40000057220459
1433600,8.40000057220459
1437696,8.40000057220459
1441792,8.40000057220459
1445888,8.40000057220459
1449984,8.40000057220459
1454080,8.40000057220459
1458176,8.40000057220459
1462272,8.40000057220459
1466368,8.40000057220459
1470464,8.40000057220459
1474560,8.40000057220459
1478656,8.40000057220459
1482752,8.40000057220459
1486848,8.40000057220459
1490944,8.40000057220459
1495040,8.40000057220459
1499136,8.40000057220459
1503232,8.40000057220459
1507328,8.40000057220459
1511424,8.40000057220459
1515520,8.40000057220459
1519616,8.40000057220459
1523712,8.40000057220459
1527808,8.40000057220459
1531904,8.40000057220459
1536000,8.40000057220459
1540096,8.40000057220459
1544192,8.40000057220459
1548288,8.40000057220459
1552384,8.40000057220459
1556480,8.40000057220459
1560576,8.40000057220459
1564672,8.40000057220459
1568768,8.40000057220459
1572864,8.40000057220459
1576960,8.40000057220459
1581056,8.40000057220459
1585152,8.40000057220459
1589248,8.40000057220459
1593344,8.40000057220459
1597440,8.40000057220459
1601536,8.40000057220459
1605632,8.40000057220459
1609728,8.40000057220459
1613824,8.40000057220459
1617920,8.40000057220459
1622016,8.40000057220459
1626112,8.40000057220459
1630208,8.40000057220459
1634304,8.40000057220459
1638400,8.40000057220459
1642496,8.40000057220459
1646592,8.40000057220459
1650688,8.40000057220459
1654784,8.40000057220459
1658880,8.40000057220459
1662976,8.40000057220459
1667072,8.40000057220459
1671168,8.40000057220459
1675264,8.40000057220459
1679360,8.40000057220459
1683456,8.40000057220459
1687552,8.40000057220459
1691648,8.40000057220459
1695744,8.40000057220459
1699840,8.40000057220459
1703936,8.40000057220459
1708032,8.40000057220459
1712128,8.40000057220459
1716224,8.40000057220459
1720320,8.40000057220459
1724416,8.40000057220459
1728512,8.40000057220459
1732608,8.40000057220459
1736704,8.40000057220459
1740800,8.40000057220459
1744896,8.40000057220459
1748992,8.40000057220459
1753088,8.40000057220459
1757184,8.40000057220459
1761280,8.40000057220459
1765376,8.40000057220459
1769472,8.40000057220459
1773568,8.40000057220459
1777664,8.40000057220459
1781760,8.40000057220459
1785856,8.40000057220459
1789952,8.40000057220459
1794048,8.40000057220459
1798144,8.40000057220459
1802240,8.40000057220459
1806336,8.40000057220459
1810432,8.40000057220459
1814528,8.40000057220459
1818624,8.40000057220459
1822720,8.40000057220459
1826816,8.40000057220459
1830912,8.40000057220459
1835008,8.40000057220459
1839104,8.40000057220459
1843200,8.40000057220459
1847296,8.40000057220459
1851392,8.40000057220459
1855488,8.40000057220459
1859584,8.40000057220459
1863680,8.40000057220459
1867776,8.40000057220459
1871872,8.40000057220459
1875968,8.40000057220459
1880064,8.40000057220459
1884160,8.40000057220459
1888256,8.40000057220459
1892352,8.40000057220459
1896448,8.40000057220459
1900544,8.40000057220459
1904640,8.40000057220459
1908736,8.40000057220459
1912832,8.40000057220459
1916928,8.40000057220459
1921024,8.40000057220459
1925120,8.40000057220459
1929216,8.40000057220459
1933312,8.40000057220459
1937408,8.40000057220459
1941504,8.40000057220459
1945600,8.40000057220459
1949696,8.40000057220459
1953792,8.40000057220459
1957888,8.40000057220459
1961984,8.40000057220459
1966080,8.40000057220459
1970176,8.40000057220459
1974272,8.40000057220459
1978368,8.40000057220459
1982464,8.40000057220459
1986560,8.40000057220459
1990656,8.40000057220459
1994752,8.40000057220459
1998848,8.40000057220459
2002944,8.40000057220459
2007040,8.40000057220459
2011136,8.40000057220459
2015232,8.40000057220459
2019328,8.40000057220459
2023424,8.40000057220459
2027520,8.40000057220459
2031616,8.40000057220459
2035712,8.40000057220459
2039808,8.40000057220459
2043904,8.40000057220459
2048000,8.40000057220459
2052096,8.40000057220459
2056192,8.40000057220459
2060288,8.40000057220459
2064384,8.40000057220459
2068480,8.40000057220459
2072576,8.40000057220459
2076672,8.40000057220459
2080768,8.40000057220459
2084864,8.40000057220459
2088960,8.40000057220459
2093056,8.40000057220459
2097152,59.79999923706055
2101248,59.79999923706055
2105344,59.79999923706055
2109440,59.79999923706055
2113536,59.79999923706055
2117632,59.79999923706055
2121728,59.79999923706055
2125824,59.79999923706055
2129920,59.79999923706055
2134016,59.79999923706055
2138112,59.79999923706055
2142208,59.79999923706055
2146304,59.79999923706055
2150400,59.79999923706055
2154496,59.79999923706055
2158592,59.79999923706055
2162688,59.79999923706055
2166784,59.79999923706055
2170880,59.79999923706055
2174976,59.79999923706055
2179072,59.79999923706055
2183168,59.79999923706055
2187264,59.79999923706055
2191360,59.79999923706055
2195456,59.79999923706055
