"env_step","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.759033203125","1.759033203125","1.759033203125"
"12288","3","3","3","2.934814453125","2.934814453125","2.934814453125"
"16384","4","4","4","3.616455078125","3.616455078125","3.616455078125"
"20480","5","5","5","4.18212890625","4.18212890625","4.18212890625"
"24576","6","6","6","4.54638671875","4.54638671875","4.54638671875"
"28672","7","7","7","4.243408203125","4.243408203125","4.243408203125"
"32768","8","8","8","3.937744140625","3.937744140625","3.937744140625"
"36864","9","9","9","3.721435546875","3.721435546875","3.721435546875"
"40960","10","10","10","3.722900390625","3.722900390625","3.722900390625"
"45056","11","11","11","3.7529296875","3.7529296875","3.7529296875"
"49152","12","12","12","3.8349609375","3.8349609375","3.8349609375"
"53248","13","13","13","4.228271484375","4.228271484375","4.228271484375"
"57344","14","14","14","4.24658203125","4.24658203125","4.24658203125"
"61440","15","15","15","4.539306640625","4.539306640625","4.539306640625"
"65536","16","16","16","4.373779296875","4.373779296875","4.373779296875"
"69632","17","17","17","4.177490234375","4.177490234375","4.177490234375"
"73728","18","18","18","4.185546875","4.185546875","4.185546875"
"77824","19","19","19","4.874267578125","4.874267578125","4.874267578125"
"81920","20","20","20","5.48291015625","5.48291015625","5.48291015625"
"86016","21","21","21","5.16064453125","5.16064453125","5.16064453125"
"90112","22","22","22","4.62109375","4.62109375","4.62109375"
"94208","23","23","23","4.4375","4.4375","4.4375"
"98304","24","24","24","4.2822265625","4.2822265625","4.2822265625"
"102400","25","25","25","4.084228515625","4.084228515625","4.084228515625"
"106496","26","26","26","4.110595703125","4.110595703125","4.110595703125"
"110592","27","27","27","4.11181640625","4.11181640625","4.11181640625"
"114688","28","28","28","4.126708984375","4.126708984375","4.126708984375"
"118784","29","29","29","3.99169921875","3.99169921875","3.99169921875"
"122880","30","30","30","3.773193359375","3.773193359375","3.773193359375"
"126976","31","31","31","3.7578125","3.7578125","3.7578125"
"131072","32","32","32","3.96875","3.96875","3.96875"
"135168","33","33","33","4.308837890625","4.308837890625","4.308837890625"
"139264","34","34","34","4.718505859375","4.718505859375","4.718505859375"
"143360","35","35","35","4.402587890625","4.402587890625","4.402587890625"
"147456","36","36","36","4.59375","4.59375","4.59375"
"151552","37","37","37","4.48095703125","4.48095703125","4.48095703125"
"155648","38","38","38","4.370849609375","4.370849609375","4.370849609375"
"159744","39","39","39","4.08984375","4.08984375","4.08984375"
"163840","40","40","40","4.435546875","4.435546875","4.435546875"
"167936","41","41","41","4.549072265625","4.549072265625","4.549072265625"
"172032","42","42","42","4.7080078125","4.7080078125","4.7080078125"
"176128","43","43","43","4.516845703125","4.516845703125","4.516845703125"
"180224","44","44","44","4.235595703125","4.235595703125","4.235595703125"
"184320","45","45","45","3.984619140625","3.984619140625","3.984619140625"
"188416","46","46","46","3.967041015625","3.967041015625","3.967041015625"
"192512","47","47","47","3.96044921875","3.96044921875","3.96044921875"
"196608","48","48","48","4.20654296875","4.20654296875","4.20654296875"
"200704","49","49","49","4.52099609375","4.52099609375","4.52099609375"
"204800","50","50","50","4.4736328125","4.4736328125","4.4736328125"
"208896","51","51","51","4.781005859375","4.781005859375","4.781005859375"
"212992","52","52","52","4.544189453125","4.544189453125","4.544189453125"
"217088","53","53","53","4.427490234375","4.427490234375","4.427490234375"
"221184","54","54","54","5.359619140625","5.359619140625","5.359619140625"
"225280","55","55","55","5.12060546875","5.12060546875","5.12060546875"
"229376","56","56","56","5.22998046875","5.22998046875","5.22998046875"
"233472","57","57","57","4.78662109375","4.78662109375","4.78662109375"
"237568","58","58","58","5.0498046875","5.0498046875","5.0498046875"
"241664","59","59","59","4.98779296875","4.98779296875","4.98779296875"
"245760","60","60","60","5.338134765625","5.338134765625","5.338134765625"
"249856","61","61","61","5.439697265625","5.439697265625","5.439697265625"
"253952","62","62","62","5.150634765625","5.150634765625","5.150634765625"
"258048","63","63","63","5.27587890625","5.27587890625","5.27587890625"
"262144","64","64","64","5.574462890625","5.574462890625","5.574462890625"
"266240","65","65","65","5.812255859375","5.812255859375","5.812255859375"
"270336","66","66","66","5.541748046875","5.541748046875","5.541748046875"
"274432","67","67","67","4.94921875","4.94921875","4.94921875"
"278528","68","68","68","5.06689453125","5.06689453125","5.06689453125"
"282624","69","69","69","4.840576171875","4.840576171875","4.840576171875"
"286720","70","70","70","4.86962890625","4.86962890625","4.86962890625"
"290816","71","71","71","5.264404296875","5.264404296875","5.264404296875"
"294912","72","72","72","5.325439453125","5.325439453125","5.325439453125"
"299008","73","73","73","5.719970703125","5.719970703125","5.719970703125"
"303104","74","74","74","5.885009765625","5.885009765625","5.885009765625"
"307200","75","75","75","5.556884765625","5.556884765625","5.556884765625"
"311296","76","76","76","5.053955078125","5.053955078125","5.053955078125"
"315392","77","77","77","4.727783203125","4.727783203125","4.727783203125"
"319488","78","78","78","5.23095703125","5.23095703125","5.23095703125"
"323584","79","79","79","5.397216796875","5.397216796875","5.397216796875"
"327680","80","80","80","5.569091796875","5.569091796875","5.569091796875"
"331776","81","81","81","5.739013671875","5.739013671875","5.739013671875"
"335872","82","82","82","5.940185546875","5.940185546875","5.940185546875"
"339968","83","83","83","5.614013671875","5.614013671875","5.614013671875"
"344064","84","84","84","5.570556640625","5.570556640625","5.570556640625"
"348160","85","85","85","5.75927734375","5.75927734375","5.75927734375"
"352256","86","86","86","5.555908203125","5.555908203125","5.555908203125"
"356352","87","87","87","5.724853515625","5.724853515625","5.724853515625"
"360448","88","88","88","5.573974609375","5.573974609375","5.573974609375"
"364544","89","89","89","5.63623046875","5.63623046875","5.63623046875"
