"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.159423828125","0.159423828125","0.159423828125"
"16384","4","4","4","0.35693359375","0.35693359375","0.35693359375"
"20480","5","5","5","0.40283203125","0.40283203125","0.40283203125"
"24576","6","6","6","0.5302734375","0.5302734375","0.5302734375"
"28672","7","7","7","0.5078125","0.5078125","0.5078125"
"32768","8","8","8","0.598876953125","0.598876953125","0.598876953125"
"36864","9","9","9","0.587890625","0.587890625","0.587890625"
"40960","10","10","10","0.62890625","0.62890625","0.62890625"
"45056","11","11","11","0.6201171875","0.6201171875","0.6201171875"
"49152","12","12","12","0.545654296875","0.545654296875","0.545654296875"
"53248","13","13","13","0.451904296875","0.451904296875","0.451904296875"
"57344","14","14","14","0.47412109375","0.47412109375","0.47412109375"
"61440","15","15","15","0.48583984375","0.48583984375","0.48583984375"
"65536","16","16","16","0.435546875","0.435546875","0.435546875"
"69632","17","17","17","0.477783203125","0.477783203125","0.477783203125"
"73728","18","18","18","0.440673828125","0.440673828125","0.440673828125"
"77824","19","19","19","0.38232421875","0.38232421875","0.38232421875"
"81920","20","20","20","0.419189453125","0.419189453125","0.419189453125"
"86016","21","21","21","0.430419921875","0.430419921875","0.430419921875"
"90112","22","22","22","0.446533203125","0.446533203125","0.446533203125"
"94208","23","23","23","0.501220703125","0.501220703125","0.501220703125"
"98304","24","24","24","0.428466796875","0.428466796875","0.428466796875"
"102400","25","25","25","0.52197265625","0.52197265625","0.52197265625"
"106496","26","26","26","0.54541015625","0.54541015625","0.54541015625"
"110592","27","27","27","0.405517578125","0.405517578125","0.405517578125"
"114688","28","28","28","0.3935546875","0.3935546875","0.3935546875"
"118784","29","29","29","0.457275390625","0.457275390625","0.457275390625"
"122880","30","30","30","0.473876953125","0.473876953125","0.473876953125"
"126976","31","31","31","0.45703125","0.45703125","0.45703125"
"131072","32","32","32","0.494873046875","0.494873046875","0.494873046875"
"135168","33","33","33","0.521728515625","0.521728515625","0.521728515625"
"139264","34","34","34","0.5126953125","0.5126953125","0.5126953125"
"143360","35","35","35","0.447265625","0.447265625","0.447265625"
"147456","36","36","36","0.50439453125","0.50439453125","0.50439453125"
"151552","37","37","37","0.549072265625","0.549072265625","0.549072265625"
"155648","38","38","38","0.507080078125","0.507080078125","0.507080078125"
"159744","39","39","39","0.544921875","0.544921875","0.544921875"
"163840","40","40","40","0.566162109375","0.566162109375","0.566162109375"
"167936","41","41","41","0.48974609375","0.48974609375","0.48974609375"
"172032","42","42","42","0.48193359375","0.48193359375","0.48193359375"
"176128","43","43","43","0.484619140625","0.484619140625","0.484619140625"
"180224","44","44","44","0.498291015625","0.498291015625","0.498291015625"
"184320","45","45","45","0.378173828125","0.378173828125","0.378173828125"
"188416","46","46","46","0.41845703125","0.41845703125","0.41845703125"
"192512","47","47","47","0.546630859375","0.546630859375","0.546630859375"
"196608","48","48","48","0.58203125","0.58203125","0.58203125"
"200704","49","49","49","0.580078125","0.580078125","0.580078125"
"204800","50","50","50","0.576171875","0.576171875","0.576171875"
"208896","51","51","51","0.5888671875","0.5888671875","0.5888671875"
"212992","52","52","52","0.6064453125","0.6064453125","0.6064453125"
"217088","53","53","53","0.60302734375","0.60302734375","0.60302734375"
"221184","54","54","54","0.544189453125","0.544189453125","0.544189453125"
"225280","55","55","55","0.564697265625","0.564697265625","0.564697265625"
"229376","56","56","56","0.57177734375","0.57177734375","0.57177734375"
"233472","57","57","57","0.627685546875","0.627685546875","0.627685546875"
"237568","58","58","58","0.733642578125","0.733642578125","0.733642578125"
"241664","59","59","59","0.65234375","0.65234375","0.65234375"
"245760","60","60","60","0.526123046875","0.526123046875","0.526123046875"
"249856","61","61","61","0.42626953125","0.42626953125","0.42626953125"
"253952","62","62","62","0.439697265625","0.439697265625","0.439697265625"
"258048","63","63","63","0.42138671875","0.42138671875","0.42138671875"
"262144","64","64","64","0.495361328125","0.495361328125","0.495361328125"
"266240","65","65","65","0.47314453125","0.47314453125","0.47314453125"
"270336","66","66","66","0.58056640625","0.58056640625","0.58056640625"
"274432","67","67","67","0.65625","0.65625","0.65625"
"278528","68","68","68","0.637939453125","0.637939453125","0.637939453125"
"282624","69","69","69","0.5283203125","0.5283203125","0.5283203125"
"286720","70","70","70","0.388671875","0.388671875","0.388671875"
"290816","71","71","71","0.45654296875","0.45654296875","0.45654296875"
"294912","72","72","72","0.46337890625","0.46337890625","0.46337890625"
"299008","73","73","73","0.528076171875","0.528076171875","0.528076171875"
"303104","74","74","74","0.500732421875","0.500732421875","0.500732421875"
"307200","75","75","75","0.560546875","0.560546875","0.560546875"
"311296","76","76","76","0.502197265625","0.502197265625","0.502197265625"
"315392","77","77","77","0.514892578125","0.514892578125","0.514892578125"
"319488","78","78","78","0.553466796875","0.553466796875","0.553466796875"
"323584","79","79","79","0.531005859375","0.531005859375","0.531005859375"
"327680","80","80","80","0.4658203125","0.4658203125","0.4658203125"
"331776","81","81","81","0.439453125","0.439453125","0.439453125"
"335872","82","82","82","0.468994140625","0.468994140625","0.468994140625"
"339968","83","83","83","0.508544921875","0.508544921875","0.508544921875"
"344064","84","84","84","0.518310546875","0.518310546875","0.518310546875"
"348160","85","85","85","0.52001953125","0.52001953125","0.52001953125"
"352256","86","86","86","0.547607421875","0.547607421875","0.547607421875"
"356352","87","87","87","0.600830078125","0.600830078125","0.600830078125"
