"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.159423828125","0.159423828125","0.159423828125"
"16384","4","4","4","0.35693359375","0.35693359375","0.35693359375"
"20480","5","5","5","0.40283203125","0.40283203125","0.40283203125"
"24576","6","6","6","0.5302734375","0.5302734375","0.5302734375"
"28672","7","7","7","0.518798828125","0.518798828125","0.518798828125"
"32768","8","8","8","0.586669921875","0.586669921875","0.586669921875"
"36864","9","9","9","0.591796875","0.591796875","0.591796875"
"40960","10","10","10","0.626708984375","0.626708984375","0.626708984375"
"45056","11","11","11","0.570068359375","0.570068359375","0.570068359375"
"49152","12","12","12","0.48388671875","0.48388671875","0.48388671875"
"53248","13","13","13","0.43115234375","0.43115234375","0.43115234375"
"57344","14","14","14","0.452392578125","0.452392578125","0.452392578125"
"61440","15","15","15","0.453125","0.453125","0.453125"
"65536","16","16","16","0.451416015625","0.451416015625","0.451416015625"
"69632","17","17","17","0.43505859375","0.43505859375","0.43505859375"
"73728","18","18","18","0.548583984375","0.548583984375","0.548583984375"
"77824","19","19","19","0.513916015625","0.513916015625","0.513916015625"
"81920","20","20","20","0.492919921875","0.492919921875","0.492919921875"
"86016","21","21","21","0.519287109375","0.519287109375","0.519287109375"
"90112","22","22","22","0.52099609375","0.52099609375","0.52099609375"
"94208","23","23","23","0.559326171875","0.559326171875","0.559326171875"
"98304","24","24","24","0.553466796875","0.553466796875","0.553466796875"
"102400","25","25","25","0.5595703125","0.5595703125","0.5595703125"
"106496","26","26","26","0.681884765625","0.681884765625","0.681884765625"
"110592","27","27","27","0.64697265625","0.64697265625","0.64697265625"
"114688","28","28","28","0.6318359375","0.6318359375","0.6318359375"
"118784","29","29","29","0.53515625","0.53515625","0.53515625"
"122880","30","30","30","0.5712890625","0.5712890625","0.5712890625"
"126976","31","31","31","0.524658203125","0.524658203125","0.524658203125"
"131072","32","32","32","0.515869140625","0.515869140625","0.515869140625"
"135168","33","33","33","0.531005859375","0.531005859375","0.531005859375"
"139264","34","34","34","0.417724609375","0.417724609375","0.417724609375"
"143360","35","35","35","0.43017578125","0.43017578125","0.43017578125"
"147456","36","36","36","0.489013671875","0.489013671875","0.489013671875"
"151552","37","37","37","0.4609375","0.4609375","0.4609375"
"155648","38","38","38","0.4140625","0.4140625","0.4140625"
"159744","39","39","39","0.513671875","0.513671875","0.513671875"
"163840","40","40","40","0.654296875","0.654296875","0.654296875"
"167936","41","41","41","0.725341796875","0.725341796875","0.725341796875"
"172032","42","42","42","0.535400390625","0.535400390625","0.535400390625"
"176128","43","43","43","0.45751953125","0.45751953125","0.45751953125"
"180224","44","44","44","0.451416015625","0.451416015625","0.451416015625"
"184320","45","45","45","0.44189453125","0.44189453125","0.44189453125"
"188416","46","46","46","0.554931640625","0.554931640625","0.554931640625"
"192512","47","47","47","0.461669921875","0.461669921875","0.461669921875"
"196608","48","48","48","0.47216796875","0.47216796875","0.47216796875"
"200704","49","49","49","0.47705078125","0.47705078125","0.47705078125"
"204800","50","50","50","0.49462890625","0.49462890625","0.49462890625"
"208896","51","51","51","0.5791015625","0.5791015625","0.5791015625"
"212992","52","52","52","0.5498046875","0.5498046875","0.5498046875"
"217088","53","53","53","0.535888671875","0.535888671875","0.535888671875"
"221184","54","54","54","0.598388671875","0.598388671875","0.598388671875"
"225280","55","55","55","0.65673828125","0.65673828125","0.65673828125"
"229376","56","56","56","0.691162109375","0.691162109375","0.691162109375"
"233472","57","57","57","0.63330078125","0.63330078125","0.63330078125"
"237568","58","58","58","0.585205078125","0.585205078125","0.585205078125"
"241664","59","59","59","0.60986328125","0.60986328125","0.60986328125"
"245760","60","60","60","0.52392578125","0.52392578125","0.52392578125"
"249856","61","61","61","0.49755859375","0.49755859375","0.49755859375"
"253952","62","62","62","0.429931640625","0.429931640625","0.429931640625"
"258048","63","63","63","0.429443359375","0.429443359375","0.429443359375"
"262144","64","64","64","0.504638671875","0.504638671875","0.504638671875"
"266240","65","65","65","0.446044921875","0.446044921875","0.446044921875"
"270336","66","66","66","0.435546875","0.435546875","0.435546875"
"274432","67","67","67","0.420166015625","0.420166015625","0.420166015625"
"278528","68","68","68","0.421630859375","0.421630859375","0.421630859375"
"282624","69","69","69","0.56591796875","0.56591796875","0.56591796875"
"286720","70","70","70","0.531005859375","0.531005859375","0.531005859375"
"290816","71","71","71","0.52392578125","0.52392578125","0.52392578125"
"294912","72","72","72","0.530517578125","0.530517578125","0.530517578125"
"299008","73","73","73","0.487060546875","0.487060546875","0.487060546875"
"303104","74","74","74","0.429931640625","0.429931640625","0.429931640625"
"307200","75","75","75","0.43310546875","0.43310546875","0.43310546875"
"311296","76","76","76","0.41748046875","0.41748046875","0.41748046875"
"315392","77","77","77","0.53125","0.53125","0.53125"
"319488","78","78","78","0.682373046875","0.682373046875","0.682373046875"
"323584","79","79","79","0.60693359375","0.60693359375","0.60693359375"
"327680","80","80","80","0.54931640625","0.54931640625","0.54931640625"
"331776","81","81","81","0.453125","0.453125","0.453125"
"335872","82","82","82","0.421630859375","0.421630859375","0.421630859375"
"339968","83","83","83","0.43798828125","0.43798828125","0.43798828125"
"344064","84","84","84","0.492431640625","0.492431640625","0.492431640625"
"348160","85","85","85","0.513916015625","0.513916015625","0.513916015625"
"352256","86","86","86","0.489990234375","0.489990234375","0.489990234375"
"356352","87","87","87","0.498046875","0.498046875","0.498046875"
