"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.159423828125","0.159423828125","0.159423828125"
"16384","4","4","4","0.35693359375","0.35693359375","0.35693359375"
"20480","5","5","5","0.40283203125","0.40283203125","0.40283203125"
"24576","6","6","6","0.5302734375","0.5302734375","0.5302734375"
"28672","7","7","7","0.5078125","0.5078125","0.5078125"
"32768","8","8","8","0.598876953125","0.598876953125","0.598876953125"
"36864","9","9","9","0.587890625","0.587890625","0.587890625"
"40960","10","10","10","0.63818359375","0.63818359375","0.63818359375"
"45056","11","11","11","0.62890625","0.62890625","0.62890625"
"49152","12","12","12","0.560546875","0.560546875","0.560546875"
"53248","13","13","13","0.46142578125","0.46142578125","0.46142578125"
"57344","14","14","14","0.468994140625","0.468994140625","0.468994140625"
"61440","15","15","15","0.4814453125","0.4814453125","0.4814453125"
"65536","16","16","16","0.503173828125","0.503173828125","0.503173828125"
"69632","17","17","17","0.5078125","0.5078125","0.5078125"
"73728","18","18","18","0.4443359375","0.4443359375","0.4443359375"
"77824","19","19","19","0.361328125","0.361328125","0.361328125"
"81920","20","20","20","0.40478515625","0.40478515625","0.40478515625"
"86016","21","21","21","0.427734375","0.427734375","0.427734375"
"90112","22","22","22","0.51611328125","0.51611328125","0.51611328125"
"94208","23","23","23","0.453857421875","0.453857421875","0.453857421875"
"98304","24","24","24","0.322998046875","0.322998046875","0.322998046875"
"102400","25","25","25","0.387451171875","0.387451171875","0.387451171875"
"106496","26","26","26","0.524658203125","0.524658203125","0.524658203125"
"110592","27","27","27","0.460205078125","0.460205078125","0.460205078125"
"114688","28","28","28","0.4404296875","0.4404296875","0.4404296875"
"118784","29","29","29","0.455322265625","0.455322265625","0.455322265625"
"122880","30","30","30","0.486572265625","0.486572265625","0.486572265625"
"126976","31","31","31","0.43359375","0.43359375","0.43359375"
"131072","32","32","32","0.368896484375","0.368896484375","0.368896484375"
"135168","33","33","33","0.4580078125","0.4580078125","0.4580078125"
"139264","34","34","34","0.58544921875","0.58544921875","0.58544921875"
"143360","35","35","35","0.616455078125","0.616455078125","0.616455078125"
"147456","36","36","36","0.683349609375","0.683349609375","0.683349609375"
"151552","37","37","37","0.529541015625","0.529541015625","0.529541015625"
"155648","38","38","38","0.48828125","0.48828125","0.48828125"
"159744","39","39","39","0.60693359375","0.60693359375","0.60693359375"
"163840","40","40","40","0.521484375","0.521484375","0.521484375"
"167936","41","41","41","0.494873046875","0.494873046875","0.494873046875"
"172032","42","42","42","0.373779296875","0.373779296875","0.373779296875"
"176128","43","43","43","0.322998046875","0.322998046875","0.322998046875"
"180224","44","44","44","0.3515625","0.3515625","0.3515625"
"184320","45","45","45","0.449462890625","0.449462890625","0.449462890625"
"188416","46","46","46","0.5322265625","0.5322265625","0.5322265625"
"192512","47","47","47","0.5498046875","0.5498046875","0.5498046875"
"196608","48","48","48","0.54296875","0.54296875","0.54296875"
"200704","49","49","49","0.518798828125","0.518798828125","0.518798828125"
"204800","50","50","50","0.472412109375","0.472412109375","0.472412109375"
"208896","51","51","51","0.470458984375","0.470458984375","0.470458984375"
"212992","52","52","52","0.3955078125","0.3955078125","0.3955078125"
"217088","53","53","53","0.460205078125","0.460205078125","0.460205078125"
"221184","54","54","54","0.531494140625","0.531494140625","0.531494140625"
"225280","55","55","55","0.501953125","0.501953125","0.501953125"
"229376","56","56","56","0.5048828125","0.5048828125","0.5048828125"
"233472","57","57","57","0.522216796875","0.522216796875","0.522216796875"
"237568","58","58","58","0.4990234375","0.4990234375","0.4990234375"
"241664","59","59","59","0.50146484375","0.50146484375","0.50146484375"
"245760","60","60","60","0.53173828125","0.53173828125","0.53173828125"
"249856","61","61","61","0.490478515625","0.490478515625","0.490478515625"
"253952","62","62","62","0.4462890625","0.4462890625","0.4462890625"
"258048","63","63","63","0.455322265625","0.455322265625","0.455322265625"
"262144","64","64","64","0.4482421875","0.4482421875","0.4482421875"
"266240","65","65","65","0.53125","0.53125","0.53125"
"270336","66","66","66","0.5673828125","0.5673828125","0.5673828125"
"274432","67","67","67","0.5888671875","0.5888671875","0.5888671875"
"278528","68","68","68","0.567626953125","0.567626953125","0.567626953125"
"282624","69","69","69","0.60205078125","0.60205078125","0.60205078125"
"286720","70","70","70","0.60888671875","0.60888671875","0.60888671875"
"290816","71","71","71","0.59716796875","0.59716796875","0.59716796875"
"294912","72","72","72","0.57373046875","0.57373046875","0.57373046875"
"299008","73","73","73","0.593505859375","0.593505859375","0.593505859375"
"303104","74","74","74","0.47509765625","0.47509765625","0.47509765625"
"307200","75","75","75","0.469482421875","0.469482421875","0.469482421875"
"311296","76","76","76","0.49072265625","0.49072265625","0.49072265625"
"315392","77","77","77","0.44189453125","0.44189453125","0.44189453125"
"319488","78","78","78","0.4833984375","0.4833984375","0.4833984375"
"323584","79","79","79","0.5732421875","0.5732421875","0.5732421875"
"327680","80","80","80","0.542724609375","0.542724609375","0.542724609375"
"331776","81","81","81","0.519287109375","0.519287109375","0.519287109375"
"335872","82","82","82","0.58544921875","0.58544921875","0.58544921875"
"339968","83","83","83","0.53857421875","0.53857421875","0.53857421875"
"344064","84","84","84","0.44091796875","0.44091796875","0.44091796875"
"348160","85","85","85","0.423095703125","0.423095703125","0.423095703125"
"352256","86","86","86","0.550048828125","0.550048828125","0.550048828125"
"356352","87","87","87","0.616943359375","0.616943359375","0.616943359375"
