"env_step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Freeway-MinAtar - test_returned_episode_returns__MAX"
"262144","64","64","64","0.550000011920929","0.550000011920929","0.550000011920929"
"266240","65","65","65","0.550000011920929","0.550000011920929","0.550000011920929"
"270336","66","66","66","0.550000011920929","0.550000011920929","0.550000011920929"
"274432","67","67","67","0.550000011920929","0.550000011920929","0.550000011920929"
"278528","68","68","68","0.550000011920929","0.550000011920929","0.550000011920929"
"282624","69","69","69","0.550000011920929","0.550000011920929","0.550000011920929"
"286720","70","70","70","0.550000011920929","0.550000011920929","0.550000011920929"
"290816","71","71","71","0.550000011920929","0.550000011920929","0.550000011920929"
"294912","72","72","72","0.550000011920929","0.550000011920929","0.550000011920929"
"299008","73","73","73","0.550000011920929","0.550000011920929","0.550000011920929"
"303104","74","74","74","0.550000011920929","0.550000011920929","0.550000011920929"
"307200","75","75","75","0.550000011920929","0.550000011920929","0.550000011920929"
"311296","76","76","76","0.550000011920929","0.550000011920929","0.550000011920929"
"315392","77","77","77","0.550000011920929","0.550000011920929","0.550000011920929"
"319488","78","78","78","0.550000011920929","0.550000011920929","0.550000011920929"
"323584","79","79","79","0.550000011920929","0.550000011920929","0.550000011920929"
"327680","80","80","80","0.550000011920929","0.550000011920929","0.550000011920929"
"331776","81","81","81","0.550000011920929","0.550000011920929","0.550000011920929"
"335872","82","82","82","0.550000011920929","0.550000011920929","0.550000011920929"
"339968","83","83","83","0.550000011920929","0.550000011920929","0.550000011920929"
"344064","84","84","84","0.550000011920929","0.550000011920929","0.550000011920929"
"348160","85","85","85","0.550000011920929","0.550000011920929","0.550000011920929"
"352256","86","86","86","0.550000011920929","0.550000011920929","0.550000011920929"
"356352","87","87","87","0.550000011920929","0.550000011920929","0.550000011920929"
"360448","88","88","88","0.550000011920929","0.550000011920929","0.550000011920929"
"364544","89","89","89","0.550000011920929","0.550000011920929","0.550000011920929"
"368640","90","90","90","0.550000011920929","0.550000011920929","0.550000011920929"
"372736","91","91","91","0.550000011920929","0.550000011920929","0.550000011920929"
"376832","92","92","92","0.550000011920929","0.550000011920929","0.550000011920929"
"380928","93","93","93","0.550000011920929","0.550000011920929","0.550000011920929"
"385024","94","94","94","0.550000011920929","0.550000011920929","0.550000011920929"
"389120","95","95","95","0.550000011920929","0.550000011920929","0.550000011920929"
"393216","96","96","96","0.550000011920929","0.550000011920929","0.550000011920929"
"397312","97","97","97","0.550000011920929","0.550000011920929","0.550000011920929"
"401408","98","98","98","0.550000011920929","0.550000011920929","0.550000011920929"
"405504","99","99","99","0.550000011920929","0.550000011920929","0.550000011920929"
"409600","100","100","100","0.550000011920929","0.550000011920929","0.550000011920929"
"413696","101","101","101","0.550000011920929","0.550000011920929","0.550000011920929"
"417792","102","102","102","0.550000011920929","0.550000011920929","0.550000011920929"
"421888","103","103","103","0.550000011920929","0.550000011920929","0.550000011920929"
"425984","104","104","104","0.550000011920929","0.550000011920929","0.550000011920929"
"430080","105","105","105","0.550000011920929","0.550000011920929","0.550000011920929"
"434176","106","106","106","0.550000011920929","0.550000011920929","0.550000011920929"
"438272","107","107","107","0.550000011920929","0.550000011920929","0.550000011920929"
"442368","108","108","108","0.550000011920929","0.550000011920929","0.550000011920929"
"446464","109","109","109","0.550000011920929","0.550000011920929","0.550000011920929"
"450560","110","110","110","0.550000011920929","0.550000011920929","0.550000011920929"
"454656","111","111","111","0.550000011920929","0.550000011920929","0.550000011920929"
"458752","112","112","112","0.550000011920929","0.550000011920929","0.550000011920929"
"462848","113","113","113","0.550000011920929","0.550000011920929","0.550000011920929"
"466944","114","114","114","0.550000011920929","0.550000011920929","0.550000011920929"
"471040","115","115","115","0.550000011920929","0.550000011920929","0.550000011920929"
"475136","116","116","116","0.550000011920929","0.550000011920929","0.550000011920929"
"479232","117","117","117","0.550000011920929","0.550000011920929","0.550000011920929"
"483328","118","118","118","0.550000011920929","0.550000011920929","0.550000011920929"
"487424","119","119","119","0.550000011920929","0.550000011920929","0.550000011920929"
"491520","120","120","120","0.550000011920929","0.550000011920929","0.550000011920929"
"495616","121","121","121","0.550000011920929","0.550000011920929","0.550000011920929"
"499712","122","122","122","0.550000011920929","0.550000011920929","0.550000011920929"
"503808","123","123","123","0.550000011920929","0.550000011920929","0.550000011920929"
"507904","124","124","124","0.550000011920929","0.550000011920929","0.550000011920929"
"512000","125","125","125","0.550000011920929","0.550000011920929","0.550000011920929"
"516096","126","126","126","0.550000011920929","0.550000011920929","0.550000011920929"
"520192","127","127","127","0.550000011920929","0.550000011920929","0.550000011920929"
"524288","128","128","128","0.550000011920929","0.550000011920929","0.550000011920929"
"528384","129","129","129","0.550000011920929","0.550000011920929","0.550000011920929"
"532480","130","130","130","0.550000011920929","0.550000011920929","0.550000011920929"
"536576","131","131","131","0.550000011920929","0.550000011920929","0.550000011920929"
"540672","132","132","132","0.550000011920929","0.550000011920929","0.550000011920929"
"544768","133","133","133","0.550000011920929","0.550000011920929","0.550000011920929"
"548864","134","134","134","0.550000011920929","0.550000011920929","0.550000011920929"
"552960","135","135","135","0.550000011920929","0.550000011920929","0.550000011920929"
"557056","136","136","136","0.550000011920929","0.550000011920929","0.550000011920929"
"561152","137","137","137","0.550000011920929","0.550000011920929","0.550000011920929"
"565248","138","138","138","0.550000011920929","0.550000011920929","0.550000011920929"
"569344","139","139","139","0.550000011920929","0.550000011920929","0.550000011920929"
"573440","140","140","140","0.550000011920929","0.550000011920929","0.550000011920929"
"577536","141","141","141","0.550000011920929","0.550000011920929","0.550000011920929"
"581632","142","142","142","0.550000011920929","0.550000011920929","0.550000011920929"
"585728","143","143","143","0.550000011920929","0.550000011920929","0.550000011920929"
"589824","144","144","144","0.550000011920929","0.550000011920929","0.550000011920929"
"593920","145","145","145","0.550000011920929","0.550000011920929","0.550000011920929"
"598016","146","146","146","0.550000011920929","0.550000011920929","0.550000011920929"
"602112","147","147","147","0.550000011920929","0.550000011920929","0.550000011920929"
"606208","148","148","148","0.550000011920929","0.550000011920929","0.550000011920929"
