"env_step","pqn_SpaceInvaders-MinAtar - _step","pqn_SpaceInvaders-MinAtar - _step__MIN","pqn_SpaceInvaders-MinAtar - _step__MAX","pqn_SpaceInvaders-MinAtar - returned_episode_returns","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.752685546875","1.752685546875","1.752685546875"
"12288","3","3","3","2.8896484375","2.8896484375","2.8896484375"
"16384","4","4","4","3.52880859375","3.52880859375","3.52880859375"
"20480","5","5","5","4.21630859375","4.21630859375","4.21630859375"
"24576","6","6","6","4.724365234375","4.724365234375","4.724365234375"
"28672","7","7","7","4.65283203125","4.65283203125","4.65283203125"
"32768","8","8","8","4.169677734375","4.169677734375","4.169677734375"
"36864","9","9","9","4.0185546875","4.0185546875","4.0185546875"
"40960","10","10","10","3.760498046875","3.760498046875","3.760498046875"
"45056","11","11","11","3.841796875","3.841796875","3.841796875"
"49152","12","12","12","3.962646484375","3.962646484375","3.962646484375"
"53248","13","13","13","4.0986328125","4.0986328125","4.0986328125"
"57344","14","14","14","3.977783203125","3.977783203125","3.977783203125"
"61440","15","15","15","4.171875","4.171875","4.171875"
"65536","16","16","16","4.0986328125","4.0986328125","4.0986328125"
"69632","17","17","17","4.267333984375","4.267333984375","4.267333984375"
"73728","18","18","18","4.313720703125","4.313720703125","4.313720703125"
"77824","19","19","19","4.481201171875","4.481201171875","4.481201171875"
"81920","20","20","20","4.685302734375","4.685302734375","4.685302734375"
"86016","21","21","21","4.473876953125","4.473876953125","4.473876953125"
"90112","22","22","22","4.4912109375","4.4912109375","4.4912109375"
"94208","23","23","23","4.2216796875","4.2216796875","4.2216796875"
"98304","24","24","24","4.092529296875","4.092529296875","4.092529296875"
"102400","25","25","25","4.7021484375","4.7021484375","4.7021484375"
"106496","26","26","26","4.46337890625","4.46337890625","4.46337890625"
"110592","27","27","27","4.366943359375","4.366943359375","4.366943359375"
"114688","28","28","28","4.5693359375","4.5693359375","4.5693359375"
"118784","29","29","29","4.470458984375","4.470458984375","4.470458984375"
"122880","30","30","30","4.47998046875","4.47998046875","4.47998046875"
"126976","31","31","31","4.664306640625","4.664306640625","4.664306640625"
"131072","32","32","32","4.75732421875","4.75732421875","4.75732421875"
"135168","33","33","33","4.14794921875","4.14794921875","4.14794921875"
"139264","34","34","34","4.468017578125","4.468017578125","4.468017578125"
"143360","35","35","35","4.64453125","4.64453125","4.64453125"
"147456","36","36","36","4.404052734375","4.404052734375","4.404052734375"
"151552","37","37","37","4.784912109375","4.784912109375","4.784912109375"
"155648","38","38","38","4.453857421875","4.453857421875","4.453857421875"
"159744","39","39","39","4.694580078125","4.694580078125","4.694580078125"
"163840","40","40","40","4.9365234375","4.9365234375","4.9365234375"
"167936","41","41","41","4.990966796875","4.990966796875","4.990966796875"
"172032","42","42","42","5.284912109375","5.284912109375","5.284912109375"
"176128","43","43","43","5.093994140625","5.093994140625","5.093994140625"
"180224","44","44","44","4.9384765625","4.9384765625","4.9384765625"
"184320","45","45","45","4.792236328125","4.792236328125","4.792236328125"
"188416","46","46","46","4.99072265625","4.99072265625","4.99072265625"
"192512","47","47","47","5.42578125","5.42578125","5.42578125"
"196608","48","48","48","5.3916015625","5.3916015625","5.3916015625"
"200704","49","49","49","5.419677734375","5.419677734375","5.419677734375"
"204800","50","50","50","4.757080078125","4.757080078125","4.757080078125"
"208896","51","51","51","4.595947265625","4.595947265625","4.595947265625"
"212992","52","52","52","4.8349609375","4.8349609375","4.8349609375"
"217088","53","53","53","4.807373046875","4.807373046875","4.807373046875"
"221184","54","54","54","5.349853515625","5.349853515625","5.349853515625"
"225280","55","55","55","5.515380859375","5.515380859375","5.515380859375"
"229376","56","56","56","5.280517578125","5.280517578125","5.280517578125"
"233472","57","57","57","5.23291015625","5.23291015625","5.23291015625"
"237568","58","58","58","5.43310546875","5.43310546875","5.43310546875"
"241664","59","59","59","5.59912109375","5.59912109375","5.59912109375"
"245760","60","60","60","5.5712890625","5.5712890625","5.5712890625"
"249856","61","61","61","5.861328125","5.861328125","5.861328125"
"253952","62","62","62","5.5458984375","5.5458984375","5.5458984375"
"258048","63","63","63","5.488525390625","5.488525390625","5.488525390625"
"262144","64","64","64","5.325439453125","5.325439453125","5.325439453125"
"266240","65","65","65","5.306884765625","5.306884765625","5.306884765625"
"270336","66","66","66","5.846435546875","5.846435546875","5.846435546875"
"274432","67","67","67","6.049560546875","6.049560546875","6.049560546875"
"278528","68","68","68","6.353271484375","6.353271484375","6.353271484375"
"282624","69","69","69","5.727294921875","5.727294921875","5.727294921875"
"286720","70","70","70","5.489990234375","5.489990234375","5.489990234375"
"290816","71","71","71","5.74755859375","5.74755859375","5.74755859375"
"294912","72","72","72","5.579345703125","5.579345703125","5.579345703125"
"299008","73","73","73","5.91796875","5.91796875","5.91796875"
"303104","74","74","74","6.249755859375","6.249755859375","6.249755859375"
"307200","75","75","75","6.524658203125","6.524658203125","6.524658203125"
"311296","76","76","76","6.38037109375","6.38037109375","6.38037109375"
"315392","77","77","77","5.6005859375","5.6005859375","5.6005859375"
"319488","78","78","78","5.621826171875","5.621826171875","5.621826171875"
"323584","79","79","79","5.88134765625","5.88134765625","5.88134765625"
"327680","80","80","80","5.971435546875","5.971435546875","5.971435546875"
"331776","81","81","81","6.389892578125","6.389892578125","6.389892578125"
"335872","82","82","82","6.63720703125","6.63720703125","6.63720703125"
"339968","83","83","83","7.059814453125","7.059814453125","7.059814453125"
"344064","84","84","84","6.435302734375","6.435302734375","6.435302734375"
"348160","85","85","85","6.09765625","6.09765625","6.09765625"
"352256","86","86","86","5.65966796875","5.65966796875","5.65966796875"
"356352","87","87","87","6.087890625","6.087890625","6.087890625"
"360448","88","88","88","6.390869140625","6.390869140625","6.390869140625"
"364544","89","89","89","6.87451171875","6.87451171875","6.87451171875"
"368640","90","90","90","6.852294921875","6.852294921875","6.852294921875"
"372736","91","91","91","6.91357421875","6.91357421875","6.91357421875"
"376832","92","92","92","6.683837890625","6.683837890625","6.683837890625"
"380928","93","93","93","7.32763671875","7.32763671875","7.32763671875"
"385024","94","94","94","7.333984375","7.333984375","7.333984375"
"389120","95","95","95","7.20166015625","7.20166015625","7.20166015625"
"393216","96","96","96","6.988525390625","6.988525390625","6.988525390625"
"397312","97","97","97","7.146240234375","7.146240234375","7.146240234375"
"401408","98","98","98","7.31591796875","7.31591796875","7.31591796875"
"405504","99","99","99","6.72265625","6.72265625","6.72265625"
"409600","100","100","100","6.580078125","6.580078125","6.580078125"
"413696","101","101","101","6.669677734375","6.669677734375","6.669677734375"
"417792","102","102","102","6.95556640625","6.95556640625","6.95556640625"
"421888","103","103","103","7.611572265625","7.611572265625","7.611572265625"
"425984","104","104","104","7.50537109375","7.50537109375","7.50537109375"
"430080","105","105","105","7.33203125","7.33203125","7.33203125"
"434176","106","106","106","7.718994140625","7.718994140625","7.718994140625"
"438272","107","107","107","7.642333984375","7.642333984375","7.642333984375"
"442368","108","108","108","7.02734375","7.02734375","7.02734375"
"446464","109","109","109","6.5615234375","6.5615234375","6.5615234375"
"450560","110","110","110","6.5146484375","6.5146484375","6.5146484375"
"454656","111","111","111","7.150634765625","7.150634765625","7.150634765625"
"458752","112","112","112","6.956787109375","6.956787109375","6.956787109375"
"462848","113","113","113","6.80224609375","6.80224609375","6.80224609375"
"466944","114","114","114","7.546630859375","7.546630859375","7.546630859375"
"471040","115","115","115","7.740966796875","7.740966796875","7.740966796875"
"475136","116","116","116","7.552734375","7.552734375","7.552734375"
"479232","117","117","117","7.61767578125","7.61767578125","7.61767578125"
"483328","118","118","118","7.311279296875","7.311279296875","7.311279296875"
"487424","119","119","119","7.200439453125","7.200439453125","7.200439453125"
"491520","120","120","120","7.071533203125","7.071533203125","7.071533203125"
"495616","121","121","121","7.441650390625","7.441650390625","7.441650390625"
"499712","122","122","122","8.56689453125","8.56689453125","8.56689453125"
"503808","123","123","123","8.961669921875","8.961669921875","8.961669921875"
"507904","124","124","124","8.10791015625","8.10791015625","8.10791015625"
"512000","125","125","125","8.334228515625","8.334228515625","8.334228515625"
"516096","126","126","126","8.320068359375","8.320068359375","8.320068359375"
"520192","127","127","127","8.23095703125","8.23095703125","8.23095703125"
"524288","128","128","128","7.9775390625","7.9775390625","7.9775390625"
"528384","129","129","129","7.973388671875","7.973388671875","7.973388671875"
"532480","130","130","130","8.85791015625","8.85791015625","8.85791015625"
"536576","131","131","131","9.1259765625","9.1259765625","9.1259765625"
"540672","132","132","132","9.090576171875","9.090576171875","9.090576171875"
