"env_step","pqn_SpaceInvaders-MinAtar - _step","pqn_SpaceInvaders-MinAtar - _step__MIN","pqn_SpaceInvaders-MinAtar - _step__MAX","pqn_SpaceInvaders-MinAtar - returned_episode_returns","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MIN","pqn_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"548864","134","134","134","8.518310546875","8.518310546875","8.518310546875"
"552960","135","135","135","8.7568359375","8.7568359375","8.7568359375"
"557056","136","136","136","8.394287109375","8.394287109375","8.394287109375"
"561152","137","137","137","8.320556640625","8.320556640625","8.320556640625"
"565248","138","138","138","7.77197265625","7.77197265625","7.77197265625"
"569344","139","139","139","8.544677734375","8.544677734375","8.544677734375"
"573440","140","140","140","8.37109375","8.37109375","8.37109375"
"577536","141","141","141","8.530517578125","8.530517578125","8.530517578125"
"581632","142","142","142","8.7392578125","8.7392578125","8.7392578125"
"585728","143","143","143","8.91650390625","8.91650390625","8.91650390625"
"589824","144","144","144","10.013916015625","10.013916015625","10.013916015625"
"593920","145","145","145","10.01708984375","10.01708984375","10.01708984375"
"598016","146","146","146","9.969970703125","9.969970703125","9.969970703125"
"602112","147","147","147","9.3681640625","9.3681640625","9.3681640625"
"606208","148","148","148","8.74658203125","8.74658203125","8.74658203125"
"610304","149","149","149","8.85302734375","8.85302734375","8.85302734375"
"614400","150","150","150","8.7685546875","8.7685546875","8.7685546875"
"618496","151","151","151","8.702880859375","8.702880859375","8.702880859375"
"622592","152","152","152","8.734619140625","8.734619140625","8.734619140625"
"626688","153","153","153","9.35107421875","9.35107421875","9.35107421875"
"630784","154","154","154","9.560302734375","9.560302734375","9.560302734375"
"634880","155","155","155","9.623779296875","9.623779296875","9.623779296875"
"638976","156","156","156","9.35986328125","9.35986328125","9.35986328125"
"643072","157","157","157","10.172607421875","10.172607421875","10.172607421875"
"647168","158","158","158","10.302001953125","10.302001953125","10.302001953125"
"651264","159","159","159","10.165771484375","10.165771484375","10.165771484375"
"655360","160","160","160","10.687255859375","10.687255859375","10.687255859375"
"659456","161","161","161","10.85400390625","10.85400390625","10.85400390625"
"663552","162","162","162","10.37548828125","10.37548828125","10.37548828125"
"667648","163","163","163","10.200439453125","10.200439453125","10.200439453125"
"671744","164","164","164","10.389892578125","10.389892578125","10.389892578125"
"675840","165","165","165","10.191650390625","10.191650390625","10.191650390625"
"679936","166","166","166","10.190185546875","10.190185546875","10.190185546875"
"684032","167","167","167","9.998046875","9.998046875","9.998046875"
"688128","168","168","168","10.0673828125","10.0673828125","10.0673828125"
"692224","169","169","169","10.003662109375","10.003662109375","10.003662109375"
"696320","170","170","170","10.283203125","10.283203125","10.283203125"
"700416","171","171","171","10.213134765625","10.213134765625","10.213134765625"
"704512","172","172","172","10.4189453125","10.4189453125","10.4189453125"
"708608","173","173","173","10.477783203125","10.477783203125","10.477783203125"
"712704","174","174","174","9.82568359375","9.82568359375","9.82568359375"
"716800","175","175","175","9.64013671875","9.64013671875","9.64013671875"
"720896","176","176","176","9.720458984375","9.720458984375","9.720458984375"
"724992","177","177","177","10.14794921875","10.14794921875","10.14794921875"
"729088","178","178","178","10.110107421875","10.110107421875","10.110107421875"
"733184","179","179","179","10.552001953125","10.552001953125","10.552001953125"
"737280","180","180","180","10.95556640625","10.95556640625","10.95556640625"
"741376","181","181","181","10.900634765625","10.900634765625","10.900634765625"
"745472","182","182","182","10.697509765625","10.697509765625","10.697509765625"
"749568","183","183","183","10.63330078125","10.63330078125","10.63330078125"
"753664","184","184","184","10.966064453125","10.966064453125","10.966064453125"
"757760","185","185","185","10.93212890625","10.93212890625","10.93212890625"
"761856","186","186","186","11.01708984375","11.01708984375","11.01708984375"
"765952","187","187","187","11.065185546875","11.065185546875","11.065185546875"
"770048","188","188","188","10.80322265625","10.80322265625","10.80322265625"
"774144","189","189","189","10.463623046875","10.463623046875","10.463623046875"
"778240","190","190","190","11.201416015625","11.201416015625","11.201416015625"
"782336","191","191","191","11.56689453125","11.56689453125","11.56689453125"
"786432","192","192","192","11.70263671875","11.70263671875","11.70263671875"
"790528","193","193","193","11.689453125","11.689453125","11.689453125"
"794624","194","194","194","11.36328125","11.36328125","11.36328125"
"798720","195","195","195","11.623046875","11.623046875","11.623046875"
"802816","196","196","196","11.904052734375","11.904052734375","11.904052734375"
"806912","197","197","197","11.70654296875","11.70654296875","11.70654296875"
"811008","198","198","198","11.60107421875","11.60107421875","11.60107421875"
"815104","199","199","199","11.73095703125","11.73095703125","11.73095703125"
"819200","200","200","200","11.78125","11.78125","11.78125"
"823296","201","201","201","11.726318359375","11.726318359375","11.726318359375"
"827392","202","202","202","12.02783203125","12.02783203125","12.02783203125"
"831488","203","203","203","12.173828125","12.173828125","12.173828125"
"835584","204","204","204","11.7685546875","11.7685546875","11.7685546875"
"839680","205","205","205","12.161376953125","12.161376953125","12.161376953125"
"843776","206","206","206","12.05224609375","12.05224609375","12.05224609375"
"847872","207","207","207","12.77587890625","12.77587890625","12.77587890625"
"851968","208","208","208","12.4814453125","12.4814453125","12.4814453125"
"856064","209","209","209","12.376953125","12.376953125","12.376953125"
"860160","210","210","210","12.237548828125","12.237548828125","12.237548828125"
"864256","211","211","211","12.12060546875","12.12060546875","12.12060546875"
"868352","212","212","212","11.381591796875","11.381591796875","11.381591796875"
"872448","213","213","213","11.133544921875","11.133544921875","11.133544921875"
"876544","214","214","214","10.801025390625","10.801025390625","10.801025390625"
"880640","215","215","215","11.0263671875","11.0263671875","11.0263671875"
"884736","216","216","216","11.292236328125","11.292236328125","11.292236328125"
"888832","217","217","217","11.891357421875","11.891357421875","11.891357421875"
"892928","218","218","218","12.531982421875","12.531982421875","12.531982421875"
"897024","219","219","219","12.560791015625","12.560791015625","12.560791015625"
"901120","220","220","220","13.6650390625","13.6650390625","13.6650390625"
"905216","221","221","221","13.883056640625","13.883056640625","13.883056640625"
"909312","222","222","222","13.93603515625","13.93603515625","13.93603515625"
"913408","223","223","223","13.746826171875","13.746826171875","13.746826171875"
"917504","224","224","224","13.68798828125","13.68798828125","13.68798828125"
"921600","225","225","225","13.696533203125","13.696533203125","13.696533203125"
"925696","226","226","226","14.01806640625","14.01806640625","14.01806640625"
"929792","227","227","227","14.09228515625","14.09228515625","14.09228515625"
"933888","228","228","228","14.2119140625","14.2119140625","14.2119140625"
"937984","229","229","229","13.237548828125","13.237548828125","13.237548828125"
"942080","230","230","230","13.40478515625","13.40478515625","13.40478515625"
"946176","231","231","231","13.361572265625","13.361572265625","13.361572265625"
"950272","232","232","232","13.546630859375","13.546630859375","13.546630859375"
"954368","233","233","233","13.568115234375","13.568115234375","13.568115234375"
"958464","234","234","234","13.594482421875","13.594482421875","13.594482421875"
"962560","235","235","235","13.73388671875","13.73388671875","13.73388671875"
"966656","236","236","236","13.85546875","13.85546875","13.85546875"
"970752","237","237","237","14.699462890625","14.699462890625","14.699462890625"
"974848","238","238","238","14.602783203125","14.602783203125","14.602783203125"
"978944","239","239","239","14.74658203125","14.74658203125","14.74658203125"
"983040","240","240","240","14.267822265625","14.267822265625","14.267822265625"
"987136","241","241","241","14.686279296875","14.686279296875","14.686279296875"
"991232","242","242","242","14.00244140625","14.00244140625","14.00244140625"
"995328","243","243","243","14.3134765625","14.3134765625","14.3134765625"
"999424","244","244","244","14.155517578125","14.155517578125","14.155517578125"
"1003520","245","245","245","14.169921875","14.169921875","14.169921875"
"1007616","246","246","246","14.854248046875","14.854248046875","14.854248046875"
"1011712","247","247","247","15.681884765625","15.681884765625","15.681884765625"
"1015808","248","248","248","15.59765625","15.59765625","15.59765625"
"1019904","249","249","249","15.917724609375","15.917724609375","15.917724609375"
"1024000","250","250","250","16.13037109375","16.13037109375","16.13037109375"
"1028096","251","251","251","15.472900390625","15.472900390625","15.472900390625"
"1032192","252","252","252","15.259521484375","15.259521484375","15.259521484375"
"1036288","253","253","253","15.59033203125","15.59033203125","15.59033203125"
"1040384","254","254","254","15.285400390625","15.285400390625","15.285400390625"
"1044480","255","255","255","15.914794921875","15.914794921875","15.914794921875"
"1048576","256","256","256","16.12353515625","16.12353515625","16.12353515625"
"1052672","257","257","257","15.66162109375","15.66162109375","15.66162109375"
"1056768","258","258","258","15.30810546875","15.30810546875","15.30810546875"
"1060864","259","259","259","15.421875","15.421875","15.421875"
"1064960","260","260","260","15.47802734375","15.47802734375","15.47802734375"
"1069056","261","261","261","15.36865234375","15.36865234375","15.36865234375"
"1073152","262","262","262","14.93017578125","14.93017578125","14.93017578125"
"1077248","263","263","263","14.511474609375","14.511474609375","14.511474609375"
"1081344","264","264","264","14.133056640625","14.133056640625","14.133056640625"
"1085440","265","265","265","13.736328125","13.736328125","13.736328125"
"1089536","266","266","266","13.885498046875","13.885498046875","13.885498046875"
"1093632","267","267","267","14.29541015625","14.29541015625","14.29541015625"
"1097728","268","268","268","15.39208984375","15.39208984375","15.39208984375"
"1101824","269","269","269","15.643310546875","15.643310546875","15.643310546875"
"1105920","270","270","270","15.878662109375","15.878662109375","15.878662109375"
"1110016","271","271","271","15.9814453125","15.9814453125","15.9814453125"
"1114112","272","272","272","16.12353515625","16.12353515625","16.12353515625"
"1118208","273","273","273","15.5546875","15.5546875","15.5546875"
"1122304","274","274","274","15.172119140625","15.172119140625","15.172119140625"
"1126400","275","275","275","15.08447265625","15.08447265625","15.08447265625"
"1130496","276","276","276","15.272705078125","15.272705078125","15.272705078125"
"1134592","277","277","277","15.71337890625","15.71337890625","15.71337890625"
"1138688","278","278","278","15.961181640625","15.961181640625","15.961181640625"
"1142784","279","279","279","16.405029296875","16.405029296875","16.405029296875"
"1146880","280","280","280","16.71337890625","16.71337890625","16.71337890625"
"1150976","281","281","281","17.056396484375","17.056396484375","17.056396484375"
"1155072","282","282","282","17.419677734375","17.419677734375","17.419677734375"
"1159168","283","283","283","17.696533203125","17.696533203125","17.696533203125"
"1163264","284","284","284","18.1435546875","18.1435546875","18.1435546875"
"1167360","285","285","285","18.5859375","18.5859375","18.5859375"
"1171456","286","286","286","18.423828125","18.423828125","18.423828125"
"1175552","287","287","287","17.967041015625","17.967041015625","17.967041015625"
"1179648","288","288","288","18.907958984375","18.907958984375","18.907958984375"
"1183744","289","289","289","18.25439453125","18.25439453125","18.25439453125"
"1187840","290","290","290","18.140869140625","18.140869140625","18.140869140625"
"1191936","291","291","291","18.01123046875","18.01123046875","18.01123046875"
"1196032","292","292","292","17.5166015625","17.5166015625","17.5166015625"
"1200128","293","293","293","17.34423828125","17.34423828125","17.34423828125"
"1204224","294","294","294","18.160888671875","18.160888671875","18.160888671875"
"1208320","295","295","295","18.186767578125","18.186767578125","18.186767578125"
"1212416","296","296","296","17.8935546875","17.8935546875","17.8935546875"
"1216512","297","297","297","17.99169921875","17.99169921875","17.99169921875"
"1220608","298","298","298","18.451904296875","18.451904296875","18.451904296875"
"1224704","299","299","299","18.915771484375","18.915771484375","18.915771484375"
"1228800","300","300","300","18.52001953125","18.52001953125","18.52001953125"
