"env_step","pqn_Freeway-MinAtar - _step","pqn_Freeway-MinAtar - _step__MIN","pqn_Freeway-MinAtar - _step__MAX","pqn_Freeway-MinAtar - returned_episode_returns","pqn_Freeway-MinAtar - returned_episode_returns__MIN","pqn_Freeway-MinAtar - returned_episode_returns__MAX"
"221184","54","54","54","0","0","0"
"225280","55","55","55","0","0","0"
"229376","56","56","56","0","0","0"
"233472","57","57","57","0","0","0"
"237568","58","58","58","0","0","0"
"241664","59","59","59","0","0","0"
"245760","60","60","60","0","0","0"
"249856","61","61","61","0","0","0"
"253952","62","62","62","0","0","0"
"258048","63","63","63","0","0","0"
"262144","64","64","64","0","0","0"
"266240","65","65","65","0","0","0"
"270336","66","66","66","0","0","0"
"274432","67","67","67","0","0","0"
"278528","68","68","68","0","0","0"
"282624","69","69","69","0","0","0"
"286720","70","70","70","0","0","0"
"290816","71","71","71","0","0","0"
"294912","72","72","72","0","0","0"
"299008","73","73","73","0","0","0"
"303104","74","74","74","0","0","0"
"307200","75","75","75","0","0","0"
"311296","76","76","76","0","0","0"
"315392","77","77","77","0","0","0"
"319488","78","78","78","0","0","0"
"323584","79","79","79","0.5380859375","0.5380859375","0.5380859375"
"327680","80","80","80","0.59375","0.59375","0.59375"
"331776","81","81","81","0.59375","0.59375","0.59375"
"335872","82","82","82","0.59375","0.59375","0.59375"
"339968","83","83","83","0.59375","0.59375","0.59375"
"344064","84","84","84","0.59375","0.59375","0.59375"
"348160","85","85","85","0.59375","0.59375","0.59375"
"352256","86","86","86","0.59375","0.59375","0.59375"
"356352","87","87","87","0.59375","0.59375","0.59375"
"360448","88","88","88","0.59375","0.59375","0.59375"
"364544","89","89","89","0.59375","0.59375","0.59375"
"368640","90","90","90","0.59375","0.59375","0.59375"
"372736","91","91","91","0.59375","0.59375","0.59375"
"376832","92","92","92","0.59375","0.59375","0.59375"
"380928","93","93","93","0.59375","0.59375","0.59375"
"385024","94","94","94","0.59375","0.59375","0.59375"
"389120","95","95","95","0.59375","0.59375","0.59375"
"393216","96","96","96","0.59375","0.59375","0.59375"
"397312","97","97","97","0.59375","0.59375","0.59375"
"401408","98","98","98","0.59375","0.59375","0.59375"
"405504","99","99","99","0.59375","0.59375","0.59375"
"409600","100","100","100","0.59375","0.59375","0.59375"
"413696","101","101","101","0.59375","0.59375","0.59375"
"417792","102","102","102","0.59375","0.59375","0.59375"
"421888","103","103","103","0.59375","0.59375","0.59375"
"425984","104","104","104","0.59375","0.59375","0.59375"
"430080","105","105","105","0.59375","0.59375","0.59375"
"434176","106","106","106","0.59375","0.59375","0.59375"
"438272","107","107","107","0.59375","0.59375","0.59375"
"442368","108","108","108","0.59375","0.59375","0.59375"
"446464","109","109","109","0.59375","0.59375","0.59375"
"450560","110","110","110","0.59375","0.59375","0.59375"
"454656","111","111","111","0.59375","0.59375","0.59375"
"458752","112","112","112","0.59375","0.59375","0.59375"
"462848","113","113","113","0.59375","0.59375","0.59375"
"466944","114","114","114","0.59375","0.59375","0.59375"
"471040","115","115","115","0.59375","0.59375","0.59375"
"475136","116","116","116","0.59375","0.59375","0.59375"
"479232","117","117","117","0.59375","0.59375","0.59375"
"483328","118","118","118","0.59375","0.59375","0.59375"
"487424","119","119","119","0.59375","0.59375","0.59375"
"491520","120","120","120","0.59375","0.59375","0.59375"
"495616","121","121","121","0.59375","0.59375","0.59375"
"499712","122","122","122","0.59375","0.59375","0.59375"
"503808","123","123","123","0.59375","0.59375","0.59375"
"507904","124","124","124","0.59375","0.59375","0.59375"
"512000","125","125","125","0.59375","0.59375","0.59375"
"516096","126","126","126","0.59375","0.59375","0.59375"
"520192","127","127","127","0.59375","0.59375","0.59375"
"524288","128","128","128","0.59375","0.59375","0.59375"
"528384","129","129","129","0.59375","0.59375","0.59375"
"532480","130","130","130","0.59375","0.59375","0.59375"
"536576","131","131","131","0.59375","0.59375","0.59375"
"540672","132","132","132","0.59375","0.59375","0.59375"
"544768","133","133","133","0.59375","0.59375","0.59375"
"548864","134","134","134","0.59375","0.59375","0.59375"
"552960","135","135","135","0.59375","0.59375","0.59375"
"557056","136","136","136","0.59375","0.59375","0.59375"
"561152","137","137","137","0.59375","0.59375","0.59375"
"565248","138","138","138","0.59375","0.59375","0.59375"
"569344","139","139","139","0.59375","0.59375","0.59375"
"573440","140","140","140","0.59375","0.59375","0.59375"
"577536","141","141","141","0.59375","0.59375","0.59375"
"581632","142","142","142","0.59375","0.59375","0.59375"
"585728","143","143","143","0.59375","0.59375","0.59375"
"589824","144","144","144","0.59375","0.59375","0.59375"
"593920","145","145","145","0.59375","0.59375","0.59375"
"598016","146","146","146","0.59375","0.59375","0.59375"
"602112","147","147","147","0.59375","0.59375","0.59375"
"606208","148","148","148","0.59375","0.59375","0.59375"
"610304","149","149","149","0.59375","0.59375","0.59375"
"614400","150","150","150","0.59375","0.59375","0.59375"
"618496","151","151","151","0.59375","0.59375","0.59375"
"622592","152","152","152","0.59375","0.59375","0.59375"
"626688","153","153","153","0.59375","0.59375","0.59375"
"630784","154","154","154","0.59375","0.59375","0.59375"
"634880","155","155","155","0.59375","0.59375","0.59375"
"638976","156","156","156","0.59375","0.59375","0.59375"
"643072","157","157","157","1.80224609375","1.80224609375","1.80224609375"
"647168","158","158","158","2.140625","2.140625","2.140625"
"651264","159","159","159","2.140625","2.140625","2.140625"
"655360","160","160","160","2.140625","2.140625","2.140625"
"659456","161","161","161","2.140625","2.140625","2.140625"
"663552","162","162","162","2.140625","2.140625","2.140625"
"667648","163","163","163","2.140625","2.140625","2.140625"
"671744","164","164","164","2.140625","2.140625","2.140625"
"675840","165","165","165","2.140625","2.140625","2.140625"
"679936","166","166","166","2.140625","2.140625","2.140625"
"684032","167","167","167","2.140625","2.140625","2.140625"
"688128","168","168","168","2.140625","2.140625","2.140625"
"692224","169","169","169","2.140625","2.140625","2.140625"
"696320","170","170","170","2.140625","2.140625","2.140625"
"700416","171","171","171","2.140625","2.140625","2.140625"
"704512","172","172","172","2.140625","2.140625","2.140625"
"708608","173","173","173","2.140625","2.140625","2.140625"
"712704","174","174","174","2.140625","2.140625","2.140625"
"716800","175","175","175","2.140625","2.140625","2.140625"
"720896","176","176","176","2.140625","2.140625","2.140625"
"724992","177","177","177","2.140625","2.140625","2.140625"
"729088","178","178","178","2.140625","2.140625","2.140625"
"733184","179","179","179","2.140625","2.140625","2.140625"
"737280","180","180","180","2.140625","2.140625","2.140625"
"741376","181","181","181","2.140625","2.140625","2.140625"
"745472","182","182","182","2.140625","2.140625","2.140625"
"749568","183","183","183","2.140625","2.140625","2.140625"
"753664","184","184","184","2.140625","2.140625","2.140625"
"757760","185","185","185","2.140625","2.140625","2.140625"
"761856","186","186","186","2.140625","2.140625","2.140625"
"765952","187","187","187","2.140625","2.140625","2.140625"
"770048","188","188","188","2.140625","2.140625","2.140625"
"774144","189","189","189","2.140625","2.140625","2.140625"
"778240","190","190","190","2.140625","2.140625","2.140625"
"782336","191","191","191","2.140625","2.140625","2.140625"
"786432","192","192","192","2.140625","2.140625","2.140625"
"790528","193","193","193","2.140625","2.140625","2.140625"
"794624","194","194","194","2.140625","2.140625","2.140625"
"798720","195","195","195","2.140625","2.140625","2.140625"
"802816","196","196","196","2.140625","2.140625","2.140625"
"806912","197","197","197","2.140625","2.140625","2.140625"
"811008","198","198","198","2.140625","2.140625","2.140625"
"815104","199","199","199","2.140625","2.140625","2.140625"
"819200","200","200","200","2.140625","2.140625","2.140625"
"823296","201","201","201","2.140625","2.140625","2.140625"
"827392","202","202","202","2.140625","2.140625","2.140625"
"831488","203","203","203","2.140625","2.140625","2.140625"
"835584","204","204","204","2.140625","2.140625","2.140625"
"839680","205","205","205","2.140625","2.140625","2.140625"
"843776","206","206","206","2.140625","2.140625","2.140625"
"847872","207","207","207","2.140625","2.140625","2.140625"
"851968","208","208","208","2.140625","2.140625","2.140625"
"856064","209","209","209","2.140625","2.140625","2.140625"
"860160","210","210","210","2.140625","2.140625","2.140625"
"864256","211","211","211","2.140625","2.140625","2.140625"
"868352","212","212","212","2.140625","2.140625","2.140625"
"872448","213","213","213","2.140625","2.140625","2.140625"
"876544","214","214","214","2.140625","2.140625","2.140625"
"880640","215","215","215","2.140625","2.140625","2.140625"
"884736","216","216","216","2.140625","2.140625","2.140625"
"888832","217","217","217","2.140625","2.140625","2.140625"
"892928","218","218","218","2.140625","2.140625","2.140625"
"897024","219","219","219","2.140625","2.140625","2.140625"
"901120","220","220","220","2.140625","2.140625","2.140625"
"905216","221","221","221","2.140625","2.140625","2.140625"
"909312","222","222","222","2.140625","2.140625","2.140625"
"913408","223","223","223","2.140625","2.140625","2.140625"
"917504","224","224","224","2.140625","2.140625","2.140625"
"921600","225","225","225","2.140625","2.140625","2.140625"
"925696","226","226","226","2.140625","2.140625","2.140625"
"929792","227","227","227","2.140625","2.140625","2.140625"
"933888","228","228","228","2.140625","2.140625","2.140625"
"937984","229","229","229","2.140625","2.140625","2.140625"
"942080","230","230","230","2.140625","2.140625","2.140625"
"946176","231","231","231","2.140625","2.140625","2.140625"
"950272","232","232","232","2.140625","2.140625","2.140625"
"954368","233","233","233","2.140625","2.140625","2.140625"
"958464","234","234","234","2.140625","2.140625","2.140625"
"962560","235","235","235","3.929931640625","3.929931640625","3.929931640625"
"966656","236","236","236","4.8671875","4.8671875","4.8671875"
"970752","237","237","237","4.8671875","4.8671875","4.8671875"
"974848","238","238","238","4.8671875","4.8671875","4.8671875"
"978944","239","239","239","4.8671875","4.8671875","4.8671875"
"983040","240","240","240","4.8671875","4.8671875","4.8671875"
"987136","241","241","241","4.8671875","4.8671875","4.8671875"
"991232","242","242","242","4.8671875","4.8671875","4.8671875"
"995328","243","243","243","4.8671875","4.8671875","4.8671875"
"999424","244","244","244","4.8671875","4.8671875","4.8671875"
"1003520","245","245","245","4.8671875","4.8671875","4.8671875"
"1007616","246","246","246","4.8671875","4.8671875","4.8671875"
"1011712","247","247","247","4.8671875","4.8671875","4.8671875"
"1015808","248","248","248","4.8671875","4.8671875","4.8671875"
"1019904","249","249","249","4.8671875","4.8671875","4.8671875"
"1024000","250","250","250","4.8671875","4.8671875","4.8671875"
"1028096","251","251","251","4.8671875","4.8671875","4.8671875"
"1032192","252","252","252","4.8671875","4.8671875","4.8671875"
"1036288","253","253","253","4.8671875","4.8671875","4.8671875"
"1040384","254","254","254","4.8671875","4.8671875","4.8671875"
"1044480","255","255","255","4.8671875","4.8671875","4.8671875"
"1048576","256","256","256","4.8671875","4.8671875","4.8671875"
"1052672","257","257","257","4.8671875","4.8671875","4.8671875"
"1056768","258","258","258","4.8671875","4.8671875","4.8671875"
"1060864","259","259","259","4.8671875","4.8671875","4.8671875"
"1064960","260","260","260","4.8671875","4.8671875","4.8671875"
"1069056","261","261","261","4.8671875","4.8671875","4.8671875"
"1073152","262","262","262","4.8671875","4.8671875","4.8671875"
"1077248","263","263","263","4.8671875","4.8671875","4.8671875"
"1081344","264","264","264","4.8671875","4.8671875","4.8671875"
"1085440","265","265","265","4.8671875","4.8671875","4.8671875"
"1089536","266","266","266","4.8671875","4.8671875","4.8671875"
"1093632","267","267","267","4.8671875","4.8671875","4.8671875"
"1097728","268","268","268","4.8671875","4.8671875","4.8671875"
"1101824","269","269","269","4.8671875","4.8671875","4.8671875"
"1105920","270","270","270","4.8671875","4.8671875","4.8671875"
"1110016","271","271","271","4.8671875","4.8671875","4.8671875"
"1114112","272","272","272","4.8671875","4.8671875","4.8671875"
"1118208","273","273","273","4.8671875","4.8671875","4.8671875"
"1122304","274","274","274","4.8671875","4.8671875","4.8671875"
"1126400","275","275","275","4.8671875","4.8671875","4.8671875"
"1130496","276","276","276","4.8671875","4.8671875","4.8671875"
"1134592","277","277","277","4.8671875","4.8671875","4.8671875"
"1138688","278","278","278","4.8671875","4.8671875","4.8671875"
"1142784","279","279","279","4.8671875","4.8671875","4.8671875"
"1146880","280","280","280","4.8671875","4.8671875","4.8671875"
"1150976","281","281","281","4.8671875","4.8671875","4.8671875"
"1155072","282","282","282","4.8671875","4.8671875","4.8671875"
"1159168","283","283","283","4.8671875","4.8671875","4.8671875"
"1163264","284","284","284","4.8671875","4.8671875","4.8671875"
"1167360","285","285","285","4.8671875","4.8671875","4.8671875"
"1171456","286","286","286","4.8671875","4.8671875","4.8671875"
"1175552","287","287","287","4.8671875","4.8671875","4.8671875"
"1179648","288","288","288","4.8671875","4.8671875","4.8671875"
"1183744","289","289","289","4.8671875","4.8671875","4.8671875"
"1187840","290","290","290","4.8671875","4.8671875","4.8671875"
"1191936","291","291","291","4.8671875","4.8671875","4.8671875"
"1196032","292","292","292","4.8671875","4.8671875","4.8671875"
"1200128","293","293","293","4.8671875","4.8671875","4.8671875"
"1204224","294","294","294","4.8671875","4.8671875","4.8671875"
"1208320","295","295","295","4.8671875","4.8671875","4.8671875"
"1212416","296","296","296","4.8671875","4.8671875","4.8671875"
"1216512","297","297","297","4.8671875","4.8671875","4.8671875"
"1220608","298","298","298","4.8671875","4.8671875","4.8671875"
"1224704","299","299","299","4.8671875","4.8671875","4.8671875"
"1228800","300","300","300","4.8671875","4.8671875","4.8671875"
"1232896","301","301","301","4.8671875","4.8671875","4.8671875"
"1236992","302","302","302","4.8671875","4.8671875","4.8671875"
"1241088","303","303","303","4.8671875","4.8671875","4.8671875"
"1245184","304","304","304","4.8671875","4.8671875","4.8671875"
"1249280","305","305","305","4.8671875","4.8671875","4.8671875"
"1253376","306","306","306","4.8671875","4.8671875","4.8671875"
"1257472","307","307","307","4.8671875","4.8671875","4.8671875"
"1261568","308","308","308","4.8671875","4.8671875","4.8671875"
"1265664","309","309","309","4.8671875","4.8671875","4.8671875"
"1269760","310","310","310","4.8671875","4.8671875","4.8671875"
"1273856","311","311","311","4.8671875","4.8671875","4.8671875"
"1277952","312","312","312","4.8671875","4.8671875","4.8671875"
"1282048","313","313","313","8.614990234375","8.614990234375","8.614990234375"
"1286144","314","314","314","11.921875","11.921875","11.921875"
"1290240","315","315","315","11.921875","11.921875","11.921875"
"1294336","316","316","316","11.921875","11.921875","11.921875"
"1298432","317","317","317","11.921875","11.921875","11.921875"
"1302528","318","318","318","11.921875","11.921875","11.921875"
"1306624","319","319","319","11.921875","11.921875","11.921875"
"1310720","320","320","320","11.921875","11.921875","11.921875"
"1314816","321","321","321","11.921875","11.921875","11.921875"
"1318912","322","322","322","11.921875","11.921875","11.921875"
"1323008","323","323","323","11.921875","11.921875","11.921875"
"1327104","324","324","324","11.921875","11.921875","11.921875"
"1331200","325","325","325","11.921875","11.921875","11.921875"
"1335296","326","326","326","11.921875","11.921875","11.921875"
"1339392","327","327","327","11.921875","11.921875","11.921875"
"1343488","328","328","328","11.921875","11.921875","11.921875"
"1347584","329","329","329","11.921875","11.921875","11.921875"
"1351680","330","330","330","11.921875","11.921875","11.921875"
"1355776","331","331","331","11.921875","11.921875","11.921875"
"1359872","332","332","332","11.921875","11.921875","11.921875"
"1363968","333","333","333","11.921875","11.921875","11.921875"
"1368064","334","334","334","11.921875","11.921875","11.921875"
"1372160","335","335","335","11.921875","11.921875","11.921875"
"1376256","336","336","336","11.921875","11.921875","11.921875"
"1380352","337","337","337","11.921875","11.921875","11.921875"
"1384448","338","338","338","11.921875","11.921875","11.921875"
"1388544","339","339","339","11.921875","11.921875","11.921875"
"1392640","340","340","340","11.921875","11.921875","11.921875"
"1396736","341","341","341","11.921875","11.921875","11.921875"
"1400832","342","342","342","11.921875","11.921875","11.921875"
"1404928","343","343","343","11.921875","11.921875","11.921875"
"1409024","344","344","344","11.921875","11.921875","11.921875"
"1413120","345","345","345","11.921875","11.921875","11.921875"
"1417216","346","346","346","11.921875","11.921875","11.921875"
"1421312","347","347","347","11.921875","11.921875","11.921875"
"1425408","348","348","348","11.921875","11.921875","11.921875"
"1429504","349","349","349","11.921875","11.921875","11.921875"
"1433600","350","350","350","11.921875","11.921875","11.921875"
"1437696","351","351","351","11.921875","11.921875","11.921875"
"1441792","352","352","352","11.921875","11.921875","11.921875"
"1445888","353","353","353","11.921875","11.921875","11.921875"
"1449984","354","354","354","11.921875","11.921875","11.921875"
"1454080","355","355","355","11.921875","11.921875","11.921875"
"1458176","356","356","356","11.921875","11.921875","11.921875"
"1462272","357","357","357","11.921875","11.921875","11.921875"
"1466368","358","358","358","11.921875","11.921875","11.921875"
"1470464","359","359","359","11.921875","11.921875","11.921875"
"1474560","360","360","360","11.921875","11.921875","11.921875"
"1478656","361","361","361","11.921875","11.921875","11.921875"
"1482752","362","362","362","11.921875","11.921875","11.921875"
"1486848","363","363","363","11.921875","11.921875","11.921875"
"1490944","364","364","364","11.921875","11.921875","11.921875"
"1495040","365","365","365","11.921875","11.921875","11.921875"
"1499136","366","366","366","11.921875","11.921875","11.921875"
"1503232","367","367","367","11.921875","11.921875","11.921875"
"1507328","368","368","368","11.921875","11.921875","11.921875"
"1511424","369","369","369","11.921875","11.921875","11.921875"
"1515520","370","370","370","11.921875","11.921875","11.921875"
"1519616","371","371","371","11.921875","11.921875","11.921875"
"1523712","372","372","372","11.921875","11.921875","11.921875"
"1527808","373","373","373","11.921875","11.921875","11.921875"
"1531904","374","374","374","11.921875","11.921875","11.921875"
"1536000","375","375","375","11.921875","11.921875","11.921875"
"1540096","376","376","376","11.921875","11.921875","11.921875"
"1544192","377","377","377","11.921875","11.921875","11.921875"
"1548288","378","378","378","11.921875","11.921875","11.921875"
"1552384","379","379","379","11.921875","11.921875","11.921875"
"1556480","380","380","380","11.921875","11.921875","11.921875"
"1560576","381","381","381","11.921875","11.921875","11.921875"
"1564672","382","382","382","11.921875","11.921875","11.921875"
"1568768","383","383","383","11.921875","11.921875","11.921875"
"1572864","384","384","384","11.921875","11.921875","11.921875"
"1576960","385","385","385","11.921875","11.921875","11.921875"
"1581056","386","386","386","11.921875","11.921875","11.921875"
"1585152","387","387","387","11.921875","11.921875","11.921875"
"1589248","388","388","388","11.921875","11.921875","11.921875"
"1593344","389","389","389","11.921875","11.921875","11.921875"
"1597440","390","390","390","11.921875","11.921875","11.921875"
"1601536","391","391","391","16.111328125","16.111328125","16.111328125"
"1605632","392","392","392","22.234375","22.234375","22.234375"
"1609728","393","393","393","22.234375","22.234375","22.234375"
"1613824","394","394","394","22.234375","22.234375","22.234375"
"1617920","395","395","395","22.234375","22.234375","22.234375"
"1622016","396","396","396","22.234375","22.234375","22.234375"
"1626112","397","397","397","22.234375","22.234375","22.234375"
"1630208","398","398","398","22.234375","22.234375","22.234375"
"1634304","399","399","399","22.234375","22.234375","22.234375"
"1638400","400","400","400","22.234375","22.234375","22.234375"
"1642496","401","401","401","22.234375","22.234375","22.234375"
"1646592","402","402","402","22.234375","22.234375","22.234375"
"1650688","403","403","403","22.234375","22.234375","22.234375"
"1654784","404","404","404","22.234375","22.234375","22.234375"
"1658880","405","405","405","22.234375","22.234375","22.234375"
"1662976","406","406","406","22.234375","22.234375","22.234375"
"1667072","407","407","407","22.234375","22.234375","22.234375"
"1671168","408","408","408","22.234375","22.234375","22.234375"
"1675264","409","409","409","22.234375","22.234375","22.234375"
"1679360","410","410","410","22.234375","22.234375","22.234375"
"1683456","411","411","411","22.234375","22.234375","22.234375"
"1687552","412","412","412","22.234375","22.234375","22.234375"
"1691648","413","413","413","22.234375","22.234375","22.234375"
"1695744","414","414","414","22.234375","22.234375","22.234375"
"1699840","415","415","415","22.234375","22.234375","22.234375"
"1703936","416","416","416","22.234375","22.234375","22.234375"
"1708032","417","417","417","22.234375","22.234375","22.234375"
"1712128","418","418","418","22.234375","22.234375","22.234375"
"1716224","419","419","419","22.234375","22.234375","22.234375"
"1720320","420","420","420","22.234375","22.234375","22.234375"
"1724416","421","421","421","22.234375","22.234375","22.234375"
"1728512","422","422","422","22.234375","22.234375","22.234375"
"1732608","423","423","423","22.234375","22.234375","22.234375"
"1736704","424","424","424","22.234375","22.234375","22.234375"
"1740800","425","425","425","22.234375","22.234375","22.234375"
"1744896","426","426","426","22.234375","22.234375","22.234375"
"1748992","427","427","427","22.234375","22.234375","22.234375"
"1753088","428","428","428","22.234375","22.234375","22.234375"
"1757184","429","429","429","22.234375","22.234375","22.234375"
"1761280","430","430","430","22.234375","22.234375","22.234375"
"1765376","431","431","431","22.234375","22.234375","22.234375"
"1769472","432","432","432","22.234375","22.234375","22.234375"
"1773568","433","433","433","22.234375","22.234375","22.234375"
"1777664","434","434","434","22.234375","22.234375","22.234375"
"1781760","435","435","435","22.234375","22.234375","22.234375"
"1785856","436","436","436","22.234375","22.234375","22.234375"
"1789952","437","437","437","22.234375","22.234375","22.234375"
"1794048","438","438","438","22.234375","22.234375","22.234375"
"1798144","439","439","439","22.234375","22.234375","22.234375"
"1802240","440","440","440","22.234375","22.234375","22.234375"
"1806336","441","441","441","22.234375","22.234375","22.234375"
"1810432","442","442","442","22.234375","22.234375","22.234375"
"1814528","443","443","443","22.234375","22.234375","22.234375"
"1818624","444","444","444","22.234375","22.234375","22.234375"
"1822720","445","445","445","22.234375","22.234375","22.234375"
"1826816","446","446","446","22.234375","22.234375","22.234375"
"1830912","447","447","447","22.234375","22.234375","22.234375"
"1835008","448","448","448","22.234375","22.234375","22.234375"
"1839104","449","449","449","22.234375","22.234375","22.234375"
"1843200","450","450","450","22.234375","22.234375","22.234375"
"1847296","451","451","451","22.234375","22.234375","22.234375"
"1851392","452","452","452","22.234375","22.234375","22.234375"
"1855488","453","453","453","22.234375","22.234375","22.234375"
"1859584","454","454","454","22.234375","22.234375","22.234375"
"1863680","455","455","455","22.234375","22.234375","22.234375"
"1867776","456","456","456","22.234375","22.234375","22.234375"
"1871872","457","457","457","22.234375","22.234375","22.234375"
"1875968","458","458","458","22.234375","22.234375","22.234375"
"1880064","459","459","459","22.234375","22.234375","22.234375"
"1884160","460","460","460","22.234375","22.234375","22.234375"
"1888256","461","461","461","22.234375","22.234375","22.234375"
"1892352","462","462","462","22.234375","22.234375","22.234375"
"1896448","463","463","463","22.234375","22.234375","22.234375"
"1900544","464","464","464","22.234375","22.234375","22.234375"
"1904640","465","465","465","22.234375","22.234375","22.234375"
"1908736","466","466","466","22.234375","22.234375","22.234375"
"1912832","467","467","467","22.234375","22.234375","22.234375"
"1916928","468","468","468","22.234375","22.234375","22.234375"
"1921024","469","469","469","26.55859375","26.55859375","26.55859375"
"1925120","470","470","470","37.609375","37.609375","37.609375"
"1929216","471","471","471","37.609375","37.609375","37.609375"
"1933312","472","472","472","37.609375","37.609375","37.609375"
"1937408","473","473","473","37.609375","37.609375","37.609375"
"1941504","474","474","474","37.609375","37.609375","37.609375"
"1945600","475","475","475","37.609375","37.609375","37.609375"
"1949696","476","476","476","37.609375","37.609375","37.609375"
"1953792","477","477","477","37.609375","37.609375","37.609375"
"1957888","478","478","478","37.609375","37.609375","37.609375"
"1961984","479","479","479","37.609375","37.609375","37.609375"
"1966080","480","480","480","37.609375","37.609375","37.609375"
"1970176","481","481","481","37.609375","37.609375","37.609375"
"1974272","482","482","482","37.609375","37.609375","37.609375"
"1978368","483","483","483","37.609375","37.609375","37.609375"
"1982464","484","484","484","37.609375","37.609375","37.609375"
"1986560","485","485","485","37.609375","37.609375","37.609375"
"1990656","486","486","486","37.609375","37.609375","37.609375"
"1994752","487","487","487","37.609375","37.609375","37.609375"
"1998848","488","488","488","37.609375","37.609375","37.609375"
"2002944","489","489","489","37.609375","37.609375","37.609375"
"2007040","490","490","490","37.609375","37.609375","37.609375"
"2011136","491","491","491","37.609375","37.609375","37.609375"
"2015232","492","492","492","37.609375","37.609375","37.609375"
"2019328","493","493","493","37.609375","37.609375","37.609375"
"2023424","494","494","494","37.609375","37.609375","37.609375"
"2027520","495","495","495","37.609375","37.609375","37.609375"
"2031616","496","496","496","37.609375","37.609375","37.609375"
"2035712","497","497","497","37.609375","37.609375","37.609375"
"2039808","498","498","498","37.609375","37.609375","37.609375"
"2043904","499","499","499","37.609375","37.609375","37.609375"
"2048000","500","500","500","37.609375","37.609375","37.609375"
"2052096","501","501","501","37.609375","37.609375","37.609375"
"2056192","502","502","502","37.609375","37.609375","37.609375"
"2060288","503","503","503","37.609375","37.609375","37.609375"
"2064384","504","504","504","37.609375","37.609375","37.609375"
"2068480","505","505","505","37.609375","37.609375","37.609375"
"2072576","506","506","506","37.609375","37.609375","37.609375"
"2076672","507","507","507","37.609375","37.609375","37.609375"
"2080768","508","508","508","37.609375","37.609375","37.609375"
"2084864","509","509","509","37.609375","37.609375","37.609375"
"2088960","510","510","510","37.609375","37.609375","37.609375"
"2093056","511","511","511","37.609375","37.609375","37.609375"
"2097152","512","512","512","37.609375","37.609375","37.609375"
"2101248","513","513","513","37.609375","37.609375","37.609375"
"2105344","514","514","514","37.609375","37.609375","37.609375"
"2109440","515","515","515","37.609375","37.609375","37.609375"
"2113536","516","516","516","37.609375","37.609375","37.609375"
"2117632","517","517","517","37.609375","37.609375","37.609375"
"2121728","518","518","518","37.609375","37.609375","37.609375"
"2125824","519","519","519","37.609375","37.609375","37.609375"
"2129920","520","520","520","37.609375","37.609375","37.609375"
"2134016","521","521","521","37.609375","37.609375","37.609375"
"2138112","522","522","522","37.609375","37.609375","37.609375"
"2142208","523","523","523","37.609375","37.609375","37.609375"
"2146304","524","524","524","37.609375","37.609375","37.609375"
"2150400","525","525","525","37.609375","37.609375","37.609375"
"2154496","526","526","526","37.609375","37.609375","37.609375"
"2158592","527","527","527","37.609375","37.609375","37.609375"
"2162688","528","528","528","37.609375","37.609375","37.609375"
"2166784","529","529","529","37.609375","37.609375","37.609375"
"2170880","530","530","530","37.609375","37.609375","37.609375"
"2174976","531","531","531","37.609375","37.609375","37.609375"
"2179072","532","532","532","37.609375","37.609375","37.609375"
