"env_step","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.75537109375","1.75537109375","1.75537109375"
"12288","3","3","3","2.932861328125","2.932861328125","2.932861328125"
"16384","4","4","4","3.6640625","3.6640625","3.6640625"
"20480","5","5","5","4.2724609375","4.2724609375","4.2724609375"
"24576","6","6","6","4.537353515625","4.537353515625","4.537353515625"
"28672","7","7","7","4.46240234375","4.46240234375","4.46240234375"
"32768","8","8","8","4.136962890625","4.136962890625","4.136962890625"
"36864","9","9","9","4.04296875","4.04296875","4.04296875"
"40960","10","10","10","4.218505859375","4.218505859375","4.218505859375"
"45056","11","11","11","4.12353515625","4.12353515625","4.12353515625"
"49152","12","12","12","4.22802734375","4.22802734375","4.22802734375"
"53248","13","13","13","4.3720703125","4.3720703125","4.3720703125"
"57344","14","14","14","4.17333984375","4.17333984375","4.17333984375"
"61440","15","15","15","4.289794921875","4.289794921875","4.289794921875"
"65536","16","16","16","4.44189453125","4.44189453125","4.44189453125"
"69632","17","17","17","4.53271484375","4.53271484375","4.53271484375"
"73728","18","18","18","4.53515625","4.53515625","4.53515625"
"77824","19","19","19","4.913330078125","4.913330078125","4.913330078125"
"81920","20","20","20","4.974853515625","4.974853515625","4.974853515625"
"86016","21","21","21","4.40966796875","4.40966796875","4.40966796875"
"90112","22","22","22","4.206298828125","4.206298828125","4.206298828125"
"94208","23","23","23","4.20654296875","4.20654296875","4.20654296875"
"98304","24","24","24","4.260009765625","4.260009765625","4.260009765625"
"102400","25","25","25","4.565673828125","4.565673828125","4.565673828125"
"106496","26","26","26","4.1416015625","4.1416015625","4.1416015625"
"110592","27","27","27","4.3359375","4.3359375","4.3359375"
"114688","28","28","28","4.296142578125","4.296142578125","4.296142578125"
"118784","29","29","29","4.054931640625","4.054931640625","4.054931640625"
"122880","30","30","30","3.750244140625","3.750244140625","3.750244140625"
"126976","31","31","31","3.955322265625","3.955322265625","3.955322265625"
"131072","32","32","32","4.298828125","4.298828125","4.298828125"
"135168","33","33","33","4.1474609375","4.1474609375","4.1474609375"
"139264","34","34","34","4.19775390625","4.19775390625","4.19775390625"
"143360","35","35","35","3.981201171875","3.981201171875","3.981201171875"
"147456","36","36","36","4.069580078125","4.069580078125","4.069580078125"
"151552","37","37","37","4.179443359375","4.179443359375","4.179443359375"
"155648","38","38","38","4.040283203125","4.040283203125","4.040283203125"
"159744","39","39","39","4.669189453125","4.669189453125","4.669189453125"
"163840","40","40","40","4.517333984375","4.517333984375","4.517333984375"
"167936","41","41","41","4.61669921875","4.61669921875","4.61669921875"
"172032","42","42","42","4.431640625","4.431640625","4.431640625"
"176128","43","43","43","4.242919921875","4.242919921875","4.242919921875"
"180224","44","44","44","4.451416015625","4.451416015625","4.451416015625"
"184320","45","45","45","4.69873046875","4.69873046875","4.69873046875"
"188416","46","46","46","4.5478515625","4.5478515625","4.5478515625"
"192512","47","47","47","4.43896484375","4.43896484375","4.43896484375"
"196608","48","48","48","4.636474609375","4.636474609375","4.636474609375"
"200704","49","49","49","5.052978515625","5.052978515625","5.052978515625"
"204800","50","50","50","4.906494140625","4.906494140625","4.906494140625"
"208896","51","51","51","4.819580078125","4.819580078125","4.819580078125"
"212992","52","52","52","4.900146484375","4.900146484375","4.900146484375"
"217088","53","53","53","4.806396484375","4.806396484375","4.806396484375"
"221184","54","54","54","5.248779296875","5.248779296875","5.248779296875"
"225280","55","55","55","4.97607421875","4.97607421875","4.97607421875"
"229376","56","56","56","4.975830078125","4.975830078125","4.975830078125"
"233472","57","57","57","4.814208984375","4.814208984375","4.814208984375"
"237568","58","58","58","5.008056640625","5.008056640625","5.008056640625"
"241664","59","59","59","5.312744140625","5.312744140625","5.312744140625"
"245760","60","60","60","4.920654296875","4.920654296875","4.920654296875"
"249856","61","61","61","4.7861328125","4.7861328125","4.7861328125"
"253952","62","62","62","5.2412109375","5.2412109375","5.2412109375"
"258048","63","63","63","5.25439453125","5.25439453125","5.25439453125"
"262144","64","64","64","4.847900390625","4.847900390625","4.847900390625"
"266240","65","65","65","4.63818359375","4.63818359375","4.63818359375"
"270336","66","66","66","4.83984375","4.83984375","4.83984375"
"274432","67","67","67","5.129638671875","5.129638671875","5.129638671875"
"278528","68","68","68","5.318603515625","5.318603515625","5.318603515625"
"282624","69","69","69","5.016357421875","5.016357421875","5.016357421875"
"286720","70","70","70","5.387451171875","5.387451171875","5.387451171875"
"290816","71","71","71","5.434326171875","5.434326171875","5.434326171875"
"294912","72","72","72","4.896484375","4.896484375","4.896484375"
"299008","73","73","73","4.795166015625","4.795166015625","4.795166015625"
"303104","74","74","74","5.142822265625","5.142822265625","5.142822265625"
"307200","75","75","75","4.72705078125","4.72705078125","4.72705078125"
"311296","76","76","76","4.935791015625","4.935791015625","4.935791015625"
"315392","77","77","77","5.89990234375","5.89990234375","5.89990234375"
"319488","78","78","78","6.120361328125","6.120361328125","6.120361328125"
"323584","79","79","79","5.64599609375","5.64599609375","5.64599609375"
"327680","80","80","80","5.833740234375","5.833740234375","5.833740234375"
"331776","81","81","81","5.364013671875","5.364013671875","5.364013671875"
"335872","82","82","82","5.31298828125","5.31298828125","5.31298828125"
"339968","83","83","83","5.25439453125","5.25439453125","5.25439453125"
"344064","84","84","84","5.096923828125","5.096923828125","5.096923828125"
"348160","85","85","85","4.880126953125","4.880126953125","4.880126953125"
"352256","86","86","86","5.151123046875","5.151123046875","5.151123046875"
"356352","87","87","87","5.669921875","5.669921875","5.669921875"
"360448","88","88","88","5.816650390625","5.816650390625","5.816650390625"
"364544","89","89","89","5.109619140625","5.109619140625","5.109619140625"
