"env_step","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.75537109375","1.75537109375","1.75537109375"
"12288","3","3","3","2.932861328125","2.932861328125","2.932861328125"
"16384","4","4","4","3.6640625","3.6640625","3.6640625"
"20480","5","5","5","4.320556640625","4.320556640625","4.320556640625"
"24576","6","6","6","4.596435546875","4.596435546875","4.596435546875"
"28672","7","7","7","4.474853515625","4.474853515625","4.474853515625"
"32768","8","8","8","4.138671875","4.138671875","4.138671875"
"36864","9","9","9","4.090576171875","4.090576171875","4.090576171875"
"40960","10","10","10","4.043701171875","4.043701171875","4.043701171875"
"45056","11","11","11","3.959228515625","3.959228515625","3.959228515625"
"49152","12","12","12","3.725830078125","3.725830078125","3.725830078125"
"53248","13","13","13","4.035400390625","4.035400390625","4.035400390625"
"57344","14","14","14","4.00244140625","4.00244140625","4.00244140625"
"61440","15","15","15","3.931640625","3.931640625","3.931640625"
"65536","16","16","16","3.994873046875","3.994873046875","3.994873046875"
"69632","17","17","17","4.106201171875","4.106201171875","4.106201171875"
"73728","18","18","18","4.052490234375","4.052490234375","4.052490234375"
"77824","19","19","19","4.132568359375","4.132568359375","4.132568359375"
"81920","20","20","20","4.32373046875","4.32373046875","4.32373046875"
"86016","21","21","21","4.29833984375","4.29833984375","4.29833984375"
"90112","22","22","22","4.118408203125","4.118408203125","4.118408203125"
"94208","23","23","23","4.2734375","4.2734375","4.2734375"
"98304","24","24","24","4.11669921875","4.11669921875","4.11669921875"
"102400","25","25","25","4.302734375","4.302734375","4.302734375"
"106496","26","26","26","3.957275390625","3.957275390625","3.957275390625"
"110592","27","27","27","4.01318359375","4.01318359375","4.01318359375"
"114688","28","28","28","4.30810546875","4.30810546875","4.30810546875"
"118784","29","29","29","4.036376953125","4.036376953125","4.036376953125"
"122880","30","30","30","4.120849609375","4.120849609375","4.120849609375"
"126976","31","31","31","4.497314453125","4.497314453125","4.497314453125"
"131072","32","32","32","4.365234375","4.365234375","4.365234375"
"135168","33","33","33","3.973876953125","3.973876953125","3.973876953125"
"139264","34","34","34","4.030517578125","4.030517578125","4.030517578125"
"143360","35","35","35","4.04345703125","4.04345703125","4.04345703125"
"147456","36","36","36","4.25146484375","4.25146484375","4.25146484375"
"151552","37","37","37","4.320068359375","4.320068359375","4.320068359375"
"155648","38","38","38","4.26806640625","4.26806640625","4.26806640625"
"159744","39","39","39","4.1728515625","4.1728515625","4.1728515625"
"163840","40","40","40","4.220458984375","4.220458984375","4.220458984375"
"167936","41","41","41","4.227294921875","4.227294921875","4.227294921875"
"172032","42","42","42","4.54541015625","4.54541015625","4.54541015625"
"176128","43","43","43","4.717041015625","4.717041015625","4.717041015625"
"180224","44","44","44","4.688232421875","4.688232421875","4.688232421875"
"184320","45","45","45","4.55517578125","4.55517578125","4.55517578125"
"188416","46","46","46","4.479736328125","4.479736328125","4.479736328125"
"192512","47","47","47","4.676513671875","4.676513671875","4.676513671875"
"196608","48","48","48","4.591796875","4.591796875","4.591796875"
"200704","49","49","49","4.82861328125","4.82861328125","4.82861328125"
"204800","50","50","50","4.852294921875","4.852294921875","4.852294921875"
"208896","51","51","51","4.7900390625","4.7900390625","4.7900390625"
"212992","52","52","52","4.80224609375","4.80224609375","4.80224609375"
"217088","53","53","53","4.56396484375","4.56396484375","4.56396484375"
"221184","54","54","54","4.5341796875","4.5341796875","4.5341796875"
"225280","55","55","55","4.81494140625","4.81494140625","4.81494140625"
"229376","56","56","56","5.0537109375","5.0537109375","5.0537109375"
"233472","57","57","57","4.98828125","4.98828125","4.98828125"
"237568","58","58","58","5.097412109375","5.097412109375","5.097412109375"
"241664","59","59","59","4.8095703125","4.8095703125","4.8095703125"
"245760","60","60","60","4.552734375","4.552734375","4.552734375"
"249856","61","61","61","4.659423828125","4.659423828125","4.659423828125"
"253952","62","62","62","4.888427734375","4.888427734375","4.888427734375"
"258048","63","63","63","5.2314453125","5.2314453125","5.2314453125"
"262144","64","64","64","5.638916015625","5.638916015625","5.638916015625"
"266240","65","65","65","5.511962890625","5.511962890625","5.511962890625"
"270336","66","66","66","5.23388671875","5.23388671875","5.23388671875"
"274432","67","67","67","5.2353515625","5.2353515625","5.2353515625"
"278528","68","68","68","5.368896484375","5.368896484375","5.368896484375"
"282624","69","69","69","5.456787109375","5.456787109375","5.456787109375"
"286720","70","70","70","5.810546875","5.810546875","5.810546875"
"290816","71","71","71","5.511474609375","5.511474609375","5.511474609375"
"294912","72","72","72","5.37353515625","5.37353515625","5.37353515625"
"299008","73","73","73","4.861083984375","4.861083984375","4.861083984375"
"303104","74","74","74","5.281494140625","5.281494140625","5.281494140625"
"307200","75","75","75","5.00146484375","5.00146484375","5.00146484375"
"311296","76","76","76","4.760009765625","4.760009765625","4.760009765625"
"315392","77","77","77","5.083984375","5.083984375","5.083984375"
"319488","78","78","78","5.0908203125","5.0908203125","5.0908203125"
"323584","79","79","79","5.03076171875","5.03076171875","5.03076171875"
"327680","80","80","80","5.313720703125","5.313720703125","5.313720703125"
"331776","81","81","81","5.3330078125","5.3330078125","5.3330078125"
"335872","82","82","82","5.300048828125","5.300048828125","5.300048828125"
"339968","83","83","83","6.15185546875","6.15185546875","6.15185546875"
"344064","84","84","84","5.582763671875","5.582763671875","5.582763671875"
"348160","85","85","85","5.127197265625","5.127197265625","5.127197265625"
"352256","86","86","86","5.14013671875","5.14013671875","5.14013671875"
"356352","87","87","87","5.095458984375","5.095458984375","5.095458984375"
"360448","88","88","88","5.0205078125","5.0205078125","5.0205078125"
"364544","89","89","89","4.6044921875","4.6044921875","4.6044921875"
