"env_step","pqn_Asterix-MinAtar - _step","pqn_Asterix-MinAtar - _step__MIN","pqn_Asterix-MinAtar - _step__MAX","pqn_Asterix-MinAtar - returned_episode_returns","pqn_Asterix-MinAtar - returned_episode_returns__MIN","pqn_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.157470703125","0.157470703125","0.157470703125"
"16384","4","4","4","0.35693359375","0.35693359375","0.35693359375"
"20480","5","5","5","0.40283203125","0.40283203125","0.40283203125"
"24576","6","6","6","0.536376953125","0.536376953125","0.536376953125"
"28672","7","7","7","0.532470703125","0.532470703125","0.532470703125"
"32768","8","8","8","0.552001953125","0.552001953125","0.552001953125"
"36864","9","9","9","0.598876953125","0.598876953125","0.598876953125"
"40960","10","10","10","0.649169921875","0.649169921875","0.649169921875"
"45056","11","11","11","0.66650390625","0.66650390625","0.66650390625"
"49152","12","12","12","0.59716796875","0.59716796875","0.59716796875"
"53248","13","13","13","0.4990234375","0.4990234375","0.4990234375"
"57344","14","14","14","0.4775390625","0.4775390625","0.4775390625"
"61440","15","15","15","0.488037109375","0.488037109375","0.488037109375"
"65536","16","16","16","0.500732421875","0.500732421875","0.500732421875"
"69632","17","17","17","0.608154296875","0.608154296875","0.608154296875"
"73728","18","18","18","0.549072265625","0.549072265625","0.549072265625"
"77824","19","19","19","0.408935546875","0.408935546875","0.408935546875"
"81920","20","20","20","0.4150390625","0.4150390625","0.4150390625"
"86016","21","21","21","0.4560546875","0.4560546875","0.4560546875"
"90112","22","22","22","0.3623046875","0.3623046875","0.3623046875"
"94208","23","23","23","0.43896484375","0.43896484375","0.43896484375"
"98304","24","24","24","0.477294921875","0.477294921875","0.477294921875"
"102400","25","25","25","0.43701171875","0.43701171875","0.43701171875"
"106496","26","26","26","0.44091796875","0.44091796875","0.44091796875"
"110592","27","27","27","0.47021484375","0.47021484375","0.47021484375"
"114688","28","28","28","0.440673828125","0.440673828125","0.440673828125"
"118784","29","29","29","0.496337890625","0.496337890625","0.496337890625"
"122880","30","30","30","0.530517578125","0.530517578125","0.530517578125"
"126976","31","31","31","0.5185546875","0.5185546875","0.5185546875"
"131072","32","32","32","0.518310546875","0.518310546875","0.518310546875"
"135168","33","33","33","0.5","0.5","0.5"
"139264","34","34","34","0.4853515625","0.4853515625","0.4853515625"
"143360","35","35","35","0.48974609375","0.48974609375","0.48974609375"
"147456","36","36","36","0.561279296875","0.561279296875","0.561279296875"
"151552","37","37","37","0.54296875","0.54296875","0.54296875"
"155648","38","38","38","0.468994140625","0.468994140625","0.468994140625"
"159744","39","39","39","0.48193359375","0.48193359375","0.48193359375"
"163840","40","40","40","0.636962890625","0.636962890625","0.636962890625"
"167936","41","41","41","0.574462890625","0.574462890625","0.574462890625"
"172032","42","42","42","0.51513671875","0.51513671875","0.51513671875"
"176128","43","43","43","0.536376953125","0.536376953125","0.536376953125"
"180224","44","44","44","0.61962890625","0.61962890625","0.61962890625"
"184320","45","45","45","0.65478515625","0.65478515625","0.65478515625"
"188416","46","46","46","0.57080078125","0.57080078125","0.57080078125"
"192512","47","47","47","0.53515625","0.53515625","0.53515625"
"196608","48","48","48","0.512939453125","0.512939453125","0.512939453125"
"200704","49","49","49","0.4169921875","0.4169921875","0.4169921875"
"204800","50","50","50","0.544921875","0.544921875","0.544921875"
"208896","51","51","51","0.472412109375","0.472412109375","0.472412109375"
"212992","52","52","52","0.38671875","0.38671875","0.38671875"
"217088","53","53","53","0.42578125","0.42578125","0.42578125"
"221184","54","54","54","0.522705078125","0.522705078125","0.522705078125"
"225280","55","55","55","0.505615234375","0.505615234375","0.505615234375"
"229376","56","56","56","0.673828125","0.673828125","0.673828125"
"233472","57","57","57","0.64990234375","0.64990234375","0.64990234375"
"237568","58","58","58","0.70654296875","0.70654296875","0.70654296875"
"241664","59","59","59","0.62646484375","0.62646484375","0.62646484375"
"245760","60","60","60","0.501953125","0.501953125","0.501953125"
"249856","61","61","61","0.388916015625","0.388916015625","0.388916015625"
"253952","62","62","62","0.44482421875","0.44482421875","0.44482421875"
"258048","63","63","63","0.501953125","0.501953125","0.501953125"
"262144","64","64","64","0.5546875","0.5546875","0.5546875"
"266240","65","65","65","0.686767578125","0.686767578125","0.686767578125"
"270336","66","66","66","0.691650390625","0.691650390625","0.691650390625"
"274432","67","67","67","0.66455078125","0.66455078125","0.66455078125"
"278528","68","68","68","0.595947265625","0.595947265625","0.595947265625"
"282624","69","69","69","0.61279296875","0.61279296875","0.61279296875"
"286720","70","70","70","0.639892578125","0.639892578125","0.639892578125"
"290816","71","71","71","0.655029296875","0.655029296875","0.655029296875"
"294912","72","72","72","0.61474609375","0.61474609375","0.61474609375"
"299008","73","73","73","0.569091796875","0.569091796875","0.569091796875"
"303104","74","74","74","0.497314453125","0.497314453125","0.497314453125"
"307200","75","75","75","0.4853515625","0.4853515625","0.4853515625"
"311296","76","76","76","0.503173828125","0.503173828125","0.503173828125"
"315392","77","77","77","0.5537109375","0.5537109375","0.5537109375"
"319488","78","78","78","0.63720703125","0.63720703125","0.63720703125"
"323584","79","79","79","0.58544921875","0.58544921875","0.58544921875"
"327680","80","80","80","0.57470703125","0.57470703125","0.57470703125"
"331776","81","81","81","0.55908203125","0.55908203125","0.55908203125"
"335872","82","82","82","0.543212890625","0.543212890625","0.543212890625"
"339968","83","83","83","0.575439453125","0.575439453125","0.575439453125"
"344064","84","84","84","0.52978515625","0.52978515625","0.52978515625"
"348160","85","85","85","0.591552734375","0.591552734375","0.591552734375"
"352256","86","86","86","0.5791015625","0.5791015625","0.5791015625"
"356352","87","87","87","0.564697265625","0.564697265625","0.564697265625"
"360448","88","88","88","0.533447265625","0.533447265625","0.533447265625"
"364544","89","89","89","0.47119140625","0.47119140625","0.47119140625"
"368640","90","90","90","0.549072265625","0.549072265625","0.549072265625"
