env_step,returned_episode_returns
4096,0.0
8192,0.0
12288,0.0
16384,0.0
20480,0.0
24576,0.0
28672,0.0
32768,0.0
36864,0.0
40960,0.0
45056,0.0
49152,0.0
53248,0.0
57344,0.0
61440,0.0
65536,0.0
69632,0.0
73728,0.0
77824,0.0
81920,0.0
86016,0.0
90112,0.0
94208,0.0
98304,0.0
102400,0.0
106496,0.0
110592,0.0
114688,0.0
118784,0.0
122880,0.0
126976,0.0
131072,0.0
135168,0.0
139264,0.0
143360,0.0
147456,0.0
151552,0.0
155648,0.0
159744,0.0
163840,0.0
167936,0.0
172032,0.0
176128,0.0
180224,0.0
184320,0.0
188416,0.0
192512,0.0
196608,0.0
200704,0.0
204800,0.0
208896,0.0
212992,0.0
217088,0.0
221184,0.0
225280,0.0
229376,0.0
233472,0.0
237568,0.0
241664,0.0
245760,0.0
249856,0.0
253952,0.0
258048,0.0
262144,0.0
266240,0.0
270336,0.0
274432,0.0
278528,0.0
282624,0.0
286720,0.0
290816,0.0
294912,0.0
299008,0.0
303104,0.0
307200,0.0
311296,0.0
315392,0.0
319488,0.0
323584,0.46728515625
327680,0.515625
331776,0.515625
335872,0.515625
339968,0.515625
344064,0.515625
348160,0.515625
352256,0.515625
356352,0.515625
360448,0.515625
364544,0.515625
368640,0.515625
372736,0.515625
376832,0.515625
380928,0.515625
385024,0.515625
389120,0.515625
393216,0.515625
397312,0.515625
401408,0.515625
405504,0.515625
409600,0.515625
413696,0.515625
417792,0.515625
421888,0.515625
425984,0.515625
430080,0.515625
434176,0.515625
438272,0.515625
442368,0.515625
446464,0.515625
450560,0.515625
454656,0.515625
458752,0.515625
462848,0.515625
466944,0.515625
471040,0.515625
475136,0.515625
479232,0.515625
483328,0.515625
487424,0.515625
491520,0.515625
495616,0.515625
499712,0.515625
503808,0.515625
507904,0.515625
512000,0.515625
516096,0.515625
520192,0.515625
524288,0.515625
528384,0.515625
532480,0.515625
536576,0.515625
540672,0.515625
544768,0.515625
548864,0.515625
552960,0.515625
557056,0.515625
561152,0.515625
565248,0.515625
569344,0.515625
573440,0.515625
577536,0.515625
581632,0.515625
585728,0.515625
589824,0.515625
593920,0.515625
598016,0.515625
602112,0.515625
606208,0.515625
610304,0.515625
614400,0.515625
618496,0.515625
622592,0.515625
626688,0.515625
630784,0.515625
634880,0.515625
638976,0.515625
643072,1.33349609375
647168,1.5625
651264,1.5625
655360,1.5625
659456,1.5625
663552,1.5625
667648,1.5625
671744,1.5625
675840,1.5625
679936,1.5625
684032,1.5625
688128,1.5625
692224,1.5625
696320,1.5625
700416,1.5625
704512,1.5625
708608,1.5625
712704,1.5625
716800,1.5625
720896,1.5625
724992,1.5625
729088,1.5625
733184,1.5625
737280,1.5625
741376,1.5625
745472,1.5625
749568,1.5625
753664,1.5625
757760,1.5625
761856,1.5625
765952,1.5625
770048,1.5625
774144,1.5625
778240,1.5625
782336,1.5625
786432,1.5625
790528,1.5625
794624,1.5625
798720,1.5625
802816,1.5625
806912,1.5625
811008,1.5625
815104,1.5625
819200,1.5625
823296,1.5625
827392,1.5625
831488,1.5625
835584,1.5625
839680,1.5625
843776,1.5625
847872,1.5625
851968,1.5625
856064,1.5625
860160,1.5625
864256,1.5625
868352,1.5625
872448,1.5625
876544,1.5625
880640,1.5625
884736,1.5625
888832,1.5625
892928,1.5625
897024,1.5625
901120,1.5625
905216,1.5625
909312,1.5625
913408,1.5625
917504,1.5625
921600,1.5625
925696,1.5625
929792,1.5625
933888,1.5625
937984,1.5625
942080,1.5625
946176,1.5625
950272,1.5625
954368,1.5625
