"env_step","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.411865234375","0.411865234375","0.411865234375"
"12288","3","3","3","0.424072265625","0.424072265625","0.424072265625"
"16384","4","4","4","0.453857421875","0.453857421875","0.453857421875"
"20480","5","5","5","0.3974609375","0.3974609375","0.3974609375"
"24576","6","6","6","0.421630859375","0.421630859375","0.421630859375"
"28672","7","7","7","0.45068359375","0.45068359375","0.45068359375"
"32768","8","8","8","0.42041015625","0.42041015625","0.42041015625"
"36864","9","9","9","0.40771484375","0.40771484375","0.40771484375"
"40960","10","10","10","0.40625","0.40625","0.40625"
"45056","11","11","11","0.411376953125","0.411376953125","0.411376953125"
"49152","12","12","12","0.41796875","0.41796875","0.41796875"
"53248","13","13","13","0.42919921875","0.42919921875","0.42919921875"
"57344","14","14","14","0.48291015625","0.48291015625","0.48291015625"
"61440","15","15","15","0.44970703125","0.44970703125","0.44970703125"
"65536","16","16","16","0.476318359375","0.476318359375","0.476318359375"
"69632","17","17","17","0.478515625","0.478515625","0.478515625"
"73728","18","18","18","0.463623046875","0.463623046875","0.463623046875"
"77824","19","19","19","0.40966796875","0.40966796875","0.40966796875"
"81920","20","20","20","0.452880859375","0.452880859375","0.452880859375"
"86016","21","21","21","0.41650390625","0.41650390625","0.41650390625"
"90112","22","22","22","0.443603515625","0.443603515625","0.443603515625"
"94208","23","23","23","0.442626953125","0.442626953125","0.442626953125"
"98304","24","24","24","0.423095703125","0.423095703125","0.423095703125"
"102400","25","25","25","0.48828125","0.48828125","0.48828125"
"106496","26","26","26","0.416748046875","0.416748046875","0.416748046875"
"110592","27","27","27","0.44091796875","0.44091796875","0.44091796875"
"114688","28","28","28","0.408447265625","0.408447265625","0.408447265625"
"118784","29","29","29","0.47998046875","0.47998046875","0.47998046875"
"122880","30","30","30","0.51806640625","0.51806640625","0.51806640625"
"126976","31","31","31","0.5751953125","0.5751953125","0.5751953125"
"131072","32","32","32","0.547119140625","0.547119140625","0.547119140625"
"135168","33","33","33","0.50537109375","0.50537109375","0.50537109375"
"139264","34","34","34","0.46630859375","0.46630859375","0.46630859375"
"143360","35","35","35","0.561767578125","0.561767578125","0.561767578125"
"147456","36","36","36","0.5625","0.5625","0.5625"
"151552","37","37","37","0.4755859375","0.4755859375","0.4755859375"
"155648","38","38","38","0.599365234375","0.599365234375","0.599365234375"
"159744","39","39","39","0.572998046875","0.572998046875","0.572998046875"
"163840","40","40","40","0.5380859375","0.5380859375","0.5380859375"
"167936","41","41","41","0.59716796875","0.59716796875","0.59716796875"
"172032","42","42","42","0.588134765625","0.588134765625","0.588134765625"
"176128","43","43","43","0.49609375","0.49609375","0.49609375"
"180224","44","44","44","0.592529296875","0.592529296875","0.592529296875"
"184320","45","45","45","0.449951171875","0.449951171875","0.449951171875"
"188416","46","46","46","0.509033203125","0.509033203125","0.509033203125"
"192512","47","47","47","0.548828125","0.548828125","0.548828125"
"196608","48","48","48","0.570068359375","0.570068359375","0.570068359375"
"200704","49","49","49","0.52099609375","0.52099609375","0.52099609375"
"204800","50","50","50","0.544921875","0.544921875","0.544921875"
"208896","51","51","51","0.587890625","0.587890625","0.587890625"
"212992","52","52","52","0.535400390625","0.535400390625","0.535400390625"
"217088","53","53","53","0.553955078125","0.553955078125","0.553955078125"
"221184","54","54","54","0.6494140625","0.6494140625","0.6494140625"
"225280","55","55","55","0.571044921875","0.571044921875","0.571044921875"
"229376","56","56","56","0.608642578125","0.608642578125","0.608642578125"
"233472","57","57","57","0.659912109375","0.659912109375","0.659912109375"
"237568","58","58","58","0.672607421875","0.672607421875","0.672607421875"
"241664","59","59","59","0.57275390625","0.57275390625","0.57275390625"
"245760","60","60","60","0.6044921875","0.6044921875","0.6044921875"
"249856","61","61","61","0.524658203125","0.524658203125","0.524658203125"
"253952","62","62","62","0.631103515625","0.631103515625","0.631103515625"
"258048","63","63","63","0.627685546875","0.627685546875","0.627685546875"
"262144","64","64","64","0.678466796875","0.678466796875","0.678466796875"
"266240","65","65","65","0.57470703125","0.57470703125","0.57470703125"
"270336","66","66","66","0.612548828125","0.612548828125","0.612548828125"
"274432","67","67","67","0.663330078125","0.663330078125","0.663330078125"
"278528","68","68","68","0.642333984375","0.642333984375","0.642333984375"
"282624","69","69","69","0.6787109375","0.6787109375","0.6787109375"
"286720","70","70","70","0.655029296875","0.655029296875","0.655029296875"
