"env_step","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.411865234375","0.411865234375","0.411865234375"
"12288","3","3","3","0.424072265625","0.424072265625","0.424072265625"
"16384","4","4","4","0.453857421875","0.453857421875","0.453857421875"
"20480","5","5","5","0.3974609375","0.3974609375","0.3974609375"
"24576","6","6","6","0.421630859375","0.421630859375","0.421630859375"
"28672","7","7","7","0.44921875","0.44921875","0.44921875"
"32768","8","8","8","0.436767578125","0.436767578125","0.436767578125"
"36864","9","9","9","0.42626953125","0.42626953125","0.42626953125"
"40960","10","10","10","0.41650390625","0.41650390625","0.41650390625"
"45056","11","11","11","0.400146484375","0.400146484375","0.400146484375"
"49152","12","12","12","0.407470703125","0.407470703125","0.407470703125"
"53248","13","13","13","0.374267578125","0.374267578125","0.374267578125"
"57344","14","14","14","0.45947265625","0.45947265625","0.45947265625"
"61440","15","15","15","0.446044921875","0.446044921875","0.446044921875"
"65536","16","16","16","0.475830078125","0.475830078125","0.475830078125"
"69632","17","17","17","0.453369140625","0.453369140625","0.453369140625"
"73728","18","18","18","0.449462890625","0.449462890625","0.449462890625"
"77824","19","19","19","0.398681640625","0.398681640625","0.398681640625"
"81920","20","20","20","0.414794921875","0.414794921875","0.414794921875"
"86016","21","21","21","0.388671875","0.388671875","0.388671875"
"90112","22","22","22","0.3916015625","0.3916015625","0.3916015625"
"94208","23","23","23","0.486572265625","0.486572265625","0.486572265625"
"98304","24","24","24","0.41064453125","0.41064453125","0.41064453125"
"102400","25","25","25","0.47021484375","0.47021484375","0.47021484375"
"106496","26","26","26","0.44189453125","0.44189453125","0.44189453125"
"110592","27","27","27","0.48095703125","0.48095703125","0.48095703125"
"114688","28","28","28","0.483154296875","0.483154296875","0.483154296875"
"118784","29","29","29","0.45703125","0.45703125","0.45703125"
"122880","30","30","30","0.509033203125","0.509033203125","0.509033203125"
"126976","31","31","31","0.585693359375","0.585693359375","0.585693359375"
"131072","32","32","32","0.5947265625","0.5947265625","0.5947265625"
"135168","33","33","33","0.53369140625","0.53369140625","0.53369140625"
"139264","34","34","34","0.44873046875","0.44873046875","0.44873046875"
"143360","35","35","35","0.493896484375","0.493896484375","0.493896484375"
"147456","36","36","36","0.519287109375","0.519287109375","0.519287109375"
"151552","37","37","37","0.478759765625","0.478759765625","0.478759765625"
"155648","38","38","38","0.519287109375","0.519287109375","0.519287109375"
"159744","39","39","39","0.56640625","0.56640625","0.56640625"
"163840","40","40","40","0.549072265625","0.549072265625","0.549072265625"
"167936","41","41","41","0.57275390625","0.57275390625","0.57275390625"
"172032","42","42","42","0.585205078125","0.585205078125","0.585205078125"
"176128","43","43","43","0.541748046875","0.541748046875","0.541748046875"
"180224","44","44","44","0.54150390625","0.54150390625","0.54150390625"
"184320","45","45","45","0.51318359375","0.51318359375","0.51318359375"
"188416","46","46","46","0.5546875","0.5546875","0.5546875"
"192512","47","47","47","0.451904296875","0.451904296875","0.451904296875"
"196608","48","48","48","0.555419921875","0.555419921875","0.555419921875"
"200704","49","49","49","0.584716796875","0.584716796875","0.584716796875"
"204800","50","50","50","0.511962890625","0.511962890625","0.511962890625"
"208896","51","51","51","0.57861328125","0.57861328125","0.57861328125"
"212992","52","52","52","0.568603515625","0.568603515625","0.568603515625"
"217088","53","53","53","0.609375","0.609375","0.609375"
"221184","54","54","54","0.64453125","0.64453125","0.64453125"
"225280","55","55","55","0.549560546875","0.549560546875","0.549560546875"
"229376","56","56","56","0.650146484375","0.650146484375","0.650146484375"
"233472","57","57","57","0.668701171875","0.668701171875","0.668701171875"
"237568","58","58","58","0.637939453125","0.637939453125","0.637939453125"
"241664","59","59","59","0.6826171875","0.6826171875","0.6826171875"
"245760","60","60","60","0.600830078125","0.600830078125","0.600830078125"
"249856","61","61","61","0.55078125","0.55078125","0.55078125"
"253952","62","62","62","0.596923828125","0.596923828125","0.596923828125"
"258048","63","63","63","0.669677734375","0.669677734375","0.669677734375"
"262144","64","64","64","0.586181640625","0.586181640625","0.586181640625"
"266240","65","65","65","0.515625","0.515625","0.515625"
"270336","66","66","66","0.63232421875","0.63232421875","0.63232421875"
"274432","67","67","67","0.619873046875","0.619873046875","0.619873046875"
"278528","68","68","68","0.622314453125","0.622314453125","0.622314453125"
"282624","69","69","69","0.62744140625","0.62744140625","0.62744140625"
"286720","70","70","70","0.6611328125","0.6611328125","0.6611328125"
