"env_step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.41064453125","0.41064453125","0.41064453125"
"12288","3","3","3","0.431396484375","0.431396484375","0.431396484375"
"16384","4","4","4","0.45263671875","0.45263671875","0.45263671875"
"20480","5","5","5","0.415283203125","0.415283203125","0.415283203125"
"24576","6","6","6","0.449951171875","0.449951171875","0.449951171875"
"28672","7","7","7","0.43798828125","0.43798828125","0.43798828125"
"32768","8","8","8","0.442138671875","0.442138671875","0.442138671875"
"36864","9","9","9","0.4248046875","0.4248046875","0.4248046875"
"40960","10","10","10","0.441650390625","0.441650390625","0.441650390625"
"45056","11","11","11","0.448486328125","0.448486328125","0.448486328125"
"49152","12","12","12","0.436279296875","0.436279296875","0.436279296875"
"53248","13","13","13","0.430419921875","0.430419921875","0.430419921875"
"57344","14","14","14","0.462890625","0.462890625","0.462890625"
"61440","15","15","15","0.428466796875","0.428466796875","0.428466796875"
"65536","16","16","16","0.45849609375","0.45849609375","0.45849609375"
"69632","17","17","17","0.443359375","0.443359375","0.443359375"
"73728","18","18","18","0.460205078125","0.460205078125","0.460205078125"
"77824","19","19","19","0.411376953125","0.411376953125","0.411376953125"
"81920","20","20","20","0.487060546875","0.487060546875","0.487060546875"
"86016","21","21","21","0.435546875","0.435546875","0.435546875"
"90112","22","22","22","0.442138671875","0.442138671875","0.442138671875"
"94208","23","23","23","0.453125","0.453125","0.453125"
"98304","24","24","24","0.455810546875","0.455810546875","0.455810546875"
"102400","25","25","25","0.4423828125","0.4423828125","0.4423828125"
"106496","26","26","26","0.39892578125","0.39892578125","0.39892578125"
"110592","27","27","27","0.444580078125","0.444580078125","0.444580078125"
"114688","28","28","28","0.48681640625","0.48681640625","0.48681640625"
"118784","29","29","29","0.451171875","0.451171875","0.451171875"
"122880","30","30","30","0.568359375","0.568359375","0.568359375"
"126976","31","31","31","0.562255859375","0.562255859375","0.562255859375"
"131072","32","32","32","0.5390625","0.5390625","0.5390625"
"135168","33","33","33","0.437744140625","0.437744140625","0.437744140625"
"139264","34","34","34","0.431640625","0.431640625","0.431640625"
"143360","35","35","35","0.458740234375","0.458740234375","0.458740234375"
"147456","36","36","36","0.482177734375","0.482177734375","0.482177734375"
"151552","37","37","37","0.497314453125","0.497314453125","0.497314453125"
"155648","38","38","38","0.47021484375","0.47021484375","0.47021484375"
"159744","39","39","39","0.498046875","0.498046875","0.498046875"
"163840","40","40","40","0.541748046875","0.541748046875","0.541748046875"
"167936","41","41","41","0.583740234375","0.583740234375","0.583740234375"
"172032","42","42","42","0.5830078125","0.5830078125","0.5830078125"
"176128","43","43","43","0.499755859375","0.499755859375","0.499755859375"
"180224","44","44","44","0.50830078125","0.50830078125","0.50830078125"
"184320","45","45","45","0.509521484375","0.509521484375","0.509521484375"
"188416","46","46","46","0.500244140625","0.500244140625","0.500244140625"
"192512","47","47","47","0.478271484375","0.478271484375","0.478271484375"
"196608","48","48","48","0.552490234375","0.552490234375","0.552490234375"
"200704","49","49","49","0.530029296875","0.530029296875","0.530029296875"
"204800","50","50","50","0.529296875","0.529296875","0.529296875"
"208896","51","51","51","0.54248046875","0.54248046875","0.54248046875"
"212992","52","52","52","0.587890625","0.587890625","0.587890625"
"217088","53","53","53","0.571533203125","0.571533203125","0.571533203125"
"221184","54","54","54","0.60009765625","0.60009765625","0.60009765625"
"225280","55","55","55","0.523193359375","0.523193359375","0.523193359375"
"229376","56","56","56","0.55908203125","0.55908203125","0.55908203125"
"233472","57","57","57","0.5859375","0.5859375","0.5859375"
"237568","58","58","58","0.56689453125","0.56689453125","0.56689453125"
"241664","59","59","59","0.5390625","0.5390625","0.5390625"
"245760","60","60","60","0.468994140625","0.468994140625","0.468994140625"
"249856","61","61","61","0.438232421875","0.438232421875","0.438232421875"
"253952","62","62","62","0.5361328125","0.5361328125","0.5361328125"
"258048","63","63","63","0.59814453125","0.59814453125","0.59814453125"
"262144","64","64","64","0.60986328125","0.60986328125","0.60986328125"
"266240","65","65","65","0.578125","0.578125","0.578125"
"270336","66","66","66","0.564697265625","0.564697265625","0.564697265625"
"274432","67","67","67","0.642578125","0.642578125","0.642578125"
