"env_step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.41064453125","0.41064453125","0.41064453125"
"12288","3","3","3","0.431396484375","0.431396484375","0.431396484375"
"16384","4","4","4","0.45263671875","0.45263671875","0.45263671875"
"20480","5","5","5","0.415283203125","0.415283203125","0.415283203125"
"24576","6","6","6","0.449951171875","0.449951171875","0.449951171875"
"28672","7","7","7","0.453369140625","0.453369140625","0.453369140625"
"32768","8","8","8","0.443359375","0.443359375","0.443359375"
"36864","9","9","9","0.4580078125","0.4580078125","0.4580078125"
"40960","10","10","10","0.44580078125","0.44580078125","0.44580078125"
"45056","11","11","11","0.466064453125","0.466064453125","0.466064453125"
"49152","12","12","12","0.430908203125","0.430908203125","0.430908203125"
"53248","13","13","13","0.4140625","0.4140625","0.4140625"
"57344","14","14","14","0.458251953125","0.458251953125","0.458251953125"
"61440","15","15","15","0.44140625","0.44140625","0.44140625"
"65536","16","16","16","0.47265625","0.47265625","0.47265625"
"69632","17","17","17","0.424560546875","0.424560546875","0.424560546875"
"73728","18","18","18","0.498779296875","0.498779296875","0.498779296875"
"77824","19","19","19","0.4052734375","0.4052734375","0.4052734375"
"81920","20","20","20","0.47998046875","0.47998046875","0.47998046875"
"86016","21","21","21","0.503173828125","0.503173828125","0.503173828125"
"90112","22","22","22","0.458984375","0.458984375","0.458984375"
"94208","23","23","23","0.45703125","0.45703125","0.45703125"
"98304","24","24","24","0.45703125","0.45703125","0.45703125"
"102400","25","25","25","0.4326171875","0.4326171875","0.4326171875"
"106496","26","26","26","0.427490234375","0.427490234375","0.427490234375"
"110592","27","27","27","0.45263671875","0.45263671875","0.45263671875"
"114688","28","28","28","0.466064453125","0.466064453125","0.466064453125"
"118784","29","29","29","0.46875","0.46875","0.46875"
"122880","30","30","30","0.501708984375","0.501708984375","0.501708984375"
"126976","31","31","31","0.609375","0.609375","0.609375"
"131072","32","32","32","0.48046875","0.48046875","0.48046875"
"135168","33","33","33","0.494384765625","0.494384765625","0.494384765625"
"139264","34","34","34","0.45703125","0.45703125","0.45703125"
"143360","35","35","35","0.482421875","0.482421875","0.482421875"
"147456","36","36","36","0.457275390625","0.457275390625","0.457275390625"
"151552","37","37","37","0.41357421875","0.41357421875","0.41357421875"
"155648","38","38","38","0.46044921875","0.46044921875","0.46044921875"
"159744","39","39","39","0.4697265625","0.4697265625","0.4697265625"
"163840","40","40","40","0.568603515625","0.568603515625","0.568603515625"
"167936","41","41","41","0.499267578125","0.499267578125","0.499267578125"
"172032","42","42","42","0.609130859375","0.609130859375","0.609130859375"
"176128","43","43","43","0.577880859375","0.577880859375","0.577880859375"
"180224","44","44","44","0.571533203125","0.571533203125","0.571533203125"
"184320","45","45","45","0.5009765625","0.5009765625","0.5009765625"
"188416","46","46","46","0.541015625","0.541015625","0.541015625"
"192512","47","47","47","0.457763671875","0.457763671875","0.457763671875"
"196608","48","48","48","0.589599609375","0.589599609375","0.589599609375"
"200704","49","49","49","0.474365234375","0.474365234375","0.474365234375"
"204800","50","50","50","0.518798828125","0.518798828125","0.518798828125"
"208896","51","51","51","0.55712890625","0.55712890625","0.55712890625"
"212992","52","52","52","0.53271484375","0.53271484375","0.53271484375"
"217088","53","53","53","0.5556640625","0.5556640625","0.5556640625"
"221184","54","54","54","0.495361328125","0.495361328125","0.495361328125"
"225280","55","55","55","0.53564453125","0.53564453125","0.53564453125"
"229376","56","56","56","0.524658203125","0.524658203125","0.524658203125"
"233472","57","57","57","0.538818359375","0.538818359375","0.538818359375"
"237568","58","58","58","0.571533203125","0.571533203125","0.571533203125"
"241664","59","59","59","0.6298828125","0.6298828125","0.6298828125"
"245760","60","60","60","0.5595703125","0.5595703125","0.5595703125"
"249856","61","61","61","0.518798828125","0.518798828125","0.518798828125"
"253952","62","62","62","0.517333984375","0.517333984375","0.517333984375"
"258048","63","63","63","0.583740234375","0.583740234375","0.583740234375"
"262144","64","64","64","0.61279296875","0.61279296875","0.61279296875"
"266240","65","65","65","0.5625","0.5625","0.5625"
"270336","66","66","66","0.766845703125","0.766845703125","0.766845703125"
"274432","67","67","67","0.72412109375","0.72412109375","0.72412109375"
