env_step,pqn_Breakout-MinAtar - returned_episode_returns
4096,0.1455078125
8192,0.4130859375
12288,0.432373046875
16384,0.45654296875
20480,0.4033203125
24576,0.429443359375
28672,0.448486328125
32768,0.443603515625
36864,0.454345703125
40960,0.430908203125
45056,0.4443359375
49152,0.42529296875
53248,0.399169921875
57344,0.484375
61440,0.46337890625
65536,0.4228515625
69632,0.4697265625
73728,0.49072265625
77824,0.39013671875
81920,0.488037109375
86016,0.483154296875
90112,0.44482421875
94208,0.50537109375
98304,0.43359375
102400,0.440185546875
106496,0.440185546875
110592,0.52734375
114688,0.5224609375
118784,0.486328125
122880,0.4990234375
126976,0.557373046875
131072,0.5673828125
135168,0.482666015625
139264,0.464599609375
143360,0.51220703125
147456,0.553955078125
151552,0.479736328125
155648,0.53125
159744,0.48828125
163840,0.580078125
167936,0.644775390625
172032,0.581787109375
176128,0.576416015625
180224,0.571044921875
184320,0.528564453125
188416,0.504638671875
192512,0.555908203125
196608,0.65234375
200704,0.54638671875
204800,0.59765625
208896,0.603271484375
212992,0.504150390625
217088,0.580322265625
221184,0.66796875
225280,0.54296875
229376,0.568603515625
233472,0.57373046875
237568,0.66943359375
241664,0.603271484375
245760,0.573974609375
249856,0.56591796875
253952,0.550048828125
258048,0.624267578125
262144,0.580810546875
266240,0.562744140625
270336,0.604736328125
274432,0.662841796875
278528,0.611572265625
282624,0.605712890625
286720,0.5263671875
290816,0.603759765625
294912,0.694091796875
299008,0.647216796875
303104,0.69775390625
307200,0.619384765625
311296,0.6201171875
315392,0.618408203125
319488,0.61865234375
323584,0.71044921875
327680,0.68359375
331776,0.793701171875
335872,0.7763671875
339968,0.757568359375
344064,0.68798828125
348160,0.70703125
352256,0.702880859375
356352,0.701904296875
360448,0.719482421875
364544,0.707763671875
368640,0.74267578125
372736,0.696533203125
376832,0.74951171875
380928,0.689453125
385024,0.7080078125
389120,0.8095703125
393216,0.741943359375
397312,0.70556640625
401408,0.745361328125
405504,0.753662109375
409600,0.92333984375
413696,0.735107421875
417792,0.701416015625
421888,0.87646484375
425984,0.69775390625
430080,0.7978515625
434176,0.90673828125
438272,0.818359375
442368,0.799072265625
446464,0.900634765625
450560,0.85009765625
454656,0.8525390625
458752,0.806884765625
462848,0.85107421875
466944,0.781982421875
471040,0.823974609375
475136,0.865966796875
479232,0.845947265625
483328,0.95361328125
487424,0.953369140625
491520,0.873046875
495616,0.879150390625
499712,1.123779296875
503808,0.977294921875
507904,0.893310546875
512000,0.856201171875
516096,0.923583984375
520192,0.99169921875
524288,0.911865234375
528384,1.132568359375
532480,0.87548828125
536576,0.93701171875
540672,1.02197265625
544768,1.03857421875
548864,0.873291015625
552960,0.997802734375
557056,0.84375
561152,0.9111328125
565248,1.054931640625
569344,0.995849609375
573440,1.069580078125
577536,1.1318359375
581632,1.0595703125
585728,1.10888671875
589824,1.11865234375
593920,1.112060546875
598016,1.054931640625
602112,1.10302734375
606208,1.06298828125
610304,1.108642578125
614400,1.098876953125
618496,1.199462890625
622592,1.212646484375
626688,1.278564453125
630784,1.0673828125
634880,1.08935546875
638976,1.167236328125
643072,1.223876953125
647168,1.19580078125
651264,1.141357421875
655360,1.175048828125
659456,1.15234375
663552,1.392578125
667648,1.2451171875
671744,1.193115234375
675840,1.12548828125
679936,1.33837890625
684032,1.230712890625
688128,1.323974609375
692224,1.267822265625
696320,1.10546875
700416,1.51611328125
704512,1.25390625
708608,1.369384765625
712704,1.24560546875
716800,1.2294921875
720896,1.290283203125
724992,1.183837890625
729088,1.342529296875
733184,1.42822265625
737280,1.286376953125
741376,1.2939453125
745472,1.177978515625
749568,1.233154296875
