"env_step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"532480","130","130","130","5.493896484375","5.493896484375","5.493896484375"
"536576","131","131","131","5.271240234375","5.271240234375","5.271240234375"
"540672","132","132","132","5.840087890625","5.840087890625","5.840087890625"
"544768","133","133","133","5.84130859375","5.84130859375","5.84130859375"
"548864","134","134","134","5.83154296875","5.83154296875","5.83154296875"
"552960","135","135","135","6.12060546875","6.12060546875","6.12060546875"
"557056","136","136","136","6.142578125","6.142578125","6.142578125"
"561152","137","137","137","6.639892578125","6.639892578125","6.639892578125"
"565248","138","138","138","7.21533203125","7.21533203125","7.21533203125"
"569344","139","139","139","6.377685546875","6.377685546875","6.377685546875"
"573440","140","140","140","6.170166015625","6.170166015625","6.170166015625"
"577536","141","141","141","6.5","6.5","6.5"
"581632","142","142","142","7.035400390625","7.035400390625","7.035400390625"
"585728","143","143","143","6.92236328125","6.92236328125","6.92236328125"
"589824","144","144","144","6.52490234375","6.52490234375","6.52490234375"
"593920","145","145","145","6.266845703125","6.266845703125","6.266845703125"
"598016","146","146","146","6.249755859375","6.249755859375","6.249755859375"
"602112","147","147","147","6.583984375","6.583984375","6.583984375"
"606208","148","148","148","5.942626953125","5.942626953125","5.942626953125"
"610304","149","149","149","5.851806640625","5.851806640625","5.851806640625"
"614400","150","150","150","6.233154296875","6.233154296875","6.233154296875"
"618496","151","151","151","6.87939453125","6.87939453125","6.87939453125"
"622592","152","152","152","7.01611328125","7.01611328125","7.01611328125"
"626688","153","153","153","7.5986328125","7.5986328125","7.5986328125"
"630784","154","154","154","7.745361328125","7.745361328125","7.745361328125"
"634880","155","155","155","6.8349609375","6.8349609375","6.8349609375"
"638976","156","156","156","7.2607421875","7.2607421875","7.2607421875"
"643072","157","157","157","7.4072265625","7.4072265625","7.4072265625"
"647168","158","158","158","7.469482421875","7.469482421875","7.469482421875"
"651264","159","159","159","7.04736328125","7.04736328125","7.04736328125"
"655360","160","160","160","6.580810546875","6.580810546875","6.580810546875"
"659456","161","161","161","6.83984375","6.83984375","6.83984375"
"663552","162","162","162","7.2060546875","7.2060546875","7.2060546875"
"667648","163","163","163","7.78662109375","7.78662109375","7.78662109375"
"671744","164","164","164","7.8818359375","7.8818359375","7.8818359375"
"675840","165","165","165","7.929443359375","7.929443359375","7.929443359375"
"679936","166","166","166","7.8740234375","7.8740234375","7.8740234375"
"684032","167","167","167","8.109130859375","8.109130859375","8.109130859375"
"688128","168","168","168","8.460205078125","8.460205078125","8.460205078125"
"692224","169","169","169","8.577392578125","8.577392578125","8.577392578125"
"696320","170","170","170","8.572265625","8.572265625","8.572265625"
"700416","171","171","171","8.501953125","8.501953125","8.501953125"
"704512","172","172","172","8.263671875","8.263671875","8.263671875"
"708608","173","173","173","8.154541015625","8.154541015625","8.154541015625"
"712704","174","174","174","8.2978515625","8.2978515625","8.2978515625"
"716800","175","175","175","8.12890625","8.12890625","8.12890625"
"720896","176","176","176","7.62109375","7.62109375","7.62109375"
"724992","177","177","177","7.460693359375","7.460693359375","7.460693359375"
"729088","178","178","178","7.416015625","7.416015625","7.416015625"
"733184","179","179","179","7.4755859375","7.4755859375","7.4755859375"
"737280","180","180","180","7.39404296875","7.39404296875","7.39404296875"
"741376","181","181","181","7.568115234375","7.568115234375","7.568115234375"
"745472","182","182","182","7.08935546875","7.08935546875","7.08935546875"
"749568","183","183","183","7.13525390625","7.13525390625","7.13525390625"
"753664","184","184","184","7.455322265625","7.455322265625","7.455322265625"
"757760","185","185","185","8.034912109375","8.034912109375","8.034912109375"
"761856","186","186","186","8.013427734375","8.013427734375","8.013427734375"
"765952","187","187","187","8.090576171875","8.090576171875","8.090576171875"
"770048","188","188","188","8.196044921875","8.196044921875","8.196044921875"
"774144","189","189","189","8.35009765625","8.35009765625","8.35009765625"
"778240","190","190","190","8.346435546875","8.346435546875","8.346435546875"
"782336","191","191","191","8.529052734375","8.529052734375","8.529052734375"
"786432","192","192","192","8.3017578125","8.3017578125","8.3017578125"
"790528","193","193","193","8.190673828125","8.190673828125","8.190673828125"
"794624","194","194","194","8.2548828125","8.2548828125","8.2548828125"
"798720","195","195","195","8.19482421875","8.19482421875","8.19482421875"
"802816","196","196","196","8.39990234375","8.39990234375","8.39990234375"
"806912","197","197","197","7.674072265625","7.674072265625","7.674072265625"
"811008","198","198","198","7.460693359375","7.460693359375","7.460693359375"
"815104","199","199","199","7.775146484375","7.775146484375","7.775146484375"
"819200","200","200","200","8.309814453125","8.309814453125","8.309814453125"
"823296","201","201","201","8.5791015625","8.5791015625","8.5791015625"
"827392","202","202","202","8.617919921875","8.617919921875","8.617919921875"
"831488","203","203","203","9.068359375","9.068359375","9.068359375"
"835584","204","204","204","8.53515625","8.53515625","8.53515625"
"839680","205","205","205","8.064697265625","8.064697265625","8.064697265625"
"843776","206","206","206","8.884521484375","8.884521484375","8.884521484375"
"847872","207","207","207","9.069580078125","9.069580078125","9.069580078125"
"851968","208","208","208","9.16162109375","9.16162109375","9.16162109375"
"856064","209","209","209","9.43115234375","9.43115234375","9.43115234375"
"860160","210","210","210","9.323974609375","9.323974609375","9.323974609375"
"864256","211","211","211","9.55908203125","9.55908203125","9.55908203125"
"868352","212","212","212","9.68017578125","9.68017578125","9.68017578125"
"872448","213","213","213","9.67236328125","9.67236328125","9.67236328125"
"876544","214","214","214","9.804443359375","9.804443359375","9.804443359375"
"880640","215","215","215","9.272705078125","9.272705078125","9.272705078125"
"884736","216","216","216","8.885498046875","8.885498046875","8.885498046875"
"888832","217","217","217","9.1162109375","9.1162109375","9.1162109375"
"892928","218","218","218","9.055908203125","9.055908203125","9.055908203125"
"897024","219","219","219","8.680419921875","8.680419921875","8.680419921875"
"901120","220","220","220","8.798095703125","8.798095703125","8.798095703125"
"905216","221","221","221","9.050048828125","9.050048828125","9.050048828125"
"909312","222","222","222","9.458984375","9.458984375","9.458984375"
"913408","223","223","223","9.99853515625","9.99853515625","9.99853515625"
"917504","224","224","224","10.48876953125","10.48876953125","10.48876953125"
"921600","225","225","225","10.74560546875","10.74560546875","10.74560546875"
"925696","226","226","226","10.904052734375","10.904052734375","10.904052734375"
"929792","227","227","227","11.102294921875","11.102294921875","11.102294921875"
