"env_step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.752685546875","1.752685546875","1.752685546875"
"12288","3","3","3","2.88427734375","2.88427734375","2.88427734375"
"16384","4","4","4","3.561767578125","3.561767578125","3.561767578125"
"20480","5","5","5","4.186767578125","4.186767578125","4.186767578125"
"24576","6","6","6","4.724365234375","4.724365234375","4.724365234375"
"28672","7","7","7","4.453857421875","4.453857421875","4.453857421875"
"32768","8","8","8","4.318115234375","4.318115234375","4.318115234375"
"36864","9","9","9","4.087646484375","4.087646484375","4.087646484375"
"40960","10","10","10","4.05908203125","4.05908203125","4.05908203125"
"45056","11","11","11","4.1318359375","4.1318359375","4.1318359375"
"49152","12","12","12","4.156005859375","4.156005859375","4.156005859375"
"53248","13","13","13","4.416748046875","4.416748046875","4.416748046875"
"57344","14","14","14","4.3310546875","4.3310546875","4.3310546875"
"61440","15","15","15","4.18603515625","4.18603515625","4.18603515625"
"65536","16","16","16","4.40625","4.40625","4.40625"
"69632","17","17","17","4.164306640625","4.164306640625","4.164306640625"
"73728","18","18","18","4.056884765625","4.056884765625","4.056884765625"
"77824","19","19","19","4.142822265625","4.142822265625","4.142822265625"
"81920","20","20","20","4.2373046875","4.2373046875","4.2373046875"
"86016","21","21","21","4.23828125","4.23828125","4.23828125"
"90112","22","22","22","4.103271484375","4.103271484375","4.103271484375"
"94208","23","23","23","3.970947265625","3.970947265625","3.970947265625"
"98304","24","24","24","3.960205078125","3.960205078125","3.960205078125"
"102400","25","25","25","3.99462890625","3.99462890625","3.99462890625"
"106496","26","26","26","3.79150390625","3.79150390625","3.79150390625"
"110592","27","27","27","4.15869140625","4.15869140625","4.15869140625"
"114688","28","28","28","4.52685546875","4.52685546875","4.52685546875"
"118784","29","29","29","4.29638671875","4.29638671875","4.29638671875"
"122880","30","30","30","4.561767578125","4.561767578125","4.561767578125"
"126976","31","31","31","4.781982421875","4.781982421875","4.781982421875"
"131072","32","32","32","4.733154296875","4.733154296875","4.733154296875"
"135168","33","33","33","4.541015625","4.541015625","4.541015625"
"139264","34","34","34","4.523193359375","4.523193359375","4.523193359375"
"143360","35","35","35","3.9970703125","3.9970703125","3.9970703125"
"147456","36","36","36","4.483154296875","4.483154296875","4.483154296875"
"151552","37","37","37","4.35302734375","4.35302734375","4.35302734375"
"155648","38","38","38","4.554443359375","4.554443359375","4.554443359375"
"159744","39","39","39","4.29833984375","4.29833984375","4.29833984375"
"163840","40","40","40","4.564453125","4.564453125","4.564453125"
"167936","41","41","41","5.02880859375","5.02880859375","5.02880859375"
"172032","42","42","42","4.5419921875","4.5419921875","4.5419921875"
"176128","43","43","43","4.846923828125","4.846923828125","4.846923828125"
"180224","44","44","44","5.079833984375","5.079833984375","5.079833984375"
"184320","45","45","45","4.76416015625","4.76416015625","4.76416015625"
"188416","46","46","46","4.822265625","4.822265625","4.822265625"
"192512","47","47","47","4.869384765625","4.869384765625","4.869384765625"
"196608","48","48","48","5.063232421875","5.063232421875","5.063232421875"
"200704","49","49","49","5.013427734375","5.013427734375","5.013427734375"
"204800","50","50","50","4.661376953125","4.661376953125","4.661376953125"
"208896","51","51","51","4.961181640625","4.961181640625","4.961181640625"
"212992","52","52","52","5.135986328125","5.135986328125","5.135986328125"
"217088","53","53","53","5.1611328125","5.1611328125","5.1611328125"
"221184","54","54","54","5.202880859375","5.202880859375","5.202880859375"
"225280","55","55","55","5.263427734375","5.263427734375","5.263427734375"
"229376","56","56","56","5.54638671875","5.54638671875","5.54638671875"
"233472","57","57","57","4.924072265625","4.924072265625","4.924072265625"
"237568","58","58","58","5.0947265625","5.0947265625","5.0947265625"
"241664","59","59","59","5.35302734375","5.35302734375","5.35302734375"
"245760","60","60","60","5.217041015625","5.217041015625","5.217041015625"
"249856","61","61","61","5.525146484375","5.525146484375","5.525146484375"
"253952","62","62","62","5.43798828125","5.43798828125","5.43798828125"
"258048","63","63","63","5.387939453125","5.387939453125","5.387939453125"
"262144","64","64","64","5.325439453125","5.325439453125","5.325439453125"
"266240","65","65","65","5.185302734375","5.185302734375","5.185302734375"
"270336","66","66","66","5.404541015625","5.404541015625","5.404541015625"
"274432","67","67","67","5.228515625","5.228515625","5.228515625"
"278528","68","68","68","5.0625","5.0625","5.0625"
"282624","69","69","69","5.137939453125","5.137939453125","5.137939453125"
"286720","70","70","70","4.9189453125","4.9189453125","4.9189453125"
"290816","71","71","71","5.008056640625","5.008056640625","5.008056640625"
"294912","72","72","72","5.244873046875","5.244873046875","5.244873046875"
"299008","73","73","73","5.352294921875","5.352294921875","5.352294921875"
"303104","74","74","74","5.386474609375","5.386474609375","5.386474609375"
"307200","75","75","75","5.323486328125","5.323486328125","5.323486328125"
"311296","76","76","76","5.13037109375","5.13037109375","5.13037109375"
"315392","77","77","77","5.248046875","5.248046875","5.248046875"
"319488","78","78","78","5.33251953125","5.33251953125","5.33251953125"
"323584","79","79","79","5.41015625","5.41015625","5.41015625"
"327680","80","80","80","5.5966796875","5.5966796875","5.5966796875"
"331776","81","81","81","5.5439453125","5.5439453125","5.5439453125"
"335872","82","82","82","5.244384765625","5.244384765625","5.244384765625"
"339968","83","83","83","5.19091796875","5.19091796875","5.19091796875"
"344064","84","84","84","5.264892578125","5.264892578125","5.264892578125"
"348160","85","85","85","5.175537109375","5.175537109375","5.175537109375"
"352256","86","86","86","4.982666015625","4.982666015625","4.982666015625"
"356352","87","87","87","5.382568359375","5.382568359375","5.382568359375"
"360448","88","88","88","5.564208984375","5.564208984375","5.564208984375"
"364544","89","89","89","5.0234375","5.0234375","5.0234375"
"368640","90","90","90","4.669189453125","4.669189453125","4.669189453125"
"372736","91","91","91","4.779541015625","4.779541015625","4.779541015625"
"376832","92","92","92","5.379638671875","5.379638671875","5.379638671875"
"380928","93","93","93","5.4833984375","5.4833984375","5.4833984375"
"385024","94","94","94","5.137939453125","5.137939453125","5.137939453125"
"389120","95","95","95","5.416015625","5.416015625","5.416015625"
"393216","96","96","96","5.817138671875","5.817138671875","5.817138671875"
"397312","97","97","97","6.09765625","6.09765625","6.09765625"
"401408","98","98","98","6.537353515625","6.537353515625","6.537353515625"
"405504","99","99","99","6.5791015625","6.5791015625","6.5791015625"
"409600","100","100","100","6.718505859375","6.718505859375","6.718505859375"
"413696","101","101","101","6.563720703125","6.563720703125","6.563720703125"
"417792","102","102","102","6.1357421875","6.1357421875","6.1357421875"
"421888","103","103","103","6.36181640625","6.36181640625","6.36181640625"
"425984","104","104","104","6.279541015625","6.279541015625","6.279541015625"
"430080","105","105","105","5.93701171875","5.93701171875","5.93701171875"
"434176","106","106","106","5.695556640625","5.695556640625","5.695556640625"
"438272","107","107","107","6.007568359375","6.007568359375","6.007568359375"
"442368","108","108","108","5.851806640625","5.851806640625","5.851806640625"
"446464","109","109","109","5.201171875","5.201171875","5.201171875"
"450560","110","110","110","5.178466796875","5.178466796875","5.178466796875"
"454656","111","111","111","5.4892578125","5.4892578125","5.4892578125"
"458752","112","112","112","5.90185546875","5.90185546875","5.90185546875"
"462848","113","113","113","6.09228515625","6.09228515625","6.09228515625"
"466944","114","114","114","6.00244140625","6.00244140625","6.00244140625"
"471040","115","115","115","6.16748046875","6.16748046875","6.16748046875"
"475136","116","116","116","6.15478515625","6.15478515625","6.15478515625"
"479232","117","117","117","6.17236328125","6.17236328125","6.17236328125"
"483328","118","118","118","6.017333984375","6.017333984375","6.017333984375"
"487424","119","119","119","5.9892578125","5.9892578125","5.9892578125"
"491520","120","120","120","5.822265625","5.822265625","5.822265625"
"495616","121","121","121","6.067626953125","6.067626953125","6.067626953125"
"499712","122","122","122","6.184326171875","6.184326171875","6.184326171875"
"503808","123","123","123","6.143310546875","6.143310546875","6.143310546875"
"507904","124","124","124","6.2431640625","6.2431640625","6.2431640625"
"512000","125","125","125","6.595458984375","6.595458984375","6.595458984375"
"516096","126","126","126","6.572509765625","6.572509765625","6.572509765625"
"520192","127","127","127","6.20263671875","6.20263671875","6.20263671875"
"524288","128","128","128","5.78955078125","5.78955078125","5.78955078125"
"528384","129","129","129","5.66455078125","5.66455078125","5.66455078125"
"532480","130","130","130","5.3837890625","5.3837890625","5.3837890625"
