"env_step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - _step__MAX","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MIN","SpaceInvaders-MinAtar_Transfer_From_Freeway-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.30810546875","0.30810546875","0.30810546875"
"8192","2","2","2","1.752685546875","1.752685546875","1.752685546875"
"12288","3","3","3","2.88427734375","2.88427734375","2.88427734375"
"16384","4","4","4","3.561767578125","3.561767578125","3.561767578125"
"20480","5","5","5","4.186767578125","4.186767578125","4.186767578125"
"24576","6","6","6","4.724365234375","4.724365234375","4.724365234375"
"28672","7","7","7","4.459716796875","4.459716796875","4.459716796875"
"32768","8","8","8","4.353271484375","4.353271484375","4.353271484375"
"36864","9","9","9","4.130615234375","4.130615234375","4.130615234375"
"40960","10","10","10","4.133056640625","4.133056640625","4.133056640625"
"45056","11","11","11","4.140625","4.140625","4.140625"
"49152","12","12","12","4.1796875","4.1796875","4.1796875"
"53248","13","13","13","4.390380859375","4.390380859375","4.390380859375"
"57344","14","14","14","4.20703125","4.20703125","4.20703125"
"61440","15","15","15","4.170654296875","4.170654296875","4.170654296875"
"65536","16","16","16","4.160888671875","4.160888671875","4.160888671875"
"69632","17","17","17","4.18798828125","4.18798828125","4.18798828125"
"73728","18","18","18","4.209228515625","4.209228515625","4.209228515625"
"77824","19","19","19","4.0615234375","4.0615234375","4.0615234375"
"81920","20","20","20","4.094482421875","4.094482421875","4.094482421875"
"86016","21","21","21","3.84228515625","3.84228515625","3.84228515625"
"90112","22","22","22","3.899658203125","3.899658203125","3.899658203125"
"94208","23","23","23","4.246826171875","4.246826171875","4.246826171875"
"98304","24","24","24","4.570068359375","4.570068359375","4.570068359375"
"102400","25","25","25","4.19140625","4.19140625","4.19140625"
"106496","26","26","26","4.105224609375","4.105224609375","4.105224609375"
"110592","27","27","27","4.222412109375","4.222412109375","4.222412109375"
"114688","28","28","28","4.145263671875","4.145263671875","4.145263671875"
"118784","29","29","29","4.282470703125","4.282470703125","4.282470703125"
"122880","30","30","30","4.58203125","4.58203125","4.58203125"
"126976","31","31","31","4.09033203125","4.09033203125","4.09033203125"
"131072","32","32","32","4.067138671875","4.067138671875","4.067138671875"
"135168","33","33","33","4.32373046875","4.32373046875","4.32373046875"
"139264","34","34","34","4.281494140625","4.281494140625","4.281494140625"
"143360","35","35","35","4.323974609375","4.323974609375","4.323974609375"
"147456","36","36","36","4.574462890625","4.574462890625","4.574462890625"
"151552","37","37","37","4.669921875","4.669921875","4.669921875"
"155648","38","38","38","4.765625","4.765625","4.765625"
"159744","39","39","39","5.009765625","5.009765625","5.009765625"
"163840","40","40","40","5.08154296875","5.08154296875","5.08154296875"
"167936","41","41","41","5.09326171875","5.09326171875","5.09326171875"
"172032","42","42","42","5.148681640625","5.148681640625","5.148681640625"
"176128","43","43","43","5.140625","5.140625","5.140625"
"180224","44","44","44","4.47314453125","4.47314453125","4.47314453125"
"184320","45","45","45","4.349853515625","4.349853515625","4.349853515625"
"188416","46","46","46","4.31298828125","4.31298828125","4.31298828125"
"192512","47","47","47","4.3974609375","4.3974609375","4.3974609375"
"196608","48","48","48","4.552490234375","4.552490234375","4.552490234375"
"200704","49","49","49","4.444580078125","4.444580078125","4.444580078125"
"204800","50","50","50","4.509765625","4.509765625","4.509765625"
"208896","51","51","51","4.764892578125","4.764892578125","4.764892578125"
"212992","52","52","52","5.137939453125","5.137939453125","5.137939453125"
"217088","53","53","53","5.375","5.375","5.375"
"221184","54","54","54","5.140625","5.140625","5.140625"
"225280","55","55","55","5.08935546875","5.08935546875","5.08935546875"
"229376","56","56","56","5.046630859375","5.046630859375","5.046630859375"
"233472","57","57","57","5.036865234375","5.036865234375","5.036865234375"
"237568","58","58","58","5.349609375","5.349609375","5.349609375"
"241664","59","59","59","5.647216796875","5.647216796875","5.647216796875"
"245760","60","60","60","5.0595703125","5.0595703125","5.0595703125"
"249856","61","61","61","5.145751953125","5.145751953125","5.145751953125"
"253952","62","62","62","5.061279296875","5.061279296875","5.061279296875"
"258048","63","63","63","4.6845703125","4.6845703125","4.6845703125"
"262144","64","64","64","4.882568359375","4.882568359375","4.882568359375"
"266240","65","65","65","5.13525390625","5.13525390625","5.13525390625"
"270336","66","66","66","4.990478515625","4.990478515625","4.990478515625"
"274432","67","67","67","5.0576171875","5.0576171875","5.0576171875"
"278528","68","68","68","5.1904296875","5.1904296875","5.1904296875"
"282624","69","69","69","5.34619140625","5.34619140625","5.34619140625"
"286720","70","70","70","5.5732421875","5.5732421875","5.5732421875"
"290816","71","71","71","5.59228515625","5.59228515625","5.59228515625"
"294912","72","72","72","5.332275390625","5.332275390625","5.332275390625"
"299008","73","73","73","5.305908203125","5.305908203125","5.305908203125"
"303104","74","74","74","5.353515625","5.353515625","5.353515625"
"307200","75","75","75","5.45458984375","5.45458984375","5.45458984375"
"311296","76","76","76","5.67724609375","5.67724609375","5.67724609375"
"315392","77","77","77","5.667724609375","5.667724609375","5.667724609375"
"319488","78","78","78","5.583984375","5.583984375","5.583984375"
"323584","79","79","79","5.91357421875","5.91357421875","5.91357421875"
"327680","80","80","80","5.82568359375","5.82568359375","5.82568359375"
"331776","81","81","81","5.6279296875","5.6279296875","5.6279296875"
"335872","82","82","82","5.468017578125","5.468017578125","5.468017578125"
"339968","83","83","83","5.078125","5.078125","5.078125"
"344064","84","84","84","5.542724609375","5.542724609375","5.542724609375"
"348160","85","85","85","5.1982421875","5.1982421875","5.1982421875"
"352256","86","86","86","5.061279296875","5.061279296875","5.061279296875"
"356352","87","87","87","5.083984375","5.083984375","5.083984375"
"360448","88","88","88","5.262451171875","5.262451171875","5.262451171875"
"364544","89","89","89","5.170166015625","5.170166015625","5.170166015625"
"368640","90","90","90","5.29833984375","5.29833984375","5.29833984375"
"372736","91","91","91","5.6884765625","5.6884765625","5.6884765625"
"376832","92","92","92","5.8076171875","5.8076171875","5.8076171875"
"380928","93","93","93","5.62109375","5.62109375","5.62109375"
"385024","94","94","94","5.463134765625","5.463134765625","5.463134765625"
"389120","95","95","95","5.40966796875","5.40966796875","5.40966796875"
"393216","96","96","96","5.5986328125","5.5986328125","5.5986328125"
"397312","97","97","97","5.677734375","5.677734375","5.677734375"
"401408","98","98","98","5.32373046875","5.32373046875","5.32373046875"
"405504","99","99","99","5.061767578125","5.061767578125","5.061767578125"
"409600","100","100","100","4.897705078125","4.897705078125","4.897705078125"
"413696","101","101","101","4.75390625","4.75390625","4.75390625"
"417792","102","102","102","5.472412109375","5.472412109375","5.472412109375"
"421888","103","103","103","5.61181640625","5.61181640625","5.61181640625"
"425984","104","104","104","5.8857421875","5.8857421875","5.8857421875"
"430080","105","105","105","6.337646484375","6.337646484375","6.337646484375"
"434176","106","106","106","6.287109375","6.287109375","6.287109375"
"438272","107","107","107","6.404541015625","6.404541015625","6.404541015625"
"442368","108","108","108","5.9951171875","5.9951171875","5.9951171875"
"446464","109","109","109","5.302734375","5.302734375","5.302734375"
"450560","110","110","110","5.158935546875","5.158935546875","5.158935546875"
"454656","111","111","111","5.287109375","5.287109375","5.287109375"
"458752","112","112","112","5.728759765625","5.728759765625","5.728759765625"
"462848","113","113","113","6.0185546875","6.0185546875","6.0185546875"
"466944","114","114","114","5.970947265625","5.970947265625","5.970947265625"
"471040","115","115","115","6.015625","6.015625","6.015625"
"475136","116","116","116","6.21533203125","6.21533203125","6.21533203125"
"479232","117","117","117","6.244873046875","6.244873046875","6.244873046875"
"483328","118","118","118","6.348388671875","6.348388671875","6.348388671875"
"487424","119","119","119","5.675537109375","5.675537109375","5.675537109375"
"491520","120","120","120","5.933837890625","5.933837890625","5.933837890625"
"495616","121","121","121","6.220458984375","6.220458984375","6.220458984375"
"499712","122","122","122","5.870361328125","5.870361328125","5.870361328125"
"503808","123","123","123","5.259765625","5.259765625","5.259765625"
"507904","124","124","124","5.55078125","5.55078125","5.55078125"
"512000","125","125","125","5.688232421875","5.688232421875","5.688232421875"
"516096","126","126","126","5.921875","5.921875","5.921875"
"520192","127","127","127","6.156005859375","6.156005859375","6.156005859375"
"524288","128","128","128","5.990234375","5.990234375","5.990234375"
"528384","129","129","129","5.93798828125","5.93798828125","5.93798828125"
"532480","130","130","130","6.121337890625","6.121337890625","6.121337890625"
"536576","131","131","131","6.2373046875","6.2373046875","6.2373046875"
