"env_step","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.173828125","0.173828125","0.173828125"
"16384","4","4","4","0.36962890625","0.36962890625","0.36962890625"
"20480","5","5","5","0.401611328125","0.401611328125","0.401611328125"
"24576","6","6","6","0.519775390625","0.519775390625","0.519775390625"
"28672","7","7","7","0.483642578125","0.483642578125","0.483642578125"
"32768","8","8","8","0.517333984375","0.517333984375","0.517333984375"
"36864","9","9","9","0.511474609375","0.511474609375","0.511474609375"
"40960","10","10","10","0.51953125","0.51953125","0.51953125"
"45056","11","11","11","0.593994140625","0.593994140625","0.593994140625"
"49152","12","12","12","0.556396484375","0.556396484375","0.556396484375"
"53248","13","13","13","0.54541015625","0.54541015625","0.54541015625"
"57344","14","14","14","0.515869140625","0.515869140625","0.515869140625"
"61440","15","15","15","0.5625","0.5625","0.5625"
"65536","16","16","16","0.582275390625","0.582275390625","0.582275390625"
"69632","17","17","17","0.607177734375","0.607177734375","0.607177734375"
"73728","18","18","18","0.50732421875","0.50732421875","0.50732421875"
"77824","19","19","19","0.5576171875","0.5576171875","0.5576171875"
"81920","20","20","20","0.447998046875","0.447998046875","0.447998046875"
"86016","21","21","21","0.455322265625","0.455322265625","0.455322265625"
"90112","22","22","22","0.416259765625","0.416259765625","0.416259765625"
"94208","23","23","23","0.466796875","0.466796875","0.466796875"
"98304","24","24","24","0.5068359375","0.5068359375","0.5068359375"
"102400","25","25","25","0.54638671875","0.54638671875","0.54638671875"
"106496","26","26","26","0.587890625","0.587890625","0.587890625"
"110592","27","27","27","0.531982421875","0.531982421875","0.531982421875"
"114688","28","28","28","0.520263671875","0.520263671875","0.520263671875"
"118784","29","29","29","0.5751953125","0.5751953125","0.5751953125"
"122880","30","30","30","0.53955078125","0.53955078125","0.53955078125"
"126976","31","31","31","0.48486328125","0.48486328125","0.48486328125"
"131072","32","32","32","0.447509765625","0.447509765625","0.447509765625"
"135168","33","33","33","0.41357421875","0.41357421875","0.41357421875"
"139264","34","34","34","0.458984375","0.458984375","0.458984375"
"143360","35","35","35","0.51806640625","0.51806640625","0.51806640625"
"147456","36","36","36","0.54736328125","0.54736328125","0.54736328125"
"151552","37","37","37","0.640380859375","0.640380859375","0.640380859375"
"155648","38","38","38","0.59765625","0.59765625","0.59765625"
"159744","39","39","39","0.55908203125","0.55908203125","0.55908203125"
"163840","40","40","40","0.558837890625","0.558837890625","0.558837890625"
"167936","41","41","41","0.553466796875","0.553466796875","0.553466796875"
"172032","42","42","42","0.554931640625","0.554931640625","0.554931640625"
"176128","43","43","43","0.52001953125","0.52001953125","0.52001953125"
"180224","44","44","44","0.55224609375","0.55224609375","0.55224609375"
"184320","45","45","45","0.677978515625","0.677978515625","0.677978515625"
"188416","46","46","46","0.699462890625","0.699462890625","0.699462890625"
"192512","47","47","47","0.59814453125","0.59814453125","0.59814453125"
"196608","48","48","48","0.58056640625","0.58056640625","0.58056640625"
"200704","49","49","49","0.632568359375","0.632568359375","0.632568359375"
"204800","50","50","50","0.585205078125","0.585205078125","0.585205078125"
"208896","51","51","51","0.456298828125","0.456298828125","0.456298828125"
"212992","52","52","52","0.416748046875","0.416748046875","0.416748046875"
"217088","53","53","53","0.51123046875","0.51123046875","0.51123046875"
"221184","54","54","54","0.5224609375","0.5224609375","0.5224609375"
"225280","55","55","55","0.664794921875","0.664794921875","0.664794921875"
"229376","56","56","56","0.6640625","0.6640625","0.6640625"
"233472","57","57","57","0.644287109375","0.644287109375","0.644287109375"
"237568","58","58","58","0.455078125","0.455078125","0.455078125"
"241664","59","59","59","0.403076171875","0.403076171875","0.403076171875"
"245760","60","60","60","0.504638671875","0.504638671875","0.504638671875"
"249856","61","61","61","0.494140625","0.494140625","0.494140625"
"253952","62","62","62","0.452392578125","0.452392578125","0.452392578125"
"258048","63","63","63","0.45947265625","0.45947265625","0.45947265625"
"262144","64","64","64","0.546875","0.546875","0.546875"
"266240","65","65","65","0.653076171875","0.653076171875","0.653076171875"
"270336","66","66","66","0.738037109375","0.738037109375","0.738037109375"
"274432","67","67","67","0.65625","0.65625","0.65625"
"278528","68","68","68","0.557861328125","0.557861328125","0.557861328125"
"282624","69","69","69","0.469970703125","0.469970703125","0.469970703125"
"286720","70","70","70","0.429443359375","0.429443359375","0.429443359375"
"290816","71","71","71","0.42529296875","0.42529296875","0.42529296875"
"294912","72","72","72","0.408935546875","0.408935546875","0.408935546875"
"299008","73","73","73","0.58984375","0.58984375","0.58984375"
"303104","74","74","74","0.7587890625","0.7587890625","0.7587890625"
"307200","75","75","75","0.694580078125","0.694580078125","0.694580078125"
"311296","76","76","76","0.690185546875","0.690185546875","0.690185546875"
"315392","77","77","77","0.74072265625","0.74072265625","0.74072265625"
"319488","78","78","78","0.611572265625","0.611572265625","0.611572265625"
"323584","79","79","79","0.510498046875","0.510498046875","0.510498046875"
"327680","80","80","80","0.517578125","0.517578125","0.517578125"
"331776","81","81","81","0.537353515625","0.537353515625","0.537353515625"
"335872","82","82","82","0.528076171875","0.528076171875","0.528076171875"
"339968","83","83","83","0.557861328125","0.557861328125","0.557861328125"
"344064","84","84","84","0.503662109375","0.503662109375","0.503662109375"
"348160","85","85","85","0.4775390625","0.4775390625","0.4775390625"
"352256","86","86","86","0.607666015625","0.607666015625","0.607666015625"
"356352","87","87","87","0.58935546875","0.58935546875","0.58935546875"
