"env_step","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_SpaceInvaders-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.173828125","0.173828125","0.173828125"
"16384","4","4","4","0.36962890625","0.36962890625","0.36962890625"
"20480","5","5","5","0.401611328125","0.401611328125","0.401611328125"
"24576","6","6","6","0.519775390625","0.519775390625","0.519775390625"
"28672","7","7","7","0.48291015625","0.48291015625","0.48291015625"
"32768","8","8","8","0.517822265625","0.517822265625","0.517822265625"
"36864","9","9","9","0.517578125","0.517578125","0.517578125"
"40960","10","10","10","0.505126953125","0.505126953125","0.505126953125"
"45056","11","11","11","0.581787109375","0.581787109375","0.581787109375"
"49152","12","12","12","0.63720703125","0.63720703125","0.63720703125"
"53248","13","13","13","0.59130859375","0.59130859375","0.59130859375"
"57344","14","14","14","0.537109375","0.537109375","0.537109375"
"61440","15","15","15","0.551025390625","0.551025390625","0.551025390625"
"65536","16","16","16","0.57177734375","0.57177734375","0.57177734375"
"69632","17","17","17","0.575927734375","0.575927734375","0.575927734375"
"73728","18","18","18","0.43798828125","0.43798828125","0.43798828125"
"77824","19","19","19","0.4521484375","0.4521484375","0.4521484375"
"81920","20","20","20","0.423828125","0.423828125","0.423828125"
"86016","21","21","21","0.506103515625","0.506103515625","0.506103515625"
"90112","22","22","22","0.481689453125","0.481689453125","0.481689453125"
"94208","23","23","23","0.4736328125","0.4736328125","0.4736328125"
"98304","24","24","24","0.502197265625","0.502197265625","0.502197265625"
"102400","25","25","25","0.548583984375","0.548583984375","0.548583984375"
"106496","26","26","26","0.542724609375","0.542724609375","0.542724609375"
"110592","27","27","27","0.431640625","0.431640625","0.431640625"
"114688","28","28","28","0.3603515625","0.3603515625","0.3603515625"
"118784","29","29","29","0.40771484375","0.40771484375","0.40771484375"
"122880","30","30","30","0.481689453125","0.481689453125","0.481689453125"
"126976","31","31","31","0.513427734375","0.513427734375","0.513427734375"
"131072","32","32","32","0.51220703125","0.51220703125","0.51220703125"
"135168","33","33","33","0.490234375","0.490234375","0.490234375"
"139264","34","34","34","0.626953125","0.626953125","0.626953125"
"143360","35","35","35","0.607666015625","0.607666015625","0.607666015625"
"147456","36","36","36","0.57763671875","0.57763671875","0.57763671875"
"151552","37","37","37","0.431396484375","0.431396484375","0.431396484375"
"155648","38","38","38","0.464111328125","0.464111328125","0.464111328125"
"159744","39","39","39","0.5732421875","0.5732421875","0.5732421875"
"163840","40","40","40","0.633056640625","0.633056640625","0.633056640625"
"167936","41","41","41","0.50830078125","0.50830078125","0.50830078125"
"172032","42","42","42","0.502685546875","0.502685546875","0.502685546875"
"176128","43","43","43","0.427490234375","0.427490234375","0.427490234375"
"180224","44","44","44","0.41455078125","0.41455078125","0.41455078125"
"184320","45","45","45","0.42626953125","0.42626953125","0.42626953125"
"188416","46","46","46","0.44580078125","0.44580078125","0.44580078125"
"192512","47","47","47","0.53515625","0.53515625","0.53515625"
"196608","48","48","48","0.44580078125","0.44580078125","0.44580078125"
"200704","49","49","49","0.4873046875","0.4873046875","0.4873046875"
"204800","50","50","50","0.50048828125","0.50048828125","0.50048828125"
"208896","51","51","51","0.51416015625","0.51416015625","0.51416015625"
"212992","52","52","52","0.463623046875","0.463623046875","0.463623046875"
"217088","53","53","53","0.55859375","0.55859375","0.55859375"
"221184","54","54","54","0.572265625","0.572265625","0.572265625"
"225280","55","55","55","0.570068359375","0.570068359375","0.570068359375"
"229376","56","56","56","0.627685546875","0.627685546875","0.627685546875"
"233472","57","57","57","0.526611328125","0.526611328125","0.526611328125"
"237568","58","58","58","0.5791015625","0.5791015625","0.5791015625"
"241664","59","59","59","0.558349609375","0.558349609375","0.558349609375"
"245760","60","60","60","0.47265625","0.47265625","0.47265625"
"249856","61","61","61","0.4990234375","0.4990234375","0.4990234375"
"253952","62","62","62","0.45947265625","0.45947265625","0.45947265625"
"258048","63","63","63","0.3955078125","0.3955078125","0.3955078125"
"262144","64","64","64","0.412353515625","0.412353515625","0.412353515625"
"266240","65","65","65","0.564453125","0.564453125","0.564453125"
"270336","66","66","66","0.65966796875","0.65966796875","0.65966796875"
"274432","67","67","67","0.567626953125","0.567626953125","0.567626953125"
"278528","68","68","68","0.56787109375","0.56787109375","0.56787109375"
"282624","69","69","69","0.571044921875","0.571044921875","0.571044921875"
"286720","70","70","70","0.510498046875","0.510498046875","0.510498046875"
"290816","71","71","71","0.595947265625","0.595947265625","0.595947265625"
"294912","72","72","72","0.6416015625","0.6416015625","0.6416015625"
"299008","73","73","73","0.52099609375","0.52099609375","0.52099609375"
"303104","74","74","74","0.528564453125","0.528564453125","0.528564453125"
"307200","75","75","75","0.508544921875","0.508544921875","0.508544921875"
"311296","76","76","76","0.406982421875","0.406982421875","0.406982421875"
"315392","77","77","77","0.48486328125","0.48486328125","0.48486328125"
"319488","78","78","78","0.569580078125","0.569580078125","0.569580078125"
"323584","79","79","79","0.585693359375","0.585693359375","0.585693359375"
"327680","80","80","80","0.487548828125","0.487548828125","0.487548828125"
"331776","81","81","81","0.5322265625","0.5322265625","0.5322265625"
"335872","82","82","82","0.545166015625","0.545166015625","0.545166015625"
"339968","83","83","83","0.54248046875","0.54248046875","0.54248046875"
"344064","84","84","84","0.548828125","0.548828125","0.548828125"
"348160","85","85","85","0.47265625","0.47265625","0.47265625"
"352256","86","86","86","0.4736328125","0.4736328125","0.4736328125"
