"env_step","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step__MIN","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - _step__MAX","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MIN","Asterix-MinAtar_Transfer_From_Breakout-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0","0","0"
"8192","2","2","2","0.012939453125","0.012939453125","0.012939453125"
"12288","3","3","3","0.166259765625","0.166259765625","0.166259765625"
"16384","4","4","4","0.35302734375","0.35302734375","0.35302734375"
"20480","5","5","5","0.384521484375","0.384521484375","0.384521484375"
"24576","6","6","6","0.520263671875","0.520263671875","0.520263671875"
"28672","7","7","7","0.550537109375","0.550537109375","0.550537109375"
"32768","8","8","8","0.64013671875","0.64013671875","0.64013671875"
"36864","9","9","9","0.614501953125","0.614501953125","0.614501953125"
"40960","10","10","10","0.669189453125","0.669189453125","0.669189453125"
"45056","11","11","11","0.637451171875","0.637451171875","0.637451171875"
"49152","12","12","12","0.568115234375","0.568115234375","0.568115234375"
"53248","13","13","13","0.498291015625","0.498291015625","0.498291015625"
"57344","14","14","14","0.528564453125","0.528564453125","0.528564453125"
"61440","15","15","15","0.526123046875","0.526123046875","0.526123046875"
"65536","16","16","16","0.5302734375","0.5302734375","0.5302734375"
"69632","17","17","17","0.49560546875","0.49560546875","0.49560546875"
"73728","18","18","18","0.46826171875","0.46826171875","0.46826171875"
"77824","19","19","19","0.458740234375","0.458740234375","0.458740234375"
"81920","20","20","20","0.362060546875","0.362060546875","0.362060546875"
"86016","21","21","21","0.4130859375","0.4130859375","0.4130859375"
"90112","22","22","22","0.4423828125","0.4423828125","0.4423828125"
"94208","23","23","23","0.462158203125","0.462158203125","0.462158203125"
"98304","24","24","24","0.512939453125","0.512939453125","0.512939453125"
"102400","25","25","25","0.486572265625","0.486572265625","0.486572265625"
"106496","26","26","26","0.466796875","0.466796875","0.466796875"
"110592","27","27","27","0.45947265625","0.45947265625","0.45947265625"
"114688","28","28","28","0.581298828125","0.581298828125","0.581298828125"
"118784","29","29","29","0.574951171875","0.574951171875","0.574951171875"
"122880","30","30","30","0.546142578125","0.546142578125","0.546142578125"
"126976","31","31","31","0.438232421875","0.438232421875","0.438232421875"
"131072","32","32","32","0.402099609375","0.402099609375","0.402099609375"
"135168","33","33","33","0.437255859375","0.437255859375","0.437255859375"
"139264","34","34","34","0.43212890625","0.43212890625","0.43212890625"
"143360","35","35","35","0.41064453125","0.41064453125","0.41064453125"
"147456","36","36","36","0.435302734375","0.435302734375","0.435302734375"
"151552","37","37","37","0.446044921875","0.446044921875","0.446044921875"
"155648","38","38","38","0.5029296875","0.5029296875","0.5029296875"
"159744","39","39","39","0.49755859375","0.49755859375","0.49755859375"
"163840","40","40","40","0.48828125","0.48828125","0.48828125"
"167936","41","41","41","0.4794921875","0.4794921875","0.4794921875"
"172032","42","42","42","0.5595703125","0.5595703125","0.5595703125"
"176128","43","43","43","0.46728515625","0.46728515625","0.46728515625"
"180224","44","44","44","0.447998046875","0.447998046875","0.447998046875"
"184320","45","45","45","0.428955078125","0.428955078125","0.428955078125"
"188416","46","46","46","0.59375","0.59375","0.59375"
"192512","47","47","47","0.58984375","0.58984375","0.58984375"
"196608","48","48","48","0.58837890625","0.58837890625","0.58837890625"
"200704","49","49","49","0.468505859375","0.468505859375","0.468505859375"
"204800","50","50","50","0.4091796875","0.4091796875","0.4091796875"
"208896","51","51","51","0.455810546875","0.455810546875","0.455810546875"
"212992","52","52","52","0.40185546875","0.40185546875","0.40185546875"
"217088","53","53","53","0.478515625","0.478515625","0.478515625"
"221184","54","54","54","0.50146484375","0.50146484375","0.50146484375"
"225280","55","55","55","0.43994140625","0.43994140625","0.43994140625"
"229376","56","56","56","0.473876953125","0.473876953125","0.473876953125"
"233472","57","57","57","0.58642578125","0.58642578125","0.58642578125"
"237568","58","58","58","0.64013671875","0.64013671875","0.64013671875"
"241664","59","59","59","0.57470703125","0.57470703125","0.57470703125"
"245760","60","60","60","0.58154296875","0.58154296875","0.58154296875"
"249856","61","61","61","0.5234375","0.5234375","0.5234375"
"253952","62","62","62","0.526611328125","0.526611328125","0.526611328125"
"258048","63","63","63","0.548095703125","0.548095703125","0.548095703125"
"262144","64","64","64","0.5673828125","0.5673828125","0.5673828125"
"266240","65","65","65","0.5791015625","0.5791015625","0.5791015625"
"270336","66","66","66","0.498291015625","0.498291015625","0.498291015625"
"274432","67","67","67","0.41064453125","0.41064453125","0.41064453125"
"278528","68","68","68","0.393310546875","0.393310546875","0.393310546875"
"282624","69","69","69","0.3740234375","0.3740234375","0.3740234375"
"286720","70","70","70","0.385986328125","0.385986328125","0.385986328125"
"290816","71","71","71","0.46337890625","0.46337890625","0.46337890625"
"294912","72","72","72","0.55712890625","0.55712890625","0.55712890625"
"299008","73","73","73","0.61083984375","0.61083984375","0.61083984375"
"303104","74","74","74","0.58544921875","0.58544921875","0.58544921875"
"307200","75","75","75","0.593994140625","0.593994140625","0.593994140625"
"311296","76","76","76","0.5595703125","0.5595703125","0.5595703125"
"315392","77","77","77","0.587890625","0.587890625","0.587890625"
"319488","78","78","78","0.4794921875","0.4794921875","0.4794921875"
"323584","79","79","79","0.4345703125","0.4345703125","0.4345703125"
"327680","80","80","80","0.39111328125","0.39111328125","0.39111328125"
"331776","81","81","81","0.4931640625","0.4931640625","0.4931640625"
"335872","82","82","82","0.4365234375","0.4365234375","0.4365234375"
"339968","83","83","83","0.5703125","0.5703125","0.5703125"
"344064","84","84","84","0.622802734375","0.622802734375","0.622802734375"
"348160","85","85","85","0.567626953125","0.567626953125","0.567626953125"
"352256","86","86","86","0.51416015625","0.51416015625","0.51416015625"
"356352","87","87","87","0.453125","0.453125","0.453125"
