"env_step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - _step__MAX","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MIN","Breakout-MinAtar_Transfer_From_Asterix-MinAtar - returned_episode_returns__MAX"
"4096","1","1","1","0.1455078125","0.1455078125","0.1455078125"
"8192","2","2","2","0.41064453125","0.41064453125","0.41064453125"
"12288","3","3","3","0.430908203125","0.430908203125","0.430908203125"
"16384","4","4","4","0.4462890625","0.4462890625","0.4462890625"
"20480","5","5","5","0.407470703125","0.407470703125","0.407470703125"
"24576","6","6","6","0.451904296875","0.451904296875","0.451904296875"
"28672","7","7","7","0.43505859375","0.43505859375","0.43505859375"
"32768","8","8","8","0.431640625","0.431640625","0.431640625"
"36864","9","9","9","0.416015625","0.416015625","0.416015625"
"40960","10","10","10","0.457275390625","0.457275390625","0.457275390625"
"45056","11","11","11","0.436767578125","0.436767578125","0.436767578125"
"49152","12","12","12","0.427978515625","0.427978515625","0.427978515625"
"53248","13","13","13","0.40087890625","0.40087890625","0.40087890625"
"57344","14","14","14","0.480712890625","0.480712890625","0.480712890625"
"61440","15","15","15","0.463623046875","0.463623046875","0.463623046875"
"65536","16","16","16","0.475830078125","0.475830078125","0.475830078125"
"69632","17","17","17","0.47265625","0.47265625","0.47265625"
"73728","18","18","18","0.46923828125","0.46923828125","0.46923828125"
"77824","19","19","19","0.388671875","0.388671875","0.388671875"
"81920","20","20","20","0.39990234375","0.39990234375","0.39990234375"
"86016","21","21","21","0.466552734375","0.466552734375","0.466552734375"
"90112","22","22","22","0.45263671875","0.45263671875","0.45263671875"
"94208","23","23","23","0.445068359375","0.445068359375","0.445068359375"
"98304","24","24","24","0.420654296875","0.420654296875","0.420654296875"
"102400","25","25","25","0.480712890625","0.480712890625","0.480712890625"
"106496","26","26","26","0.467041015625","0.467041015625","0.467041015625"
"110592","27","27","27","0.465576171875","0.465576171875","0.465576171875"
"114688","28","28","28","0.468017578125","0.468017578125","0.468017578125"
"118784","29","29","29","0.415771484375","0.415771484375","0.415771484375"
"122880","30","30","30","0.4736328125","0.4736328125","0.4736328125"
"126976","31","31","31","0.55419921875","0.55419921875","0.55419921875"
"131072","32","32","32","0.512451171875","0.512451171875","0.512451171875"
"135168","33","33","33","0.53271484375","0.53271484375","0.53271484375"
"139264","34","34","34","0.445556640625","0.445556640625","0.445556640625"
"143360","35","35","35","0.45849609375","0.45849609375","0.45849609375"
"147456","36","36","36","0.427001953125","0.427001953125","0.427001953125"
"151552","37","37","37","0.521484375","0.521484375","0.521484375"
"155648","38","38","38","0.520263671875","0.520263671875","0.520263671875"
"159744","39","39","39","0.460205078125","0.460205078125","0.460205078125"
"163840","40","40","40","0.4638671875","0.4638671875","0.4638671875"
"167936","41","41","41","0.5908203125","0.5908203125","0.5908203125"
"172032","42","42","42","0.58251953125","0.58251953125","0.58251953125"
"176128","43","43","43","0.5390625","0.5390625","0.5390625"
"180224","44","44","44","0.551513671875","0.551513671875","0.551513671875"
"184320","45","45","45","0.523193359375","0.523193359375","0.523193359375"
"188416","46","46","46","0.53955078125","0.53955078125","0.53955078125"
"192512","47","47","47","0.55615234375","0.55615234375","0.55615234375"
"196608","48","48","48","0.519287109375","0.519287109375","0.519287109375"
"200704","49","49","49","0.532958984375","0.532958984375","0.532958984375"
"204800","50","50","50","0.587158203125","0.587158203125","0.587158203125"
"208896","51","51","51","0.55859375","0.55859375","0.55859375"
"212992","52","52","52","0.488525390625","0.488525390625","0.488525390625"
"217088","53","53","53","0.572265625","0.572265625","0.572265625"
"221184","54","54","54","0.621337890625","0.621337890625","0.621337890625"
"225280","55","55","55","0.552001953125","0.552001953125","0.552001953125"
"229376","56","56","56","0.560546875","0.560546875","0.560546875"
"233472","57","57","57","0.570556640625","0.570556640625","0.570556640625"
"237568","58","58","58","0.556640625","0.556640625","0.556640625"
"241664","59","59","59","0.553466796875","0.553466796875","0.553466796875"
"245760","60","60","60","0.5625","0.5625","0.5625"
"249856","61","61","61","0.530029296875","0.530029296875","0.530029296875"
"253952","62","62","62","0.6181640625","0.6181640625","0.6181640625"
"258048","63","63","63","0.62158203125","0.62158203125","0.62158203125"
"262144","64","64","64","0.5693359375","0.5693359375","0.5693359375"
"266240","65","65","65","0.61328125","0.61328125","0.61328125"
"270336","66","66","66","0.547607421875","0.547607421875","0.547607421875"
