env_step,pqn_Asterix-MinAtar - returned_episode_returns
4096,0.0
8192,0.012939453125
12288,0.157470703125
16384,0.35693359375
20480,0.40283203125
24576,0.5341796875
28672,0.541259765625
32768,0.554931640625
36864,0.586669921875
40960,0.637451171875
45056,0.631103515625
49152,0.55029296875
53248,0.50537109375
57344,0.483642578125
61440,0.476806640625
65536,0.45068359375
69632,0.474853515625
73728,0.43798828125
77824,0.373291015625
81920,0.330322265625
86016,0.412353515625
90112,0.367431640625
94208,0.38818359375
98304,0.4443359375
102400,0.43798828125
106496,0.455078125
110592,0.44775390625
114688,0.432861328125
118784,0.538330078125
122880,0.539794921875
126976,0.540771484375
131072,0.538818359375
135168,0.4716796875
139264,0.44140625
143360,0.548828125
147456,0.534912109375
151552,0.582763671875
155648,0.580810546875
159744,0.468505859375
163840,0.504638671875
167936,0.5185546875
172032,0.473388671875
176128,0.399658203125
180224,0.458740234375
184320,0.451171875
188416,0.465087890625
192512,0.517333984375
196608,0.606201171875
200704,0.53173828125
204800,0.483642578125
208896,0.529296875
212992,0.587646484375
217088,0.581787109375
221184,0.535400390625
225280,0.570556640625
229376,0.54638671875
233472,0.591796875
237568,0.532958984375
241664,0.513671875
245760,0.53759765625
249856,0.580078125
253952,0.5966796875
258048,0.55908203125
262144,0.612060546875
266240,0.4541015625
270336,0.506591796875
274432,0.525390625
278528,0.4169921875
282624,0.4765625
286720,0.551025390625
290816,0.633544921875
294912,0.67138671875
299008,0.664306640625
303104,0.652099609375
307200,0.5791015625
311296,0.6201171875
315392,0.65869140625
319488,0.6513671875
323584,0.57666015625
327680,0.552001953125
331776,0.60205078125
335872,0.539794921875
339968,0.490234375
344064,0.510498046875
348160,0.536865234375
352256,0.54931640625
356352,0.55859375
360448,0.61474609375
364544,0.65380859375
368640,0.665283203125
372736,0.666748046875
376832,0.560302734375
380928,0.590087890625
385024,0.54150390625
389120,0.50390625
393216,0.56982421875
397312,0.548095703125
401408,0.557861328125
405504,0.62109375
409600,0.683837890625
413696,0.616943359375
417792,0.64794921875
421888,0.61328125
425984,0.656494140625
430080,0.628173828125
434176,0.640869140625
438272,0.667724609375
442368,0.6328125
446464,0.54736328125
450560,0.619384765625
454656,0.603271484375
458752,0.6708984375
462848,0.6826171875
466944,0.643310546875
471040,0.77587890625
475136,0.87939453125
479232,0.750732421875
483328,0.604736328125
487424,0.65234375
491520,0.74658203125
495616,0.64599609375
499712,0.55810546875
503808,0.655029296875
507904,0.606689453125
512000,0.642822265625
516096,0.722900390625
520192,0.786376953125
524288,0.7138671875
528384,0.686279296875
532480,0.80224609375
536576,0.710205078125
540672,0.697509765625
544768,0.6279296875
548864,0.660888671875
552960,0.6455078125
557056,0.640380859375
561152,0.672607421875
565248,0.724365234375
569344,0.71630859375
573440,0.715576171875
577536,0.608154296875
581632,0.5703125
585728,0.655517578125
589824,0.60205078125
593920,0.61474609375
598016,0.5341796875
602112,0.59912109375
606208,0.61767578125
610304,0.707275390625
614400,0.716552734375
618496,0.796875
622592,0.68994140625
626688,0.71044921875
630784,0.71875
634880,0.690185546875
638976,0.69580078125
643072,0.73046875
647168,0.743408203125
651264,0.798828125
655360,0.7646484375
659456,0.7939453125
663552,0.84423828125
667648,0.939697265625
671744,0.980712890625
675840,0.89013671875
679936,0.972900390625
684032,0.974365234375
688128,0.941650390625
692224,0.884765625
696320,0.88916015625
700416,0.9140625
704512,0.99267578125
708608,1.017822265625
712704,0.8681640625
716800,0.90869140625
720896,0.9404296875
724992,0.926513671875
729088,0.95849609375
733184,0.942626953125
737280,0.869140625
741376,0.868408203125
745472,0.76171875
749568,0.848876953125
753664,0.82568359375
